product_id,title,description,image_url,dimensions
50,Akito S12 Kosher MP3 Player - 16GB,"Internal Memory 16G
128GB micro SD Slot
Recorder
Bluetooth 5.3
Stopwatch
Alarm clock
Calendar
E-book
Copy Paste Function
Built-in speaker
Calculator
Type-C
3 playlists",,Weight: 3.0 oz
714651090135,Akito S8 Kosher MP3 Player - 8GB,"Features:

Internal memory 8GB
Expansion slot for 128GB SD card
Recording
Bluetooth 5.0
Touch buttons
Alarm clock
Calendar
E-book
Copy Paste Function*
Built-in speaker
Type-C

(*Not supported on all types of cards. If this function is important to the customer, we do not recommend this model)
Comes with 1 year limited warranty from the manufacturer.",,Weight: 3.0 oz
714651090159,Akito Digital Camera C30,,,Weight: 3.0 oz
714651090166,Akito S6 Kosher MP3 Player - 8GB,"Features:

Memory 8GB
Expansion slot for a 256GB card
Screen 2.4 inch
Recording
Bluetooth 5.0
Touch buttons
Alarm clock
Time and date
Calendar
E-book
Copy Paste Function
Built-in quality speaker
Type-C, supports USB3

Comes with 1 year limited warranty from the manufacturer.",,Weight: 3.0 oz
714651090173,Akito A2 Digital Alarm Clock,,,Weight: 3.0 oz
791689119335,Akito L10 PU Case,,,Weight: 0.5 lb
791689119342,Akito D20 Live Karaoke Player,,,Weight: 3.0 oz
791689119359,Akito D40 Live Karaoke Player,,,Weight: 3.0 oz
791689119373,Akito Digital Camera C30 Pro,"Selfie screen
Digital zoom 16X
Macro lens
Supports SD card up to 128 GB
Screen IPS. Size: 3.0 inch
Charge directly to the camera
Typc -C
Flash opens
Menu in English, Hebrew, etc
Multiple settings functions
Image quality (8-48 mega pixel)
Timer for taking a photo
8 Shooting mode
Auto focus
Battery 1300mAh",,Weight: 3.0 oz
783495152811,The Heartbeat of Jewish Music,"Stream and rent Jewish films, shows, and concerts with Mostly Music — the trusted platform for exclusive video and timeless Jewish music.",,
744343186945,Akito Digital Camera C12,,,Weight: 3.0 oz
744343186969,Akito -  Wonder Watch,"Alarm clock with a variety of functions
2 times alert
Displays the “ Krias shema” + “ Shkia”
Hebrew / foreign calendar
18 cities to choose a location for today’s times
Options for setting an alert before today’s times 2/5/10 minutes
Powerful vibration expansion
Shabbos mode – to lock the snooze button and ring the alarm for 10 seconds only
13 ringtones
5 ringtone intensities
3 vibration intensities
Rechargeable battery. When using the battery, turn off the economy screen display – to extend the battery life",,Weight: 3.0 oz
744343186983,Akito Digital Camera C12,,,Weight: 3.0 oz
759675618736,Akito Digital Camera C150,"Image quality up to 48 mega pixel
Rear camera for taking selfies
Digital zoom 16X
Supports micro SD card up to 256 GB
Ultra HD high resolution
Screen IPS. Size: 2.8 inch
Charge directly to the camera
Timer for taking a photo
Typc -C
Friendly and convenient interface
Multiple settings functions",,Weight: 3.0 oz
791689119366,Akito Digital Camera C150,"Image quality up to 48 mega pixel
Rear camera for taking selfies
Digital zoom 16X
Supports micro SD card up to 256 GB
Ultra HD high resolution
Screen IPS. Size: 2.8 inch
Charge directly to the camera
Timer for taking a photo
Typc -C
Friendly and convenient interface
Multiple settings functions",,Weight: 3.0 oz
783495152774,Akito S12 Kosher MP3 Player - 16GB,"Internal Memory 16G
128GB micro SD Slot
Recorder
Bluetooth 5.3
Stopwatch
Alarm clock
Calendar
E-book
Copy Paste Function
Built-in speaker
Calculator
Type-C
3 playlists",,Weight: 3.0 oz
759675618743,Akito S12 Kosher MP3 Player - 16GB,"Internal Memory 16G
128GB micro SD Slot
Recorder
Bluetooth 5.3
Stopwatch
Alarm clock
Calendar
E-book
Copy Paste Function
Built-in speaker
Calculator
Type-C
3 playlists",,Weight: 3.0 oz
1100012,Akito S11/S12 TPU Case,,,Weight: 0.5 lb
759675618767,Akito L14 Kosher MP3 Player - 16GB,"16GB memory, expandable up to 128GB SD card
2.8-inch touch screen for easy use
Recorder, Bluetooth 5.3, Alarm Clock, Calendar, E-book, Copy-Paste, and more!
Built-in speaker, 3 playlists.",,Weight: 3.0 oz
759675926084,The Heartbeat of Jewish Music,"Stream and rent Jewish films, shows, and concerts with Mostly Music — the trusted platform for exclusive video and timeless Jewish music.",,
1000018,Greentouch Model X3 & Sport - MP3 Case,,,Weight: 0.5 lb
759675926107,The Heartbeat of Jewish Music,"Stream and rent Jewish films, shows, and concerts with Mostly Music — the trusted platform for exclusive video and timeless Jewish music.",,
1100047,The Heartbeat of Jewish Music,"Stream and rent Jewish films, shows, and concerts with Mostly Music — the trusted platform for exclusive video and timeless Jewish music.",,
759675926114,The Heartbeat of Jewish Music,"Stream and rent Jewish films, shows, and concerts with Mostly Music — the trusted platform for exclusive video and timeless Jewish music.",,
759675618750,The Heartbeat of Jewish Music,"Stream and rent Jewish films, shows, and concerts with Mostly Music — the trusted platform for exclusive video and timeless Jewish music.",,
753287052537,The Heartbeat of Jewish Music,"Stream and rent Jewish films, shows, and concerts with Mostly Music — the trusted platform for exclusive video and timeless Jewish music.",,
753287052568,Greentouch Model M3 - MP3 Player,"Greentouch M3 Player is the perfect combination between a compact and high-end music player. Whether you're on the go or relaxing at home, it allows you to play your favorite tracks with ease. With its custom UI and classic color scheme, it's one of the best looking devices on the market. And with a sleek design that fits seamlessly into your life, it's easy to see why this device is gaining popularity among music lovers everywhere.Features 

Music 
Voice Recorder 
Bluetooth 
eBook 
File Explorer 
Alarm Clock
Calendar
Yiddish language support 
NEW! English Yiddish support (it will read Yiddish from right to left when set on English)

Specs

32GB built-in memory 
Built-in speaker 

Bluetooth 5.0 (no file sharing and can not connect to a phone)
3.5mm Headphone Jack 
Micro SD Card Slot 
Touch Buttons 
USB Type C 
2.4"" IPS Colored Screen 

Micro SD Slot (up to 64GB - Micro SD sold separately)


Warranty1 year limited manufacture damage coverage 
Tag Approved No Video - Pictures - Radio - Internet - Wi-Fi",,Weight: 0.5 lb
753287052544,The Heartbeat of Jewish Music,"Stream and rent Jewish films, shows, and concerts with Mostly Music — the trusted platform for exclusive video and timeless Jewish music.",,
