upc,title,description,image_url,product_url,piece_length,piece_width,piece_height
738676657258,AUD-XM80,AUD-XM80,https://audster.com/wp-content/uploads/2024/09/XM-80.jpg,https://audster.com/product/aud-xm80/,,,
738676655315,AUD-FK-5400,"Audster FK-5400 54 Key Electronic Keyboard

Microphone included

 	8Demonstration Songs / Demo One Demo All
 	Master &amp; Accom Volume Control
 	100 Voices 1100 Styles
 	Vibrato Sustain
 	Start/Stop /Sync / Fill-in / Tempo Control
 	Single Finger /Fingered Chord
 	Dim 755x289x92(mm)
 	Musical Book holder Included
 	LED Display
 	DC 9V / AG Adaptor
 	One Key / Ensemble
 	Rhythm Programming
 	Record &amp; Playback Percussions",https://audster.com/wp-content/uploads/2024/09/AUDSTER-FK-5400-54-Key-Electronic-Keyboard1.jpg,https://audster.com/product/aud-fk-5400/,755,289,92
738676655339,61 Panio Keyboard,,,,,,
738676654554,AUDSTER SPEAKER (T500),,,,,,
738676657029,BONGOS,,,,,,
738676655308,KEY ELECTRONIC KEYBOARD,,,,,,
738676655346,KEY ELECTRONIC KEYBOARD,,,,,,
738676657074,"9 PAD ROLL UP DRUM, BLT, STICK, FOOT PEDALS",,,,,,
738676657388,"9 Pad Roll Up Drum, BLT, Stick, Food Pedals",,,,,,
738676657395,49 KEYS ROLL UP PIANO,,,,,,
738676657562,AUD-XM405,AUD-XM405,https://audster.com/wp-content/uploads/2024/09/XM-405-scaled.jpg,https://audster.com/product/aud-xm405/,,,
738676658354,"AUDSTER 15"" SPEAKER WITH STAND J156CO",,,,,,
738676658828,Rechargerable Battery Speaker CH-819,,,,,,
738676658866,8inch Rechargeable Battery Speaker CH-1206,,,,,,
738676658880,12inch Rechargeable Battery Speaker RC-12C,,,,,,
738676658897,15inch Rechargeable Battery Speaker RC-15R,,,,,,
738676658927,AUDSTER CK3220 32 Key Pink Keyboard,,,,,,
738676658934,AUDSTER CK3235 32 KEY Keyboard,,,,,,
738676658941,AUDSTER CK3720 32 KEY Keyboard,,,,,,
738676658972,AUDSTER CK6130 61 KEYS ELECTRONIC KEYBOARD,,,,,,
738676659078,Bluetooth Speaker 2x5w AUD-L210,,,,,,
738676659085,Bluetooth Speaker AUD-L220,,,,,,
738676659498,AUDSTER X785 SPEAKER WITH TRIPOD,,,,,,
738676659511,AUDSTER X815 SPEAKER,,,,,,
738676659412,AUDSTER S205 SPEAKER,,,,,,
738676659429,AUDSTER S210 SPEAKER,,,,,,
738676659276,AUD-RS800,"AUD-RS800

Karaoke Speaker

 	Wireless Microphone
 	BT Ver: 5.0
 	Transmission Distance: 10m
 	Speaker Output: 5W
 	Frequency Range: 60Hz - 20KHz
 	Speaker Impedance: 4ohm
 	Charging Voltage: 5V
 	Playtime: Up to 5h
 	Charging Time: 2.5h",https://audster.com/wp-content/uploads/2024/10/RS-800-Front-side.jpg,https://audster.com/product/aud-rs800/,,,
738676659269,AUD-RS900,"AUD-RS900

Karaoke Speaker

 	Wireless Microphone
 	BT Ver: 5.0 Transmission Distance: 10m
 	Speaker Output: 5W
 	Frequency Range: 60Hz - 20KHz
 	Speaker Impedance: 4ohm
 	Charging Voltage: 5V
 	Playtime: Up to 5h
 	Charging Time: 2.5h",https://audster.com/wp-content/uploads/2024/10/RS-900-Front-side.jpg,https://audster.com/product/aud-rs900/,,,
738676659467,AUDSTER S230 SPEAKER,,,,,,
738676659436,AUDSTER S215 SPEAKER,,,,,,
738676659443,AUDSTER S220 SPEAKER,,,,,,
