upc,title,description,image_url,product_url
756542319987,Leishev BaSukkah 3D Sukkah Model Craft Kit,,https://cdn.powered-by-nitrosell.com/product_images/11/2547/756542319987%203D%20DIY%20Sukkah%20model.jpg,
696168620114,diamondz - sukkahs set,,https://toys4you-fcpos.s3.us-east-2.amazonaws.com/BAEAQBAEAQBAEAQBAf_Z_e999d273-a52d-49db-b70d-ea1b28e4e609.jpg,
696168620053,Dimondz 8x8 Dovid Hamelech,,https://toys4you-fcpos.s3.us-east-2.amazonaws.com/GtLV9JQAutdrgrtAH_Z_e6278d68-457d-4853-8017-e2cf935aa01a.jpg,
731716157633,MOSAIC ART Lulav and Esrog Diamond Art,,https://toys4you-fcpos.s3.us-east-2.amazonaws.com/H5jUIVBxCEIUMz_2Q_9f08ee3c-24dd-4e88-9cae-74cf0e76e3bf.jpg,
696168619170,Velvet Ushpizin Art,,https://toys4you-fcpos.s3.us-east-2.amazonaws.com/ooooAooooAooooD_2Q_1de44eb5-155a-4f22-9d61-cbc728aa7326.jpg,
696168619200,Dimondz 3x3 Lulav Esrog,,https://www.chazakkinder.com/cdn/shop/files/BZD07_400x.jpg?v=1684341533,
731716158722,Ushpizin Puffy Stickers,,https://www.chazakkinder.com/cdn/shop/files/bzs12withoutplastic_273x.png?v=1690229430,
731716158760,Diamondz Ushpizen Ornaments,,https://www.chazakkinder.com/cdn/shop/files/BZS14_c55f8acb-3e10-438c-a489-f2dc1e0d8f74_400x.jpg?v=1693251402,
696168619194,Hanging Star Canvas,,https://www.chazakkinder.com/cdn/shop/files/BZS16_400x.jpg?v=1735754195,
696168619385,Yehudah Ben Taima Ornaments,,https://www.chazakkinder.com/cdn/shop/files/BZS18_400x.jpg?v=1722870147,
791126052317,Craft By Number Kever Rochel,,https://www.chazakkinder.com/cdn/shop/files/BZS19_400x.jpg?v=1732643795,
696168620459,Light Up Yerushalayim Sukkos Craft,,https://www.chazakkinder.com/cdn/shop/files/BZS21_400x.png?v=1727113988,
696168620466,Light up Craft Bird,,https://www.chazakkinder.com/cdn/shop/files/BZS22_0aaaa219-b158-4016-a653-37c4a664efe2_400x.png?v=1727114218,
610371732884,Craft by Number Bais Hamikdosh,,https://www.chazakkinder.com/cdn/shop/files/BZS23_400x.jpg?v=1732643803,
756542319819,Craft Melodies of Yerushalayim Design,,https://www.chazakkinder.com/cdn/shop/files/CC23_306x.jpg?v=1727114369,
731716158715,Diamondz Ushpizin,,https://www.chazakkinder.com/cdn/shop/products/diamondz_400x.png?v=1658775885,
731716157398,Ushpizin Scratch Art,,https://www.chazakkinder.com/cdn/shop/products/Screenshot2022-01-28115037_290x.png?v=1643389610,
731716157336,Velvet Art Ushpizin,,https://www.chazakkinder.com/cdn/shop/products/Screenshot2022-02-01115825_294x.png?v=1643735349,
731716158739,Velvet Art Ushpizin,,https://www.chazakkinder.com/cdn/shop/products/Screenshot2022-02-01115825_294x.png?v=1643735349,
731716157343,Sticker Art Vesamachtah Bchagecha,,https://www.chazakkinder.com/cdn/shop/products/Screenshot2022-02-02161928_202x.png?v=1643836951,
731716157350,Sticker Art Beruchim Habaim,,https://www.chazakkinder.com/cdn/shop/products/Screenshot2022-02-02162336_335x.png?v=1643837143,
731716157527,Foil Art Sukkah Star,,https://www.chazakkinder.com/cdn/shop/products/Screenshot2022-02-02162645_306x.png?v=1643906632,
731716157510,Sukkos Chain Stick Links,,https://www.chazakkinder.com/cdn/shop/products/Screenshot2022-02-02162655_304x.png?v=1643906543,
731716157534,Mosaic Sukkos Art,,https://www.chazakkinder.com/cdn/shop/products/Screenshot2022-02-03114448_303x.png?v=1643906964,
731716157541,Sukkos Foam Art,,https://www.chazakkinder.com/cdn/shop/products/Screenshot2022-02-03114500_311x.png?v=1643906824,
696168619286,Diamondz 3x3 Havdala,,,
731716157299,Sticker Puzzle Sukkos,,https://www.chazakkinder.com/cdn/shop/products/Screenshot2022-01-27124422_328x.png?v=1643305689,
789185828554,Ready Set Play - Music By NUmber,,https://www.chazakkinder.com/cdn/shop/products/Screenshot2022-01-27102153_280x.png?v=1643296931,
9781680919134,Der Zeide Dertzeilt Vayikra,,https://www.chazakkinder.com/cdn/shop/files/1_e0c31db5-6348-4ea6-8189-8567b88e657c_400x.png?v=1742321740,
731716156957,FLOOR PUZZLE SHABBOS,,https://toys4you-fcpos.s3.us-east-2.amazonaws.com/CAIAgCAIAgCAIAgP_9k_f6473258-0188-4d8e-9b1f-cdedab34cc5e.jpg,
731716156933,FLOOR PUZZLE PARK,,https://toys4you-fcpos.s3.us-east-2.amazonaws.com/UISoQlQhKhCVCF_2Q_716c408b-de56-433d-9e41-7f4c25c8e6fb.jpg,
