upc,title,description,image_url,product_url,piece_length,piece_width,piece_height
7625651623144,Crystal Crafts Deer,"Chazak was initially founded as a distributor for CDs. Yet we developed a passion for Jewish educational recreation, and quickly became the premier distributor for outstanding Jewish entertainment. Today, Chazak Kinder introduces and distributes the most innovative and popular Jewish games and toys.

We staunchly believe that all kids deserve high-quality, well-crafted educational entertainment. The greater the game, the greater the learning experience. With this principle in mind, we usher only the finest, well-done games, toys, and other entertainment onto the market.",https://toys4you-fcpos.s3.us-east-2.amazonaws.com/_wBRx9xMTCZ7R5n_2Q_4b666159-973c-4cc4-a23f-0cdbaee0c938.jpg,https://www.chazakkinder.com/products/crystal-crafts-deer,,,
643356045044,SCRATCH & SNIFF: PIZZA STICKERS,,https://toys4you-fcpos.s3.us-east-2.amazonaws.com/0Z4oBQCgFAKAUAoD_9k_2dc7ba7f-7bbe-4d1d-847f-31a158a18585.jpg,,,,
791126052249,Crystal Craft Yerushalayim,"Chazak was initially founded as a distributor for CDs. Yet we developed a passion for Jewish educational recreation, and quickly became the premier distributor for outstanding Jewish entertainment. Today, Chazak Kinder introduces and distributes the most innovative and popular Jewish games and toys.

We staunchly believe that all kids deserve high-quality, well-crafted educational entertainment. The greater the game, the greater the learning experience. With this principle in mind, we usher only the finest, well-done games, toys, and other entertainment onto the market.",https://toys4you-fcpos.s3.us-east-2.amazonaws.com/8Q1Sy2YgF2rKwFlAf_Z_a588734d-9492-4f35-ad7f-58aba54b2992.jpg,https://www.chazakkinder.com/products/crystal-craft-yerushalayim,,,
748322279772,Pretend Play Teacher Set,"Chazak was initially founded as a distributor for CDs. Yet we developed a passion for Jewish educational recreation, and quickly became the premier distributor for outstanding Jewish entertainment. Today, Chazak Kinder introduces and distributes the most innovative and popular Jewish games and toys.

We staunchly believe that all kids deserve high-quality, well-crafted educational entertainment. The greater the game, the greater the learning experience. With this principle in mind, we usher only the finest, well-done games, toys, and other entertainment onto the market.",https://toys4you-fcpos.s3.us-east-2.amazonaws.com/AIAgCAIAgCAIAgH_2Q_5e7b1371-7d56-4827-835d-a4a462d4e8d1.jpg,https://www.chazakkinder.com/products/pretend-play-teacher-set,,,
791126052348,Ushpizin Crystal Crafts,"Chazak was initially founded as a distributor for CDs. Yet we developed a passion for Jewish educational recreation, and quickly became the premier distributor for outstanding Jewish entertainment. Today, Chazak Kinder introduces and distributes the most innovative and popular Jewish games and toys.

We staunchly believe that all kids deserve high-quality, well-crafted educational entertainment. The greater the game, the greater the learning experience. With this principle in mind, we usher only the finest, well-done games, toys, and other entertainment onto the market.",https://toys4you-fcpos.s3.us-east-2.amazonaws.com/AKACgAoAKACgAoA_9k_2e6f8c7a-c7a1-4a55-9198-c9dc55d01f94.jpg,https://www.chazakkinder.com/products/ushpizin-crystal-crafts,,,
793565251900,Krias Shema Canvas,"Includes: 

Canvas
6 Washable paint colors
paint brush
paint mixing chart
",https://toys4you-fcpos.s3.us-east-2.amazonaws.com/AQAgBACAEAIAQAgP_9k_a80f6b99-5527-4260-bff0-8522ce06928e.jpg,https://www.chazakkinder.com/products/moida-ani-canvas,,,
7437530829802,Crystal Crafts Rotz Katzvi,"Chazak was initially founded as a distributor for CDs. Yet we developed a passion for Jewish educational recreation, and quickly became the premier distributor for outstanding Jewish entertainment. Today, Chazak Kinder introduces and distributes the most innovative and popular Jewish games and toys.

We staunchly believe that all kids deserve high-quality, well-crafted educational entertainment. The greater the game, the greater the learning experience. With this principle in mind, we usher only the finest, well-done games, toys, and other entertainment onto the market.",https://toys4you-fcpos.s3.us-east-2.amazonaws.com/CqJwIVVQ4EKvVgQv_9k_8a5516ce-0d00-4f2b-b318-f56b753daf26.jpg,https://www.chazakkinder.com/products/crystal-crafts-rotz-katzvi,,,
793565251894,Shabbos Canvas,"
Canvas
6 Washable paint colors
paint brush
paint mixing chart
",https://toys4you-fcpos.s3.us-east-2.amazonaws.com/gCiiigCiiigCiiigP_Z_173b56e0-6d9c-4dcb-b9ad-d6a3ad1eefe2.jpg,https://www.chazakkinder.com/products/shabbos-canvas,,,
696168619262,Diamondz Sefer Torah,Diamondz 3x3 Craft,https://toys4you-fcpos.s3.us-east-2.amazonaws.com/j7BRRRShoUUUUAf_2Q_f1c51aa5-d56a-4b13-a85a-7c02fed91139.jpg,https://www.chazakkinder.com/products/diamondz-sefer-torah,3,3,
192073566603,SCRATCH & SNIFF: TACO STICKERS,,https://toys4you-fcpos.s3.us-east-2.amazonaws.com/QBAEAQBAEAQBAEAQD_Z_71fdb5d1-2437-4a2e-946b-0f2a150e7586.jpg,,,,
696168619231,Diamondz Mandela Star,Diamondz 3x3 Craft,https://toys4you-fcpos.s3.us-east-2.amazonaws.com/x_xG7_pD_u_9Ud1zX_Z_813cbb9b-3905-4148-a671-ec3d5019ef08.jpg,https://www.chazakkinder.com/products/diamondz-mandela-star,3,3,
696168619835,Crystal Craft Clock,"Chazak was initially founded as a distributor for CDs. Yet we developed a passion for Jewish educational recreation, and quickly became the premier distributor for outstanding Jewish entertainment. Today, Chazak Kinder introduces and distributes the most innovative and popular Jewish games and toys.

We staunchly believe that all kids deserve high-quality, well-crafted educational entertainment. The greater the game, the greater the learning experience. With this principle in mind, we usher only the finest, well-done games, toys, and other entertainment onto the market.",https://www.chazakkinder.com/cdn/shop/files/CC22_400x.png?v=1727114285,https://www.chazakkinder.com/products/ushpizin-crystal-crafts-copy,,,
