upc,title,description,image_url,product_url,piece_length,piece_width,piece_height
93577675597,NYPD POLICE MOTORCYLE,,,,,,
810178510597,NYC TAXI 3D WOOD PUZZLE,,,,,,
810178510603,FDNY AMBULANCE HELICOPTER W /LIGHTS & SOUND,,,,,,
810178510610,FDNY 3D WOOD FIRE TRUCK PUZZLE,,,,,,
817346020957,PREDATOR DRONE PULLBACK,,,,,,
817346021015,AIRCRAFT CARRIER,,,,,,
817346021022,THE MILITARY BASE PLAYSET,,,,,,
817346021428,DARON PULLBACK ACTION BOSTON AIRPLANE,,,,,,
817346021466,DUMP TRUCK,,,,,,
817346021473,CEMENT MIXER,,,,,,
817346021695,DARON FRONTIER AIRPORT PLAYSET,,,,,,
817346022623,BATTLESHIP PULLBACK,,,,,,
817346023200,NYPD PULLBACK FORD,,,,,,
817346023279,BOEING MILITARY PLAYSET,,,,,,
817346023958,DARON PULLBACK ACTION POLISH AIRLINES LOT AIRPLANE,,,,,,
817346024245,PRESIDENTIAL LIMOUSINE,,,,,,
817346025723,APOLLO 11 LUNAR LANDING SET,,,,,,
817346025761,MTA DOUBLE DECKER BUS,,,,,,
817346025778,MTA 3 PIECE TRAIN SET TRACK,,,,,,
817346025785,FDNY FIRE LADDER TRUCK W/LIGHTS & SOUND,,,,,,
817346025792,NYC SANITATION GARBAGE TRUCK W/LIGHTS & SOUND,,,,,,
817346025808,FDNY AMBULANCE W /LIGHTS & SOUND,,,,,,
817346025815,NYPD SUV W.LIGHTS N SOUNDS,,,,,,
817346025839,NYPD POLICE CAR W /LIGHTS & SOUND,,,,,,
817346026089,TANKER TRUCK GULF OIL,,,,,,
817346026096,TRACTOR TRAILER GULF OIL,,,,,,
817346026119,DARON NYPD WALIKE TALKIE SET,,,,,,
817346026126,WALKIE TALKIE FDNY,,,,,,
817346026874,DARON PULLBACK ACTION PENNSYLVANIA AIRLINES AIRPLANE,,,,,,
817346027048,POLICE CAR LAPD W/LIGHT SND,,,,,,
817346027307,DARON FDNY FIRE STATION WITH CASE,,,,,,
817346027444,FDNY AERIAL SCOPE RADIO CONTROL FIRE TRUCK,,,,,,
817346028465,DARON UPS TRACTOR WITH TRAILER SET,,,,,,
817346028793,SPY PLAYSET,,,,,,
817346028908,"DARON LIL TRUCKERS, ARMY RADAR TRUCK",,,,,,
817346028915,"DARON LIL TRUCKERS, ARMY TANK",,,,,,
817346028922,"DARON LIL TRUCKERS, ARMY ATV",,,,,,
817346028946,"DARON LIL TRUCKERS, CONSTRUCTION DUMP TRUCK",,,,,,
817346028953,"DARON LIL TRUCKERS, CONSTRUCTION LOADER",,,,,,
817346028960,"DARON LIL TRUCKERS, CONSTRUCTION CRANE",,,,,,
817346028984,"DARON LIL TRUCKERS, FIRE LADDER TRUCK",,,,,,
817346029028,"DARON LIL TRUCKERS, CITY ROAD ROLLER",,,,,,
817346029035,"DARON LIL TRUCKERS, CITY SNOW PLOW",,,,,,
817346029042,"DARON LIL TRUCKERS, CITY DUMP TRUCK",,,,,,
817346029066,DARON LIL TRUCKERS SAFARI TRUCK,,,,,,
817346029073,DARON LIL TRUCKERS DOUBLE DECKER BUS,,,,,,
817346029318,DARON PULLBACK ACTION VIRGIN ATLANTIC PLANE,,,,,,
817346029745,TAXI NYC PULLBACK,,,,,,
817346029806,DARON PULLBACK ACTION NATIONAL PARKS AIRPLANE,,,,,,
817346029875,FDNY AMBULANCE HELICOPTER W /LIGHTS & SOUND,,,,,,
