upc,title,description,image_url,product_url,piece_length,piece_width,piece_height
93905191560,"12"" baby and musical potty",,,,,,
93905192574,"14"" my lil wardrobe",,,,,,
93905201375,"12"" Walker and Doll Set",,,,,,
93905202174,"12"" Baby Starter Set",,,,,,
93905206059,"My Dream Baby 17"" Soft & Huggable",,,,,,
93905652474,"23"" Doll Stroller",,,,,,
93905802152,"12"" Happy Twins",,,,,,
93905201450,Styling Head Play Set,,,,,,
93905203027,"12"" I'm So Soft",,,,,,
93905206226,"14"" Dream Time Baby",,,,,,
