upc,title,description,image_url,product_url,piece_length,piece_width,piece_height
786138702633,SHOOTER PLAYSET,,,,,,
786138702619,PINBALL ARCADE GO PLAY,,,,,,
786138702572,BALL GUN,,,,,,
786138702657,BRAIN TEASERS,,,,,,
786138702671,MICRO BRICK GAME,,,,,,
786138702626,FLYING UFO,,,,,,
786138702602,BINOCULARS,,,,,,
786138709199,Flute,,,,,,
786138709205,Flute 3Pk,,,,,,
786138709212,Saxophone,,,,,,
786138709229,Airplane Shoot,,,,,,
786138709236,Airplane Slingshot,,,,,,
786138709243,Diecast YOYO,,,,,,
786138709250,Diecast YOYO+,,,,,,
786138709267,Car Launcher,,,,,,
786138709274,AirPlane Launcher,,,,,,
786138709120,Fishing Game,,,,,,
786138709137,Fishing Game,,,,,,
786138709144,Growing Capsules- Vehicles,,,,,,
786138709151,Growing Capsules - Animals,,,,,,
786138709168,Growing Capsules Ocean,,,,,,
786138709175,Air Helicopter,,,,,,
786138709298,Twisty Balloon Pump,,,,,,
786138709366,Fidget Slug,,,,,,
786138709373,Whale water gun (go play),,,,,,
786138709380,PinBall,,,,,,
786138709397,Mini Projector,,,,,,
786138709403,Pull Back Vehicles,,,,,,
786138709410,Planes Launcher,,,,,,
786138709427,DIY Skateboard,,,,,,
786138707775,Foam Bow and Arrow Set,,,,,,
786138709304,Neon Beads,,,,,,
786138709311,MIX Beads,,,,,,
786138709328,White Beads,,,,,,
786138709335,Micro Beads,,,,,,
786138709342,Colored Beads,,,,,,
786138709359,Trio Beads,,,,,,
786138709281,Balloon Pump,,,,,,
786138702664,BRICK GAME,,,,,,
86138804543,GYRO WHEEL MAGNETIC,,,,,,
786138703630,Magnetic Rings,,,,,,
786138702640,BRICK GAME,,,,,,
786138709182,Military Copter,,,,,,
786138701186,SPINNING TOP DREIDAL,,,,,,
