upc,title,description,image_url,product_url
602401930384,Mini Stickeez,"Descriptions  Get ready for Purim with an activity they’ll do again and again! #1 Kid’s Choice Activity! With friendly illustrated scenes and reusable stickers, Stickeez is everyone’s favorite way to play, imagine, and explore! Featuring the adorable Middos Menchies characters, kids of all ages can have fun dressing th",http://kinderblast.com/cdn/shop/files/Screenshot_2024-11-25_at_9.36.19_PM.png?v=1732588627,https://kinderblast.com/products/mini-stickeez-purim?_pos=1&_sid=4a14213dc&_ss=r
760354962187,Sew Fun,"Description Sew Fun! Their first sewing project! This craft kit is sure to excite every child while keeping them skillfully entertained. Instructions Thread the yarn through the needle and knot both ends together at the end.  Lace through the holes, following the black lines as a guide. Includes  - 1 lacing poster - ya",http://kinderblast.com/cdn/shop/products/SewFunShabbos.jpg?v=1667235910,https://kinderblast.com/products/sew-fun-shabbos?_pos=1&_sid=61fbbeca5&_ss=r
760354962262,Sticker Puzzle Set,"Description Enhance your sukkah walls with this beautiful Shivas Haminim Sticker Puzzle set! Enjoy putting together each of the Shivas Haminim boards by matching stickers with the numbers on the grid. These puzzles are great for developing number and puzzle-solving skills. With each tile you add, you will unscramble th",http://kinderblast.com/cdn/shop/products/Stickerpuzzleshivashaminim.jpg?v=1678387253,https://kinderblast.com/products/sticker-puzzle-set-shivas-haminim?_pos=1&_sid=5c485b10f&_ss=r
789185754112,Napkins,"Description Hosting a crowd this Purim? These Purim-themed paper goods will bring color and personality to your table, impressing the guests who are joining you for the meal. Complete the tablescape with coordinating Purim plates, cups and napkins. Includes - Includes 20 napkins   ",http://kinderblast.com/cdn/shop/products/purimnapkinsmockup.jpg?v=1641236622,https://kinderblast.com/products/purim-napkins
789185754686,Napkins,"Description Hosting a crowd this Purim? These Purim-themed paper goods will bring color and personality to your table, impressing the guests who are joining you for the meal. Complete the tablescape with coordinating Purim plates, cups and napkins. Includes - Includes 20 napkins   ",http://kinderblast.com/cdn/shop/products/purimnapkinsmockup.jpg?v=1641236622,https://kinderblast.com/products/purim-napkins
789185754778,Hilchos Shabbos Book For Kids,"Description Join the beloved Middos Menchies on a journey into the exciting world of Hilchos Shabbos! This full-sized, laminated comic book full of beautifully designed imagery and adorable dialogue will capture kids",http://kinderblast.com/cdn/shop/files/bookwebsite.jpg?v=1701782108,https://kinderblast.com/products/copy-of-siddur-for-kids?_pos=1&_sid=0871889ab&_ss=r
789185754877,Scratch Blast Card,"Description Get excited for the beauty of Shabbos with this creative project featuring the familiar look of candles, challah, and Kiddush. Simply scratch the coated surface to reveal the bright colors underneath the Shabbos picture. Use the included stylus to draw, sketch, and scratch your way to a Shabbos treat of you",http://kinderblast.com/cdn/shop/files/Screenshot_2025-02-06_at_3.02.16_PM.png?v=1739217063,https://kinderblast.com/products/scratch-blast-card-shabbos?_pos=1&_sid=667457889&_ss=r
789185754037,Jumbo Sticker Puzzle- Ner Hashem,"Description They can put together a comprehensive masterpiece of their own piece by piece, only with Sticker Puzzles! With beautiful images, we mixed the fun of stickers and the brain-boosting of puzzles for the kids’ favorite Sticker Puzzles! Unscramble this gigantic mystery picture by matching each sticker with the n",http://kinderblast.com/cdn/shop/products/Screen_Shot_2018-05-23_at_2.09.48_PM.png?v=1531880543,https://kinderblast.com/products/jumbo-sticker-puzzle-ner-hashem?_pos=1&_sid=aa6c9cf63&_ss=r
789185754136,Stencil Art,"Description Now anyone can create a Sukkah decoration that amazes with Stencil Art! Let your imagination take charge by using the stencil designs to scratch out your masterpiece, simple as can be! Just choose your Chanukah designs from the stencil options, place the stencils over the coated paper, and use the stylus to",http://kinderblast.com/cdn/shop/products/stencilartsukkos.jpg?v=1678387019,https://kinderblast.com/products/stencil-art-sukkos?_pos=1&_sid=8a9908791&_ss=r
789185754334,Jumbo Coloring Book,"Description Jumbo coloring for Jumbo fun! With its adorable pictures featuring the Middos Menchies characters, this book is guaranteed to keep them entertained for hours while teaching them about Shabbos!   Includes - Includes 12 sheets  - Book size: 11x17 inches  ",http://kinderblast.com/cdn/shop/files/ScreenShot2023-08-01at12.35.52PM_28fff4cb-c564-4acb-b99f-36ff6c754fff.png?v=1698151904,https://kinderblast.com/products/copy-of-jumbo-coloring-book-shabbos?_pos=1&_sid=c4998c9df&_ss=r
789185754426,Coloring Book,"Description This Pesach coloring book is for the books!. With its adorable pictures and numerous pages, this book will kill two birds with one stone. It is guaranteed to keep them entertained throughout the entire Pesach prep while preparing them for the Seder!  Includes Includes 24 pages",http://kinderblast.com/cdn/shop/files/Screenshot_2024-11-25_at_9.24.28_PM.png?v=1732588456,https://kinderblast.com/products/pesach-colring-book?_pos=1&_sid=23ee9b5f9&_ss=r
789185754785,Velvet Art,"Description This spectacular Shivas Haminim poster is fun to color in...and fun to touch! Fill in the white spaces with the included markers to create a unique decoration featuring a treasured Torah. Bright colors, soft velvet, and bold designs make this masterpiece one-of-a-kind! Instructions Using the included marker",http://kinderblast.com/cdn/shop/products/VelvetArtSukkos.jpg?v=1678387336,https://kinderblast.com/products/shivas-haminim-velvet-art?_pos=1&_sid=f4a4aa2dc&_ss=r
789185754884,Stencil Art,"Description Now anyone can create a Sukkah decoration that amazes with Stencil Art! Let your imagination take charge by using the stencil designs to scratch out your masterpiece, simple as can be! Just choose your Chanukah designs from the stencil options, place the stencils over the coated paper, and use the stylus to",http://kinderblast.com/cdn/shop/products/stencilartsukkos.jpg?v=1678387019,https://kinderblast.com/products/stencil-art-sukkos?_pos=1&_sid=94759f905&_ss=r
11318710024,Paint with Water Book,"Description The perfect way to look forward to Shabbos, every day of the week! Each page of this Shabbos paint book features an exciting scene from the special day, waiting to be filled in with bright colors. To start your Shabbos masterpiece, just wet the included paintbrush and dip into the any of the colors of that",http://kinderblast.com/cdn/shop/files/Screenshot2024-06-03at11.53.23AM.png?v=1717440367,https://kinderblast.com/products/paint-with-water-book-shabbos?_pos=1&_sid=e325f0055&_ss=r
701748592924,Sticker Puzzle,"Description Put the pieces together to celebrate! Reveal the fun and laughter of Purim with the fun of stickers and the brain-boosting of puzzles for the kids’ favorite Sticker Puzzles! Unscramble the mystery picture by matching each of the fifty-four-numbered stickers with the number on the grid. Learn about numbers,",http://kinderblast.com/cdn/shop/files/Screenshot_2024-11-25_at_9.26.19_PM.png?v=1732588459,https://kinderblast.com/products/sticker-puzzle-purim?_pos=1&_sid=72e0c389e&_ss=r
881314992706,Sticker Puzzle,"Description Get ready for Pesach as they put together this Sticker Puzzle and spot the Seder foods, Kiddush, Matzah, and more! We mixed the fun of stickers and the brain-boosting of puzzles for the kids’ favorite Sticker Puzzles. Unscramble the mystery picture by matching each of the fifty-four-numbered stickers with t",http://kinderblast.com/cdn/shop/files/Screenshot_2025-03-18_at_2.08.01_PM.png?v=1742321316,https://kinderblast.com/products/sticker-puzzle-pesach?_pos=1&_sid=29ae0e1b0&_ss=r
881314993086,Scratch Blast Card,"Description Get excited for the beauty of Shabbos with this creative project featuring the familiar look of candles, challah, and Kiddush. Simply scratch the coated surface to reveal the bright colors underneath the Shabbos picture. Use the included stylus to draw, sketch, and scratch your way to a Shabbos treat of you",http://kinderblast.com/cdn/shop/files/Screenshot_2025-02-06_at_3.02.16_PM.png?v=1739217063,https://kinderblast.com/products/scratch-blast-card-shabbos?_pos=1&_sid=cc87fb7ce&_ss=r
760354962224,Sticker By Number,"Description More than 500 stickers for hours of fun!  With this Sticker By Number, kids will curiously entertain themselves for a long time while creating a fun masterpiece!   Instructions Following the color key, arrange colored stickers on the numbered grid.     Includes - 500+ Stickers - Numbered Grid",http://kinderblast.com/cdn/shop/files/Screenshot_2025-02-06_at_3.04.03_PM_73e39bfb-3727-45c0-9f3e-044faa11c627.png?v=1739217753,https://kinderblast.com/products/sticker-by-number-torah?_pos=1&_sid=3c0fd149b&_ss=r
760354962248,Napkins,"Description Hosting a crowd this Purim? These Purim-themed paper goods will bring color and personality to your table, impressing the guests who are joining you for the meal. Complete the tablescape with coordinating Purim plates, cups and napkins. Includes - Includes 20 napkins   ",http://kinderblast.com/cdn/shop/products/purimnapkinsmockup.jpg?v=1641236622,https://kinderblast.com/products/purim-napkins
789185754006,Stick A Stud,Description Kids will love creative this Sukkos masterpiece! It,http://kinderblast.com/cdn/shop/files/Screenshot_2025-02-06_at_3.03.23_PM.png?v=1739217368,https://kinderblast.com/products/stick-a-stud-sukkos?_pos=1&_sid=81f8ef5cc&_ss=r
789185754273,Jumbo Coloring Book,"Description Jumbo coloring for Jumbo fun! With its adorable pictures featuring the Middos Menchies characters, this book is guaranteed to keep them entertained for hours while teaching them about Mitzvos!   Includes - Includes 12 sheets  - Book size: 11x17 inches  ",http://kinderblast.com/cdn/shop/files/ScreenShot2023-08-01at12.35.27PM.png?v=1717516422,https://kinderblast.com/products/jumbo-coloring-book-mitzvos?_pos=1&_sid=b68fa9424&_ss=r
