upc,title,description,image_url,product_url
mead_0,ERASER PEN,,,
mead_1,PILOT PEN P-500,,,
7033020119,BOX PENS,,,
38576905306,five star/mead 1 pocket folder,,,
43100042099,Five star 3 subject wide rule,,,
43100044215,70 SHEET WIDE RULED SPIRAL,,,
43100052067,WIDE RULED NOTEBOOK,,,
43100055129,1 Subject Spiral Notebbook 70 Sheets,,,
43100056379,MEAD 3 SUBJECT WIDE,,,
43100056522,5 wide ruled notebook,,,
43100057482,3 SUB COLLEGE RULED SPIRAL,,,
43100061120,five star 5 subject college ruled,,,
43100061885,college ruled notebook,,,
43100062066,1 COLLEGE RULED NOTEBOOK 100 SHEETS,,,
43100073345,COLLEGE RULED 70 PAGES NOTEBOOK,,,
43100073383,college ruled 70 pages,,,
43100073406,spirel notebook wide ruled 70 sheets,,,
43100073468,COLLEGE RULED 70 PAGES NOTEBOOK,,,
43100073505,college ruled 70 sheet,,,
43100073543,spirel noebook wide ruled 70 sheets,,,
43100073567,College ruled 70 sheet,,,
43100073604,college ruled 70 seet,,,
43100073642,wide ruled notebook 70 sheets,,,
43100073680,WIDE RULED NOTE BOOK 70 SHEETS,,,
43100073741,WIDE RULED NOTEBOOK 70 SHEET,,,
43100073864,COLLEGE RULED NOTEBOOK 70 SHEETS,,,
43100073888,WIDE RULED NOTEBOOK 70 SHEET,,,
43100073956,WIDE RULED NOTEBOOK 70 SHEETS,,,
43100074007,WIDE RULUD NOTEBOOK 70 SHEET,,,
43100074021,1 sUBJECT sPIRAL,,,
43100074045,wide ruled notebook,,,
43100074533,MEAD COLLEGE RULEDNOTEBOOK 70 COUNT ASST.,,,
43100080961,5STR 1SUB NOTEBK,,,
43100085058,FIVE STAR: 5 Subject - College Ruled 200 sheet,,,
43100092995,five star college ruled 100 sheet,,,
43100093855,MEAD: COMPOSITION BOOK FIVE STAR - RED,,,
43100095071,mead compbook wide ruled 70 ct,,,
43100095897,WIDE RULED 70 COUNT NOTEBOOK,,,
43100095958,mead compbook wide ruled 70 ct,,,
43100096542,notebook composition,,,
43100096566,COMPOSITION NOTEBOOK COLLEGE RULE,,,
43100096580,notebook,,,
43100096603,college ruled 70 sheets,,,
43100096627,notebook,,,
43100096665,notebook,,,
43100096726,COMPOSITION NOTEBOOK 70 SHEETS,,,
43100096788,NOTEBOOK,,,
43100096801,college ruled notebook,,,
43100096849,notebook composition,,,
43100096863,notebook composition,,,
43100096900,notebook composition,,,
43100096948,notebook composition,,,
43100096986,composition notebook college ruled 70 sheets,,,
43100097006,notebook composition,,,
43100097068,UP&UP COMPOSITION NOTEBOOK 70 SHEEET,,,
43100097167,notebook composition,,,
43100103110,MEAD COMPOSITION BOOK FIVE STAR BLACK 100 sheets,,,
43100103196,MEAD COMPOSITION BOOK FIVE STAR,,,
43100103370,wide ruled composition book 100 sheets,,,
43100103691,MEAD: WIDE RULED COMPOSITION BOOK- GREEN,,,
43100103714,MEAD: COMPOSITION BOOK FIVE STAR,,,
43100103752,MEAD: WIDE RULED COMPOSITION BOOK- YELLOW 100 sheets,,,
43100103813,43100103813,,,
43100103837,FIVE STAR NOTEBOOK,,,
43100103851,college ruled composition bbook five star,,,
43100103875,notebook,,,
43100103899,FIVE STAR COLLEGE RULED,,,
43100103936,MEAD: COLLEGE RULED COMPOSITION BOOK,,,
43100110736,FIVE STAR 3 SUBJECT COLLEGE RULED NOTEBOOK 150 SHEETS,,,
43100150084,WHITE PAPER COLLEGE RULED,,,
43100150831,FILLER PAPER REINFORCED,,,
43100151036,Mead Wide Ruled 150 sheets,,,
43100151111,150 college ruled paper,,,
43100152002,WIDE RULED PAPER 200 SHEETS,,,
43100153269,COLLEGE RULED PAPER,,,
43100290285,"MEAD 1"" CUSTOMIZABLE BINDER",,,
43100291923,FIVE STAR ZIPPER BINDER,,,
43100330554,2 pocket folder,,,
43100336273,Five Star 2 Pocket Customizable Folder,,,
43100337799,4 POCKET FOLDER,,,
43100340607,FIVE STAR REPORT COVER,,,
43100344155,2POCKET FOLDER,,,
43100344193,FIVESTAR 2 POCKET FOLDER WIT,,,
43100344230,FIVE STAR 2 POCKET FOLDER WITH PRONG,,,
43100344254,2 pocket folder,,,
43100344278,2 POCKET PRONG FOLDER,,,
43100344339,2 POCKET & PRONG FOLDER,,,
43100344391,PRONG FOLDER,,,
43100344650,2 POCKET FOLDER W/ PRONG,,,
43100344674,2 POCKET FOLDER W/PRONGS',,,
43100344698,FIVE STAR 2 POCKET,,,
43100350132,MEAD EXPANDING FILE,,,
43100350965,Five Star 5 Tab Binder Ready Expanding File,,,
