upc,title,description,image_url,product_url,piece_length,piece_width,piece_height
000772091060,Puffy Sticker Play Set - Safari,"Enjoy endless animal adventures with dozens of wild creatures! This reusable puffy sticker set includes a sturdy double-sided, fold-out background panel, plus 42 puffy stickers. Use the stickers to fill savannah or jungle scene with big cats, birds, elephants, hippos, and more. Easy to place, layer, and reposition, the reusable stickers make it easy to tell a story of safari adventure. Simply place the puffy stickers on the board, then change the picture whenever you're ready to change the story! The built-in sticker collection offers endless opportunities for kids to express their creativity, all while improving fine motor skills and communication. A diecut handle and fold-and-go format make this kids' sticker activity set great for travel, too! This product is certified by the Forest Stewardship Council. FSC certification ensures that products come from responsibly managed forests that provide environmental, social, and economic benefits, and that forests are protected for future generations. Please note that FSC certification applies to new inventory only (FSC C156584)",https://www.melissaanddoug.com/cdn/shop/files/1d270df72fe0c2173c7e79602ba178ef629ed680_1024x1024.jpg?v=1701703990,https://www.melissaanddoug.com/products/puffy-sticker-play-set-safari,11.0,8.2,0.2
000772301626,Mosaic Sticker Pad - Nature,"Piece together hundreds of colorful stickers to complete beautiful nature scenes! Match 12 pages of number-coded stickers to the numbered spaces on 12 pages of lushly drawn full-color scenes and see them come to life. Sticker sheets are removable for easy matching. It’s fun and easy for kids —and grown-ups, too!—to create mosaics of cardinals, a bee, chipmunk, hummingbird, and more with the more than 850 stickers. It’s a relaxing creative project for nature lovers seven to 107! This product is certified by the Forest Stewardship Council. FSC certification ensures that products come from responsibly managed forests that provide environmental, social, and economic benefits, and that forests are protected for future generations. Please note that FSC certification applies to new inventory only (FSC C156584)",https://www.melissaanddoug.com/cdn/shop/files/ab2fddb73115bc24defda0c40c664624caeb57df_bdc51d87-73bd-4c58-87a5-3df6aa99a468_1024x1024.jpg?v=1718813931,https://www.melissaanddoug.com/products/mosaic-sticker-pad-nature,12.0,9.0,0.25
000772041973,Reusable Sticker Pad - Play House!,"The reusable ""stickers"" in this set cling securely to the sturdy pages, then peel up easily when you're ready to make a change. Five glossy, full-color pages feature five rooms to decorate; five coordinating pages of accessories include 175+ stickers to fill them up! This product is certified by the Forest Stewardship Council. FSC certification ensures that products come from responsibly managed forests that provide environmental, social, and economic benefits, and that forests are protected for future generations. Please note that FSC certification applies to new inventory only (FSC C156584).",https://www.melissaanddoug.com/cdn/shop/files/c4e2c59ce32ef5017549f499e40e8b6c8cf4cf0c_1024x1024.jpg?v=1700170027,https://www.melissaanddoug.com/products/reusable-sticker-pad-play-house,14.05,11.05,0.2
000772502054,Melissa & Doug E-Gift Card,"Melissa &amp; Doug Gift Cards issued by Melissa &amp; Doug, LLC. Cards do not expire and there are no fees. Redeemable for merchandise and services at Melissa &amp; Doug website and stores. Not returnable, refundable or redeemable for cash except as required by law. For more information, please review the Melissa &amp;",https://cdn.shopify.com/s/files/1/0550/8487/5830/files/MD-Giftcards_Physical-PRINT_5.jpg?v=1695396856,https://www.melissaanddoug.com/products/melissa-doug-gift-card,,,
000772016377,Rainbow Stamp Pad,<p>The six bright colors of this value-priced inkpad will keep kids stamping in style! Stamp set features primary and secondary colors in washable ink for all stamping arts-and-crafts activities.</p>,https://www.melissaanddoug.com/cdn/shop/products/Rainbow-Stamp-Pad-001637-1-Packaging-Photo_1024x1024.jpg?v=1664906255,https://www.melissaanddoug.com/products/rainbow-stamp-pad,6.5,4.95,0.8
000772023047,Scissor Skills Activity Pad,"Kids love to cut with scissors--as you can see by the trail of scraps often left in their wake! This creative and practical activity pad gives an engaging, creative direction to scissor work, meaning more concentration and less mess. Organized from simple to more complex, 20 different paper cutting projects (with complete supplies included right in the pages of the book) practice slightly different skills and techniques, and produce 20 unique crafts, games, and activities to offer kids a creative focus and a sense of accomplishment. Plastic safety scissors are included, which naturally encourage proper form and are safe for preschoolers--but any pair of scissors can be used to complete the paper-cutting projects. This product is certified by the Forest Stewardship Council. FSC certification ensures that products come from responsibly managed forests that provide environmental, social, and economic benefits, and that forests are protected for future generations. Please note that FSC certification applies to new inventory only (FSC C156584).",https://www.melissaanddoug.com/cdn/shop/files/e61d84ce22c9e8b6dd4607f29d8edac68e1fb795_1024x1024.jpg?v=1700170460,https://www.melissaanddoug.com/products/scissor-skills-activity-pad,11.25,8.2,0.7
000772502344,Sticker WOW!™ Activity Pad & Sticker Stamper - Sea Turtle,"Melissa & Doug Sticker WOW!™ is a whole new way to play with stickers! Let the adorable, collectible Kelp the Sea Turtle stamp, stamp, stamp its way through 24 pages of fun-filled, ocean-themed counting, matching, and search-and-find activities. The refillable sticker stamper comes pre-loaded with a sticker stack of 300 assorted stickers – with 100 unique designs in every stack, each sticker is a surprise! Themed refill packs are sold separately and are compatible with any Sticker WOW!™ sticker stamper. Stickers are not reusable, but are easy to remove if necessary. Fill in the activity pages and use for creative art projects, such as bookmarks, posters, cards, and more. Easy-to-remove stickers and the convenient on-the-go format with built-in sticker stamper storage makes Sticker WOW!™ (patent pending) a great mess-free travel activity. Sticker WOW!™ promotes fine motor skills, encourages creative play, and it’s satisfying, fidget fun! This product is certified by the Forest Stewardship Council. FSC certification ensures that products come from responsibly managed forests that provide environmental, social, and economic benefits, and that forests are protected for future generations. Please note that FSC certification applies to new inventory only (FSC C156584)",https://www.melissaanddoug.com/cdn/shop/files/389d746f4b70ec5b7cfd42489b45d8227c49b65a_1024x1024.jpg?v=1724774421,https://www.melissaanddoug.com/products/sticker-wow-activity-pad-set-sea-turtle,10.0,6.0,1.85
000772005449,Primary Lacing Beads,"The bright and bold Melissa & Doug Primary Lacing Beads set is a must-have for budding imaginations! It includes 30 hand-painted, durable wooden beads in six vibrant colors, and two extra-long laces for plenty of hands-on play. The set of beads features five distinct shapes all designed for little hands to grasp, and the laces are thin enough to allow the beads to slide easily. Stringing the beads provides opportunities for pretend play and learning. The activity helps to promote shape recognition, hand-eye coordination, fine-motor skills, cognitive and visual perception skills, and creative expression. The set allows adults and children to explore multiple playing activities together. Parents or grown-up kids can ask the child to sort the beads by color or shape, identify them for the child, and repeat the activity until the child can identify all the colors and shapes independently. The lacing bead set makes a great gift for preschoolers and kids ages three and older.",https://www.melissaanddoug.com/cdn/shop/files/b3eaa8235c2f218217b57396d3523199c6349189_43fde12a-7a3b-4e94-b8ff-8b3eb1499641_1024x1024.jpg?v=1720547307,https://www.melissaanddoug.com/products/primary-lacing-beads,7.7,7.7,1.45
000772092951,Stained Glass Made Easy - Butterfly,"<p>This peel-and-press sticker craft gives kids everything they need to easily create a spectacular piece of ""stained glass"" art. Just hold up the sheet of colored stickers to the clear frame, peel them off one at a time, and stick them on. Grooves and outlines on the frame make it easy to fit each sticker--featuring realistic textures like bubbles or swirls--into just the right spot. Use the included cord and suction cup to hang the finished artwork in a sunny window to see the beautiful butterfly shimmer to life. Young artists will be enchanted by the results and proud to show them off!</p>",https://www.melissaanddoug.com/cdn/shop/products/Stained-Glass-Butterfly-009295-1-Assembled-Decorated_1024x1024.jpg?v=1664908919,https://www.melissaanddoug.com/products/stained-glass-made-easy-butterfly,10.75,10.25,0.7
000772051903,Magic Set in a Snap! Hocus Pocus Collection,"<p>It's a snap to learn and perform these professional caliber magic tricks! The tricks in this collection, geared for kids four and older, are simple to master, yet truly amazing to behold. The 12-piece set includes a coin that magically appears in a mesh bag, a case that makes a ""$100 bill"" disappear and re-appear, ball and vase tricks, and a scarf that disappears from a clear tube! Easy-to follow illustrated instructions help budding magicians learn the secrets behind these classic tricks that are sure to wow audiences of all ages!</p>",https://www.melissaanddoug.com/cdn/shop/products/Magic-in-a-Snap-Hocus-Pocus-Collection-005190-1-Pieces-Out_1024x1024.jpg?v=1664900309,https://www.melissaanddoug.com/products/magic-set-in-a-snap-hocus-pocus-collection,12.5,11.5,2.5
