upc,title,description,image_url,product_url
32309011807,P-51D Mustang™ Sweet Arlene,"Metal Earth kits are designed to craft detailed models from flat metal sheets. A rewarding hobby for ages 14 and up, appealing to adults, teens, and seniors.",https://www.metalearth.com/content/images/thumbs/0005232_p-51d-mustang-sweet-arlene_1200.png,https://www.metalearth.com/boeing/p-51d-mustang-sweet-arlene
32309011852,Excavator,"Metal Earth kits are designed to craft detailed models from flat metal sheets. A rewarding hobby for ages 14 and up, appealing to adults, teens, and seniors.",https://www.metalearth.com/content/images/thumbs/0003110_excavator_1200.png,https://www.metalearth.com/construction/excavator
32309010817,BASS FIDDLE,"Metal Earth kits are designed to craft detailed models from flat metal sheets. A rewarding hobby for ages 14 and up, appealing to adults, teens, and seniors.",https://www.metalearth.com/content/images/thumbs/0001147_bass-fiddle_1200.png,https://www.metalearth.com/musical/bass-fiddle
32309011814,DeLorean,"Metal Earth kits are designed to craft detailed models from flat metal sheets. A rewarding hobby for ages 14 and up, appealing to adults, teens, and seniors.",https://www.metalearth.com/content/images/thumbs/0005590_delorean_1200.png,https://www.metalearth.com/vehicles/delorean
32309020090,London Tower Bridge,"Discover the joy of building with Metal Earth kits and craft detailed models from flat sheets with included instructions. A fulfilling hobby for ages 14+, appealing to adults, teens, and seniors.",https://www.metalearth.com/content/images/thumbs/0004929_london-tower-bridge_1200.png,https://www.metalearth.com/premium/premium-london-tower-bridge
32309013696,Premium Series B-2A Spirit,"Metal Earth kits are designed to craft detailed models from flat metal sheets. A rewarding hobby for ages 14 and up, appealing to adults, teens, and seniors.",https://www.metalearth.com/content/images/thumbs/0002630_premium-series-b-2a-spirit_1200.png,https://www.metalearth.com/premium/b-2a-spirit
32309000160,F-22 RAPTOR,"Metal Earth kits are designed to craft detailed models from flat metal sheets. A rewarding hobby for ages 14 and up, appealing to adults, teens, and seniors.",https://www.metalearth.com/content/images/thumbs/0000929_f-22-raptor_1200.png,https://www.metalearth.com/aviation/f-22-raptor
32309220155,Kawasaki GPz900R,"Metal Earth kits are designed to craft detailed models from flat metal sheets. A rewarding hobby for ages 14 and up, appealing to adults, teens, and seniors.",https://www.metalearth.com/content/images/thumbs/0003712_kawasaki-gpz900r_1200.png,https://www.metalearth.com/premium/kawasaki-gpz900r
32309000016,Air Force One,"Officially licensed Boeing metal model. Metal Earth kits are designed to craft detailed models from flat metal sheets. A rewarding hobby for ages 14 and up, appealing to adults, teens, and seniors.",https://www.metalearth.com/content/images/thumbs/0004685_air-force-one_1200.png,https://www.metalearth.com/aviation/air-force-one
32309220117,The Spruce Goose,"Discover the joy of building with Metal Earth kits and craft detailed models from flat sheets with included instructions. A fulfilling hobby for ages 14+, appealing to adults, teens, and seniors.",https://www.metalearth.com/content/images/thumbs/0004935_the-spruce-goose_1200.png,https://www.metalearth.com/aviation/the-spruce-goose
32309015065,1908 FORD MODEL T,"Officially licensed Ford metal model. Metal Earth kits are designed to craft detailed models from flat metal sheets. A rewarding hobby for ages 14 and up, appealing to adults, teens, and seniors.",https://www.metalearth.com/content/images/thumbs/0000936_1908-ford-model-t_1200.png,https://www.metalearth.com/ford/1908-ford-model-t
32309220131,GOLD GOLDEN GATE BRIDGE,"Metal Earth kits are designed to craft detailed models from flat metal sheets. A rewarding hobby for ages 14 and up, appealing to adults, teens, and seniors.",https://www.metalearth.com/content/images/thumbs/0001731_gold-golden-gate-bridge_1200.png,https://www.metalearth.com/architecture/gold-golden-gate-bridge
