upc,title,description,image_url,product_url,piece_length,piece_width,piece_height
786138700080,SEQUIN BACJPACK,,,,,,
786138700004,SLAP BAND,,,,,,
786138701766,Charcoal backpack with sequin,,,,,,
86138103233,8 TAB DIVIDERS,,,,,,
86138104858,50 SHEET PROTECTORS (MOORE),,,,,,
786138700011,SEQUIN SNAP BRACELET 5-PACK,,,,,,
786138700103,SEQUIN BACKPACK,,,,,,
786138701698,MOORE CORRECTION TAPE,,,,,,
786138701773,Hanging sequin Iridescent backpack,,,,,,
786138700035,SEQUIN PENCIL CASE,,,,,,
786138701797,TRIP BAG,,,,,,
786138701667,200 SHEET PROTECTORS (MOORE),,,,,,
86138103264,PENCIL CASE,,,,,,
86138105589,20 SHEET PROTECTORS (MORRE),,,,,,
86138801726,CORRECTION PEN,,,,,,
86138804789,10 POCKET FOLDER,,,,,,
86138103271,2 POCKET FOLDER,,,,,,
86138105596,10 SHEET PROTECTORS (MOORE),,,,,,
786138700110,SEQUIN BACKPACK,,,,,,
786138701780,Clear Speckled Backpack,,,,,,
786138701728,MOORE CRAYON CASE,,,,,,
86138103240,5 TAB DIVIDERS,,,,,,
86138103219,MOORE 3 ZIPPER PENCIL CASE,,,,,,
86138104841,100 SHEET PROTECTORS (MOORE),,,,,,
86138103257,MOORE 3 ZIPPER PENCIL CASE,,,,,,
86138804772,6 POCKET FOLDER,,,,,,
786138705344,A FRIELICHEN CHANUKA CARDS,,,,,,
86138104728,STICK GLUE,,,,,,
86138802617,ABC LOWERCASE WOOD STAMP SET,,,,,,
86138802594,EMOJI STAMP SET,,,,,,
86138802587,NATURE STAMP SET,,,,,,
86138801955,CRAYON HOLDER BLUE/GREEN/RED,,,,,,
86138802563,ABC STAMPS,,,,,,
86138802570,FLOWER STAMPS SET,,,,,,
86138802600,ABC UPPERCASE WOOD STAMP SET,,,,,,
