upc,title,description,image_url,product_url,piece_length,piece_width,piece_height
86138107057,"8.5"" Rainbow Swirl Balls - Set of 6","Item#3159
Get Ready for Amazing Fun and Play with the Best Set of Colorful Swirl Playground Balls by New Bounce!Tired of flimsy, poor quality balls that don’t even make it through the first month of use?Do you need extra durable, long lasting playground balls that will offer your kids endless hours of fun and play?Then look no further than these fun balls in mesmerizing colors!Inspire Hours of Creative Play Indoors or Outdoors!A must have for all types of indoor or outdoor activities, like handball, kickball, dodgeball games, parties and festive events, classroom rewards, piñata games and lots more.Why Choose These Marbleized Balls by New Bounce:Nobody wants to waste money on flimsy kids’ toys that can’t withstand daily play.This is why we have specially made these playground balls to be extra durable and longer lasting, promising to stand up to rough housing and daily playing.Heavy duty rubber material that resists tearsPerfect for any type of playground activitiesIdeal size (8.5"") that makes it easy for little hands to hold, catch and throwGreat for classroom use and home school projectsEach pack contains 6 Balls (2 prints) with 2 pins and a handy pump.",https://newbouncesport.com/cdn/shop/products/3159.jpg?v=1676493285&width=1920,https://newbouncesport.com/products/rainbow-swirl-balls-set-of-6,,,
786138804733,Mini Trampoline,Item#3141 Great For Children And Adults - The mini trampoline is great for all ages. Whether it,http://newbouncesport.com/cdn/shop/products/71fp_6eSLSS._AC_SL1500.jpg?v=1764193893,https://newbouncesport.com/products/mini-trampoline,,,
786138804740,"36"" Mini Trampoline with Handlebar","
Item#3142
Family Fun - The adult and toddler trampoline are great for the entire family. With a large weight limit and sturdy surface, this is a great family fun.
Designed For All Ages - the 36"" mini trampoline has a weight limit of 150 Lbs. and the 40"" trampoline has a weight limit of 220 Lbs.
Safe - The trampoline has anti-skid legs and a high-density weave. The tension bands come with a protective blue padding and a orange handlebar on the 36"" trampoline for extra support.
Practical Design - The Trampoline and handlebar are easily folded for easy storage. The anti-skid legs will prevent skid marks on your floors.
Exercise And Workouts - The workout trampoline is great for your daily workout and exercise. It is an enjoyable way to burn fat and build muscle.

 
 
Product Description:
The Mini Trampoline Is A Great Way To Burn Calories While Having Fun!15 minutes of bouncing on the trampoline is equivalent to 30 minutes of jogging.Improve coordination and core strength while jumping on the trampoline.Children, teens, and adults will enjoy hours of productive exercise on the rebounder trampoline.The 36"" trampoline for kids can take up to 150 Lbs.Sturdy and high-density weave surface.Durable And Fun:The trampoline easily folds up for easy storage and portability.With sturdy and anti-skid legs, the indoor trampoline is great for both indoor and outdoor use.Read the Instruction Manual Before Assembling And Using.Precautions:Safety protections are needed in advance to prevent something dangerous, unpleasant, or inconvenient from happening.To prevent Head Injuries, we recommend that you always use a Helmet.Children must be supervised/guided by their parents while using.
 
 ",https://newbouncesport.com/cdn/shop/products/3142.jpg?v=1764193817&width=1920,https://newbouncesport.com/products/36-mini-trampoline-with-handlebar,,,
786138805877,Rocket Launcher,"Item# 3148 2-in-1 - The rocket launcher set includes 2 launch pads ,6 LED rockets, and an easy-to-read instruction. The rocket launcher is easily converted between handheld and on the ground. Additionally, the launchers can be tilted up to 30° for the perfect angle. Fun and Exciting - The rockets can soar up to 150 ft.",http://newbouncesport.com/cdn/shop/products/3149.jpg?v=1768413255,https://newbouncesport.com/products/rocket-launcher,,,
786138805891,Lawn Dart Set,"Item#3150

Family Fun - The lawn darts set includes 4 darts, 2 20"" target rings, 4 10"" target rings, 1 carry bag, and 1 easy-to-follow instructions. This is a great outdoor game for kids, adults, and the entire family! Have fun in your very own backyard!
Backyard Games - The target rings glow in the dark making this the perfect late-night family game! The darts have soft tips to ensure maximum safety while playing. With 2 ways to play, this game is designed for beginner and advanced players.
Learning Experience - The lawn darts set can be used for experimentation to teach STEM concepts. You can easily experiment with your child the concepts of velocity and distance. The set is recommended for children ages 5 and older. Designed for 2-4 players.
Quality Construction - The family lawn darts set is made with sturdy and durable construction that is designed to last! This set is a great outdoor toy for hours of fun and possibilities. Gift this for Christmas, Birthdays and so many other occasions!
Satisfaction Guaranteed - New Bounce works hard to ensure that they only carry top-of-the-line products. However, if you have any issues, please contact our friendly customer service team, and we will be sure to resolve any issue right away.

Product Description:
IT IS A GOOD TIME TO HAVE A GREAT TIME!The Lawn Darts set is a great toy to get your children (and yourself) outside and into hours of fun!Set Includes:4x Lawn Dart4x 10"" Target Rings2x 20"" Target Rings1x Instructions ManualFeatures:◻ The target rings glow in the dark.◻ The sturdy construction of the set ensures long hours of fun!◻ The darts have soft tips for maximum safety.Precautions:Children must be supervised/guided at all times by a parent or adult while using.Why New Bounce:New Bounce is known for providing quality products at outstanding value.Our mission is to provide your children with toys, games, and play accessories that they can enjoy for years to come.So, rest assured that you are buying the best of the best.If you ever have any issue with any of our products, our friendly customer service team is standing by to take your call and resolve the matter.",https://newbouncesport.com/cdn/shop/files/3150-MU.png?v=1764079229&width=1920,https://newbouncesport.com/products/lawn-dart-set,,,
786138805907,Bow and Arrow Set,"
Item#3151
Bow and Arrow - The bow and arrow for kids includes, 1 bow, 6 rocket arrows, 1 target poster and an easy to use manual instructions. The arrows are foam tipped making them safe for children to use and play with. Rocket arrows can fly as high as 120+ feet!
Archery Set for Kids - The kids bow and arrow is easy to assemble and ready to use. It can hold the included 6 arrows on the top of the arrow for quick and efficient play. The arrows are released with the pull of the lever in the back. Just aim and shoot!
Learning Experience - The foam bow and arrow set can be used for experimentation to teach STEM concepts. You can easily experiment with your child with the concepts of velocity and distance. The set is recommended for children ages 6 and older.
Quality Construction - The children's archery set is made with sturdy and durable construction that is designed to last! This set is a great outdoor toy for hours of fun and possibilities. Gift this for Christmas, Birthdays and so many other occasions!
Satisfaction Guaranteed - New Bounce works hard to ensure that they only carry top-of-the-line products. However, if you have any issues, please contact our friendly customer service team, and we will be sure to resolve any issue right away.

Product Description:
LAUNCHING A GREAT TIME!The bow and arrow set are a great toy to get your children outside and into hours of fun!Set Includes:1x Bow6x Rocket Arrows1x Instructions ManualFeatures:🏹The rocket arrows can soar up to 120+ feet into the air!🏹 The sturdy construction of the set ensures long hours of fun!🏹The speed and distance can be adjusted by tightening and loosening the string.Precautions:Children must be supervised/guided at all times by a parent or adult while using.Why New Bounce:New Bounce is known for providing quality products at outstanding value.Our mission is to provide your children with toys, games, and play accessories that they can enjoy for years to come.So, rest assured that you are buying the best of the best.If you ever have any issue with any of our products, our friendly customer service team is standing by to take your call and resolve the matter.",https://newbouncesport.com/cdn/shop/products/3151.jpg?v=1768419836&width=1920,https://newbouncesport.com/products/bow-and-arrow-set,,,
786138805921,Bean Bag Can Toss Games,"
Item#3153
Carnival Games - The all-classic backyard game includes 10 cans, 4 bean bags, a target poster, and easy-to-read instructions. Also included is 22 ft of string to hang the poster. The cans feature numbers and silly faces in various colors.
2-In-1 - The can toss set includes 2 games and different ways to play each. You can play can toss or banner toss. Whichever You wish to play, your toddlers, young teens, and even yourself can enjoy these classic party games.
Learning Experience - The can toss set can be used for experimentation to teach your child the concepts of velocity and distance. The set is recommended for children of all ages. The beginner and advanced game options make this a great party game!
Quality Construction - The family can toss sets are made with sturdy and durable construction that is designed to last! This set is a great outdoor toy for hours of fun and possibilities. Gift this for Christmas, Birthdays and so many other occasions!
Satisfaction Guaranteed - New Bounce works hard to ensure that they only carry top-of-the-line products. However, if you have any issues, please contact our friendly customer service team, and we will be sure to resolve any issue right away.

Product Description:
IT IS A GOOD TIME TO HAVE A GREAT TIME!The carnival game set is a great toy to get your children (and yourself) outside and into hours of fun!Set Includes:10x Cans4x Bean Bags1x Target Poster1x 22 ft String (to attach the poster)1x Instructions ManualThe box includes 2 exciting games:◻ Banner Toss (1 and 2-player versions)◻ Can TossAdditional Features:◻ Includes beginner and advanced game instructions.◻ Includes a clown Target Poster◻ The sturdy construction of the set ensures long hours of fun!Why New Bounce:New Bounce is known for providing quality products at outstanding value.Our mission is to provide your children with toys, games, and play accessories that they can enjoy for years to come.So, rest assured that you are buying the best of the best.If you ever have any issue with any of our products, our friendly customer service team is standing by to take your call and resolve the matter.",https://newbouncesport.com/cdn/shop/products/3153.jpg?v=1768412915&width=1920,https://newbouncesport.com/products/bean-bag-can-toss-games,,,
786138805969,"8.5"" Smiley Balls - Set of 6","Item#3155
Get Ready for Amazing Fun and Play with the Best Set of Colorful Smiley Playground Balls by New Bounce!Tired of flimsy, poor quality balls that don’t even make it through the first month of use?Do you need extra durable, long lasting playground balls that will offer your kids endless hours of fun and play?Then look no further than these fun smiley balls in mesmerizing colors!Inspire Hours of Creative Play Indoors or Outdoors!A must have for all types of indoor or outdoor activities, like handball, kickball, dodgeball games, parties and festive events, classroom rewards, piñata games and lots more.Why Choose These Marbleized Balls by New Bounce:Nobody wants to waste money on flimsy kids’ toys that can’t withstand daily play.This is why we have specially made these playground balls to be extra durable and longer lasting, promising to stand up to rough housing and daily playing.Heavy duty rubber material that resists tearsPerfect for any type of playground activitiesIdeal size (8.5"") that makes it easy for little hands to hold, catch and throwGreat for classroom use and home school projectsEach pack contains 6 Balls with 2 pins and a handy pump.",https://newbouncesport.com/cdn/shop/products/3155.jpg?v=1676492994&width=1920,https://newbouncesport.com/products/8-5-smiley-balls-set-of-6,,,
786138805983,"8.5"" Lego Print Ball - Set of 6","Item#3157
 
Get Ready for Amazing Fun and Play with the Best Set of Brick Printed Playground Balls by New Bounce!Tired of flimsy, poor quality balls that don’t even make it through the first month of use?Do you need extra durable, long lasting playground balls that will offer your kids endless hours of fun and play?Then look no further than these fun brick print balls in mesmerizing colors!Inspire Hours of Creative Play Indoors or Outdoors!A must have for all types of indoor or outdoor activities, like handball, kickball, dodgeball games, parties and festive events, classroom rewards, piñata games and lots more.Why Choose These Marbleized Balls by New Bounce:Nobody wants to waste money on flimsy kids’ toys that can’t withstand daily play.This is why we have specially made these playground balls to be extra durable and longer lasting, promising to stand up to rough housing and daily playing.Heavy duty rubber material that resists tearsPerfect for any type of playground activitiesIdeal size (8.5"") that makes it easy for little hands to hold, catch and throwGreat for classroom use and home school projectsEach pack contains 6 Balls with 2 pins and a handy pump.",https://newbouncesport.com/cdn/shop/products/3157.jpg?v=1676493170&width=1920,https://newbouncesport.com/products/8-5-lego-print-ball-set-of-6,,,
786138806003,"8.5"" Rainbow Swirl Balls - Set of 6","Item#3159
Get Ready for Amazing Fun and Play with the Best Set of Colorful Swirl Playground Balls by New Bounce!Tired of flimsy, poor quality balls that don’t even make it through the first month of use?Do you need extra durable, long lasting playground balls that will offer your kids endless hours of fun and play?Then look no further than these fun balls in mesmerizing colors!Inspire Hours of Creative Play Indoors or Outdoors!A must have for all types of indoor or outdoor activities, like handball, kickball, dodgeball games, parties and festive events, classroom rewards, piñata games and lots more.Why Choose These Marbleized Balls by New Bounce:Nobody wants to waste money on flimsy kids’ toys that can’t withstand daily play.This is why we have specially made these playground balls to be extra durable and longer lasting, promising to stand up to rough housing and daily playing.Heavy duty rubber material that resists tearsPerfect for any type of playground activitiesIdeal size (8.5"") that makes it easy for little hands to hold, catch and throwGreat for classroom use and home school projectsEach pack contains 6 Balls (2 prints) with 2 pins and a handy pump.",https://newbouncesport.com/cdn/shop/products/3159.jpg?v=1676493285&width=1920,https://newbouncesport.com/products/rainbow-swirl-balls-set-of-6,,,
