upc,title,description,image_url,product_url,piece_length,piece_width,piece_height
786138706112,35 PC WOODEN TRAIN SET,Dimensions: 1.3448 x 0.9184 x 0.4756 ft,,,1.3448,0.9184,0.4756
786138700547,PLAY BUILD POLICE STATION,Dimensions: 1.5416 x 1.0824 x 0.8528 ft,,,1.5416,1.0824,0.8528
86138800248,PLAY BUILD BOARDS 2PK,Dimensions: 1.3448 x 0.9184 x 0.4756 ft,,,1.3448,0.9184,0.4756
86138804130,LEGO PLAY TABLE,Dimensions: 1.3448 x 0.9184 x 0.4756 ft,,,1.3448,0.9184,0.4756
786138707942,Snapid 100 Pc - Black,Dimensions: 0.3936 x 0.3936 x 0.7872 ft,,,0.3936,0.3936,0.7872
786138707959,Snapid 100 Pc - White,Dimensions: 0.3936 x 0.3936 x 0.7872 ft,,,0.3936,0.3936,0.7872
786138707966,Snapz 100 Pc Bucket - Purple,Dimensions: 0.3936 x 0.3936 x 0.7872 ft,,,0.3936,0.3936,0.7872
786138707973,Snapz 100 Pc Bucket - Orange,Dimensions: 0.3936 x 0.3936 x 0.7872 ft,,,0.3936,0.3936,0.7872
786138707980,Snapid 100 Pc - Light Pink,Dimensions: 0.3936 x 0.3936 x 0.7872 ft,,,0.3936,0.3936,0.7872
786138707997,Snapz 100 Pc Bucket - Brown,Dimensions: 0.3936 x 0.3936 x 0.7872 ft,,,0.3936,0.3936,0.7872
786138708000,Snapz 100 Pc Bucket - Clear,Dimensions: 0.3936 x 0.3936 x 0.7872 ft,,,0.3936,0.3936,0.7872
786138708017,Snapz 100 Pc Bucket - Gold,Dimensions: 0.3936 x 0.3936 x 0.7872 ft,,,0.3936,0.3936,0.7872
786138708024,Snapz 100 Pc Bucket - Silver,Dimensions: 0.3936 x 0.3936 x 0.7872 ft,,,0.3936,0.3936,0.7872
786138708963,Building Bricks Playground,Dimensions: 0.8364 x 0.8364 x 0.2296 ft,,,0.8364,0.8364,0.2296
786138706105,100 PC WOODEN TRAIN SET,Dimensions: 0.8364 x 0.8364 x 0.2296 ft,,,0.8364,0.8364,0.2296
86138802549,150 BRISLE BLOCKS,Dimensions: 1.2464 x 0.9676 x 0.2296 ft,,,1.2464,0.9676,0.2296
86138800187,PLAY BUILD SUPERMARKET,Dimensions: 0.9184 x 0.656 x 0.41 ft,,,0.9184,0.656,0.41
86138800262,PLAY BUILD FIRE STATION,Dimensions: 0.9184 x 0.656 x 0.41 ft,,,0.9184,0.656,0.41
86138800217,PLAY BUILD SCHOOL BUS,Dimensions: 0.9184 x 0.656 x 0.41 ft,,,0.9184,0.656,0.41
786138706099,80 PC WOODEN TRAIN SET,Dimensions: 1.3448 x 0.9184 x 0.4756 ft,,,1.3448,0.9184,0.4756
786138710607,Toys4U Brick Store,Dimensions: 1.3448 x 0.9184 x 0.4756 ft,,,1.3448,0.9184,0.4756
786138701995,SNAPZ 500 PIECE SET,Dimensions: 1.3448 x 0.9184 x 0.4756 ft,,,1.3448,0.9184,0.4756
786138704675,Ballistic Bucket,Dimensions: 1.3448 x 0.9184 x 0.4756 ft,,,1.3448,0.9184,0.4756
31144047149,MEITIV Snapz 400pc,Dimensions: 1.0496 x 0.82 x 0.1804 ft,,,1.0496,0.82,0.1804
786138701537,Brisle Blox 256 pc,Dimensions: 0.4854 x 0.4854 x 0.4789 ft,,,0.4854,0.4854,0.4789
786138708970,Building Bricks Construction,Dimensions: 1.3448 x 0.9184 x 0.4756 ft,,,1.3448,0.9184,0.4756
786138708987,Building Bricks Firestation,Dimensions: 1.3448 x 0.9184 x 0.4756 ft,,,1.3448,0.9184,0.4756
786138708994,Building Bricks Police station,Dimensions: 1.3448 x 0.9184 x 0.4756 ft,,,1.3448,0.9184,0.4756
786138709007,Building Bricks Dollhouse,Dimensions: 0.9184 x 0.656 x 0.41 ft,,,0.9184,0.656,0.41
786138709014,Building Bricks Summerhouse,Dimensions: 1.3448 x 0.9184 x 0.4756 ft,,,1.3448,0.9184,0.4756
786138709021,Building Bricks Vehicles,Dimensions: 1.3448 x 0.9184 x 0.4756 ft,,,1.3448,0.9184,0.4756
786138709038,Building Bricks My First number Train,Dimensions: 0.82 x 0.656 x 0.2296 ft,,,0.82,0.656,0.2296
786138709045,Building Bricks SUPER SET 500 pc,Dimensions: 0.9184 x 0.656 x 0.41 ft,,,0.9184,0.656,0.41
786138709663,Snap Tubo,Dimensions: 1.3448 x 0.9184 x 0.4756 ft,,,1.3448,0.9184,0.4756
786138709670,Tubo Transparent,Dimensions: 1.3448 x 0.9184 x 0.4756 ft,,,1.3448,0.9184,0.4756
786138709687,Slyders Transparent,,,,,,
786138709694,Marble Run,,,,,,
786138710317,Flex Tracks,,,,,,
786138710324,Speed Tracks,,,,,,
86138800231,PLAY BUILD BOARDS 2PK,,,,,,
786138700554,PLAY BUILD AIRPORT SET,,,,,,
786138701117,STRAW BUILD 816 PC.,,,,,,
786138703227,PILO 144 PC SET BUCKET,,,,,,
786138703920,PLAYBUILD 500 PIECE SUPER SET,,,,,,
786138704712,HexTile Bucket,,,,,,
786138703623,CONESTAX 48 PC BUCKET,,,,,,
786138704736,CapSnaps Bucket,,,,,,
786138701988,Snapid 1000pc set,,,,,,
786138704743,Platformers Bucket 500 pc set,,,,,,
786138701124,BARIFIC 672 PC.,,,,,,
786138703319,Playbuild 68 Piece Build a Fort,,,,,,
786138704729,Rainbow pegs deluxe set Bucket,,,,,,
786138700622,Bricks BASEPLATE PINK,,,,,,
786138704705,DiscO's Bucket,,,,,,
786138706778,BARIFIC DELUXE 1344 PCS BUCKET,,,,,,
786138701162,TUBO 128 PC.,,,,,,
786138704682,Unity Flexi Figures Bucket 50 Pc.,,,,,,
786138701179,Slyders 60 pcs,,,,,,
786138704699,InterLink Bucket,,,,,,
786138706754,Snapid 400pc set,,,,,,
86138800255,COMMUNITY FIGURES 16 PC,,,,,,
786138700301,PEGS 26PC,,,,,,
786138700776,PLAYKIDZ FIRE TRUCK,,,,,,
