upc,title,description,image_url,product_url,piece_length,piece_width,piece_height
786138701759,50 Sheet A5 Rainbow scratch card – Playkidiz,"About this item

 

Create colourful sketches and sayings from scratch! Looking for an easy way to entertain kids for hours? These moderately sized sheets are 5.8 x 8.3 perfect size for home and on the go! From curious kindergarten students to artsy teens to bored adults, everyone is spellbound by the colourful enchantment of Scratch It Rainbow Sheets by Playkidz Art.",https://playkidiz.com/wp-content/uploads/2022/03/3110-500.jpg,https://playkidiz.com/product/50-sheet-a5-rainbow-scratch-card/,5.8,8.3,
786138704644,Lacing kit Bucket,,,,,,
786138701155,Color pop Jr.,,,,,,
786138705399,12pc Paint Sticks Classic Colours – Playkidiz,"About this item

Colour in style with Playkidiz mess-free Paint Sticks! Quick-drying and washable these paint sticks are a great addition to your toddler’s art supplies. No smudge and no mess make paint sticks the ideal toddler paint party fun! Dimensions: Each wax Paint Stick Measures 3″ long What you get: 6 x Twistable Paint Stick Markers Color: 12eye-catching Classic Colors Why you’ll love Playkidiz Paint Sticks: No Mess Quick-drying Smudge-free fun, hours of entertainment!

Safety Warning

F",https://playkidiz.com/wp-content/uploads/2022/03/3135-Paint-500.jpg,https://playkidiz.com/product/12pc-paint-sticks-classic-colours/,,,
786138705474,24pc 3D Puff Paint Classic Colours – Playkidiz,"About this item

All Playmags pieces meet or exceed performance safety specifications established by leading organizations in safety. Unique Design: Each block features a unique Union Jack shape at the center to give it super strength – and a cool look. Learn early math concepts with Playmags Playhouse! They will teach you fractions, number graphing, building patterns shape puzzles and simple addition sentences. The versatile Playmags engage children in creative play and help them learn and prac",https://playkidiz.com/wp-content/uploads/2022/03/3140-500.jpg,https://playkidiz.com/product/24pc-3d-puff-paint-classic-colours/,,,
786138701933,"7,000 Water Beads Kit",,,,,,
786138705405,12pc Paint Sticks Neon & Metallic Colours – Playkidiz,"About this item

Colour in style with Playkidiz mess-free Paint Sticks! Quick-drying and washable these paint sticks are a great addition to your toddlers art supplies. No smudge and no mess make paint sticks the ideal toddler paint party fun! Dimensions: Each wax Paint Stick Measures 3″ long What you get: 12 x Twistable Paint Stick Markers Color: 12 eye-catching Neon & Metallic Colors Why you’ll love Playkidiz Paint Sticks: No Mess Quick-drying Smudge-free fun, hours of entertainment!

Safety W",https://playkidiz.com/wp-content/uploads/2022/03/3136-Paint-500.jpg,https://playkidiz.com/product/12pc-paint-sticks-neon-metallic-colours/,,,
786138705481,6 Pc 3D Puff Paint - Neon,,,,,,
786138701735,Holographic Rainbow Scratch Magic – Playkidiz,"About this item

Create colourful sketches and sayings from scratch! Looking for an easy way to entertain kids for hours? Mini notes are 3.5″ x 3.5″ perfect size for home and on the go! From curious kindergarten students to artsy teens to bored adults, everyone is spellbound by the colourful enchantment of “Scratch It Holographic Rainbow Notes” by Playkidz Art",https://playkidiz.com/wp-content/uploads/2022/03/3108-500.jpg,https://playkidiz.com/product/holographic-rainbow-scratch-magic/,3.5,3.5,
786138705450,3D 12pc Puff Paint Classic colours – Playkidiz,"About this item

Size:12 Pack All the puff paint adheres to strict quality standards. It is non-toxic and kid-friendly. Playkidiz Washable Puff Paint set is designed to develop skills, colour recognition skills and hand-eye coordination. It is a great activity for the kids to play around and create different, creative designs, and creations. Our large volume puff paint totally satisfies children to create large scale art works Playkidiz Puff Paint set is equipped with a box, it is the best choic",https://playkidiz.com/wp-content/uploads/2022/03/3141-500.jpg,https://playkidiz.com/product/3d-12pc-puff-paint-classic-colours/,,,
