upc,title,description,image_url,product_url
97138915757,Bat And Ball Set,Item: TY-BASBA,https://rinovelty.com/Products/Import/TYBASBA/70821/image-thumb__70821__gallery-main/TYBASBA.ddc2ad12.jpg,https://rinovelty.com/t-bat-and-ball-set~p22049
97138915757,Bat And Ball Set,Item: TY-BASBA,https://rinovelty.com/Products/Import/TYBASBA/70821/image-thumb__70821__gallery-main/TYBASBA.ddc2ad12.jpg,https://rinovelty.com/t-bat-and-ball-set~p22049
97138901903,"2.5"" 2 In 1 Speed Top Flyer",Item: TY-TOPSP,https://rinovelty.com/Products/Import/TYTOPSP/159586/image-thumb__159586__gallery-main/TYTOPSP.8702b055.jpg?md=1761850023,https://rinovelty.com/t-25-2-in-1-speed-top-flyer~p22541
97138901903,"2.5"" 2 In 1 Speed Top Flyer",Item: TY-TOPSP,https://rinovelty.com/Products/Import/TYTOPSP/159586/image-thumb__159586__gallery-main/TYTOPSP.8702b055.jpg?md=1761850023,https://rinovelty.com/t-25-2-in-1-speed-top-flyer~p22541
97138808004,Light-Up Retro Sunglasses,Item: GL-SUNSG,https://rinovelty.com/Products/Import/GLSUNSG/63766/image-thumb__63766__gallery-main/GLSUNSG.7c780b67.jpg,https://rinovelty.com/t-light-up-retro-sunglasses~p12208
97138808004,Light-Up Retro Sunglasses,Item: GL-SUNSG,https://rinovelty.com/Products/Import/GLSUNSG/63766/image-thumb__63766__gallery-main/GLSUNSG.7c780b67.jpg,https://rinovelty.com/t-light-up-retro-sunglasses~p12208
97138803504,"Ping Pong Pro Paddle Ball 7""",Item: SX-27806,https://rinovelty.com/Products/Import/SX27806/119025/image-thumb__119025__gallery-main/SX27806.c0f88e45.jpg,https://rinovelty.com/ping-pong-pro-paddle-ball-7~p42258936
97138803504,"Ping Pong Pro Paddle Ball 7""",Item: SX-27806,https://rinovelty.com/Products/Import/SX27806/119025/image-thumb__119025__gallery-main/SX27806.c0f88e45.jpg,https://rinovelty.com/ping-pong-pro-paddle-ball-7~p42258936
97138783899,"Spray Pump Mister 8.25""",Item: FR-PMIST,https://rinovelty.com/Products/Import/FRPMIST/30148/image-thumb__30148__gallery-main/1.51a6ed6e.jpg,https://rinovelty.com/t-spray-pump-mister-825~p11428
97138783899,"Spray Pump Mister 8.25""",Item: FR-PMIST,https://rinovelty.com/Products/Import/FRPMIST/30148/image-thumb__30148__gallery-main/1.51a6ed6e.jpg,https://rinovelty.com/t-spray-pump-mister-825~p11428
97138782618,Rectangular Leopard Sunglasses,Item: SG-CATCH,https://rinovelty.com/Products/Import/SGCATCH/84546/image-thumb__84546__gallery-main/SGCATCH.12345a19.jpg,https://rinovelty.com/rectangular-leopard-sunglasses~p16881838
97138782618,Rectangular Leopard Sunglasses,Item: SG-CATCH,https://rinovelty.com/Products/Import/SGCATCH/84546/image-thumb__84546__gallery-main/SGCATCH.12345a19.jpg,https://rinovelty.com/rectangular-leopard-sunglasses~p16881838
97138760319,"19"" Stadium Horn",Item: CA-STA19,https://rinovelty.com/Products/Import/CASTA19/28676/image-thumb__28676__gallery-main/1.f1d43d4f.jpg,https://rinovelty.com/t-19-stadium-horn~p9943
97138760319,"19"" Stadium Horn",Item: CA-STA19,https://rinovelty.com/Products/Import/CASTA19/28676/image-thumb__28676__gallery-main/1.f1d43d4f.jpg,https://rinovelty.com/t-19-stadium-horn~p9943
97138748058,"5"" Halloween Plush Character Ball",Item: ZH-BALL5,https://rinovelty.com/Products/Import/ZHBALL5/121980/image-thumb__121980__gallery-main/ZHBALL5.b53a21c8.jpg,https://rinovelty.com/t-5-halloween-plush-character-ball~p45420027
97138748058,"5"" Halloween Plush Character Ball",Item: ZH-BALL5,https://rinovelty.com/Products/Import/ZHBALL5/121980/image-thumb__121980__gallery-main/ZHBALL5.b53a21c8.jpg,https://rinovelty.com/t-5-halloween-plush-character-ball~p45420027
97138730381,"Green Tablecloth Roll 1mil 100'X40""",Item: PS-TRGRE,https://rinovelty.com/Products/Import/PSTRGRE/67903/image-thumb__67903__gallery-main/PSTRGRE.c2c2b937.jpg,https://rinovelty.com/green-tablecloth-roll-1mil-100x40~p19261
97138730381,"Green Tablecloth Roll 1mil 100'X40""",Item: PS-TRGRE,https://rinovelty.com/Products/Import/PSTRGRE/67903/image-thumb__67903__gallery-main/PSTRGRE.c2c2b937.jpg,https://rinovelty.com/green-tablecloth-roll-1mil-100x40~p19261
97138729064,Lanard Disc Domination Disc Cyclone,Item: UB-LADIS,https://rinovelty.com/Products/Import/UBLADIS/60634/image-thumb__60634__gallery-main/UBLADIS.48e6dfe3.jpg,https://rinovelty.com/lanard-disc-domination-disc-cyclone~p3418452
97138729064,Lanard Disc Domination Disc Cyclone,Item: UB-LADIS,https://rinovelty.com/Products/Import/UBLADIS/60634/image-thumb__60634__gallery-main/UBLADIS.48e6dfe3.jpg,https://rinovelty.com/lanard-disc-domination-disc-cyclone~p3418452
97138695338,"1""(27mm) Hi-Bounce Balls Assortment-Carded",Item: BA-27CAS,https://rinovelty.com/Products/Import/BA27CAS/60878/image-thumb__60878__gallery-main/BA27CAS.a7dd074d.jpg,https://rinovelty.com/127mm-hi-bounce-balls-assortment-carded~p3452265
97138695338,"1""(27mm) Hi-Bounce Balls Assortment-Carded",Item: BA-27CAS,https://rinovelty.com/Products/Import/BA27CAS/60878/image-thumb__60878__gallery-main/BA27CAS.a7dd074d.jpg,https://rinovelty.com/127mm-hi-bounce-balls-assortment-carded~p3452265
97138655516,"9"" Soccer Ball Inflate",Item: IB-SOC09,https://rinovelty.com/Products/Import/IBSOC09/64322/image-thumb__64322__gallery-main/IBSOC09.3c2ce374.jpg,https://rinovelty.com/9-soccer-ball-inflate~p12984
97138655516,"9"" Soccer Ball Inflate",Item: IB-SOC09,https://rinovelty.com/Products/Import/IBSOC09/64322/image-thumb__64322__gallery-main/IBSOC09.3c2ce374.jpg,https://rinovelty.com/9-soccer-ball-inflate~p12984
97138654960,"8"" Flame Mini Football",Item: SB-MINFL,https://rinovelty.com/Products/Import/SBMINFL/70000/image-thumb__70000__gallery-main/SBMINFL.92ca7f84.jpg,https://rinovelty.com/8-flame-mini-football~p20273
97138654960,"8"" Flame Mini Football",Item: SB-MINFL,https://rinovelty.com/Products/Import/SBMINFL/70000/image-thumb__70000__gallery-main/SBMINFL.92ca7f84.jpg,https://rinovelty.com/8-flame-mini-football~p20273
