upc,title,description,image_url,product_url,piece_length,piece_width,piece_height
786138703739,SANDS SILICONE WATCH - BLACK,,,,,,
786138703814,SANDS DIGITAL WATCH - BLUE,,,,,,
786138704132,SANDS DELUXE DIGITAL WATCH - BLUE,,,,,,
786138703746,SANDS SILICONE WATCH - BLUE,,,,,,
786138703715,SANDS DIGITIME LED WATCH - PINK,,,,,,
786138703791,SANDS DIGITAL WATCH - PINK,,,,,,
786138704118,SANDS DELUXE DIGITAL WATCH - PINK,,,,,,
786138703753,SANDS SILICONE WATCH - PURPLE,,,,,,
786138703692,SANDS DIGITIME LED WATCH - BLUE,,,,,,
786138703777,SANDS SILICONE WATCH - RED,,,,,,
786138704095,SANDS DELUXE DIGITAL WATCH - BLACK,,,,,,
786138703722,SANDS DIGITIME LED WATCH - RED,,,,,,
786138703807,SANDS DIGITAL WATCH - WHITE,,,,,,
786138704125,SAND DELUXE DIGITAL WATCH - PURPLE,,,,,,
86138802723,SAND WATCHES,,,,,,
786138703685,SANDS DIGITIME LED WATCH -BLACK,,,,,,
786138703760,SANDS SILICONE WATCH - PINK,,,,,,
786138703708,SANDS DIGITIME LED WATCH - PURPLE,,,,,,
786138703784,SANDS DIGITAL WATCH - BLACK,,,,,,
786138704101,SANDS DELUXE DIGITAL WATCH - RED,,,,,,
