upc,title,description,image_url,product_url,piece_length,piece_width,piece_height
9781101934708,NATE/MISSING BIRTHDAY SNAKE,,,,,,
4001505000331,"12 "" Classic Teddy bear Linda, pale pink",,,,,,
4001505063916,"16 "" Soft Cuddly Friends Aila seal, ice blue",,,,,,
4001505066153,"17 "" Bharat, white tiger",,,,,,
4001505073748,"12 "" Soft Cuddly Friends Dinkie donkey, grey",,,,,,
4001505073946,Lita Lamb,"These are my attributes
Item number: 073946

Even Little Bo Peep could not have imagined a more precious baby sheep than our Lita. Instead of wool, this extra-cuddly little lamb has a coat that’s softer than silk - inviting hugs, kisses, and petting. Children will love her darling design, her fetching face, and her pleasing personality. Parents will appreciate her proven safety, easy care, and durable construction. With her many charms, Lita makes both kids and adults happy. So bring her home today. From our ""Friends Under $50"" collection of toys designed to put the joy of owning a genuine Steiff animal within reach of every child. Featuring the famous ""Button in Ear"" trademark, symbol of the company that invented soft toys 140 years ago. Lita comes in 2 sizes: medium, 12"" (Lita Lamb EAN 073427) and small 8"" (pictured)  

Steiff stands for highest safety & quality
What makes me special?
Health safety
Unrivalled quality since 1880
Top-quality materials
How do you take care of me?
Further product information and notes
Manufacturer's notes:
Margarete Steiff GmbH
Richard-Steiff-Straße 4
89537 Giengen/Brenz
Deutschland
info@steiff.com
Country of Origin: Tunisia",https://www.steiff.com/img/600/600/resize/catalog/product/s/o/soft-cuddly-friends-lita-lamm-073946-7.jpg,https://www.steiff.com/en-us/lita-lamb-073946,8,,
4001505084072,"16 "" Nero Panther",,,,,,
4001505087837,"11 "" Bronko Brontosaurus",,,,,,
4001505242359,My First Steiff Ellie Elephant Musical Pull Toy,"These are my attributes
Item number: 242731

The “My First Steiff” Ellie elephant as a music box is an amazing experience for all baby’s senses. Ellie radiates warmth with her cheerful smile and loving gaze, while her big ears and soft fur provide a comforting tactile experience. And when you wind the music box, the soft sound of “Schlafe, mein Prinzchen” (a German lullaby) soothes your little darling to sleep. Featuring “My First Steiff” embroidery in the ear.

Steiff stands for highest safety & quality
What makes me special?
Health safety
Unrivalled quality since 1880
with removable music box
How do you take care of me?
Further product information and notes
Manufacturer's notes:
Margarete Steiff GmbH
Richard-Steiff-Straße 4
89537 Giengen/Brenz
Deutschland
info@steiff.com
Country of Origin: Cambodia",https://www.steiff.com/img/600/600/resize/catalog/product/s/o/soft-cuddly-friends-my-first-steiff-ellie-elefant-spieluhr-242731-9.jpg,https://www.steiff.com/en-us/my-first-steiff-ellie-elephant-musical-pull-toy-242731,11,,
4001505500725,"37 "" Studio Elephant, grey",,,,,,
4001505012891,Charly Dangling Teddy Bear,"These are my attributes
Item number: 012891

Who’s ready for fun? Charly is always the first to raise his hand! Made of the softest plush and without harmful dyes or materials, Charly Teddy is the perfect adventure partner for your children and their friends. Wears the world-famous ""Button in Ear"" - a symbol of the highest standards in quality and safety. Also available in 6-in and 12-in sizes, available in beige.

Steiff stands for highest safety & quality
What makes me special?
Health safety
Unrivalled quality since 1880
Top-quality materials
How do you take care of me?
Further product information and notes
Manufacturer's notes:
Margarete Steiff GmbH
Richard-Steiff-Straße 4
89537 Giengen/Brenz
Deutschland
info@steiff.com
Country of Origin: Tunisia",https://www.steiff.com/img/600/600/resize/catalog/product/c/h/charly-schlenker-teddybaer-012891-22.jpg,https://www.steiff.com/en-us/charly-dangling-teddy-bear-012891,12,,
4001505060298,"12 "" Soft Cuddly Friends Bingo monkey, beige",,,,,,
4001505076947,"18 "" Andor Golden Retriever , light brown tip",,,,,,
4001505080463,"8 "" Hoppie Rabbit, Lt grey",,,,,,
4001505084102,"7 "" Billy tiger, striped",,,,,,
4001505099366,"12 "" Mimmi Dangling cat, black/white",,,,,,
4001505122163,"11 "" Jaycee Border Collie, black/white",,,,,,
4001505280016,"9 "" Steiff's Little Friend Sissi Piglet, pale pink",,,,,,
4001505012815,Charly Dangling Teddy Bear,"These are my attributes
Item number: 012891

Who’s ready for fun? Charly is always the first to raise his hand! Made of the softest plush and without harmful dyes or materials, Charly Teddy is the perfect adventure partner for your children and their friends. Wears the world-famous ""Button in Ear"" - a symbol of the highest standards in quality and safety. Also available in 6-in and 12-in sizes, available in beige.

Steiff stands for highest safety & quality
What makes me special?
Health safety
Unrivalled quality since 1880
Top-quality materials
How do you take care of me?
Further product information and notes
Manufacturer's notes:
Margarete Steiff GmbH
Richard-Steiff-Straße 4
89537 Giengen/Brenz
Deutschland
info@steiff.com
Country of Origin: Tunisia",https://www.steiff.com/img/600/600/resize/catalog/product/c/h/charly-schlenker-teddybaer-012891-22.jpg,https://www.steiff.com/en-us/charly-dangling-teddy-bear-012891,12,,
4001505023033,"12 "" Teddies for tomorrow Tom Teddy bear, cappuccino",,,,,,
4001505063855,"11 "" SCF Tuggy Tortoise",,,,,,
4001505065699,"10 "" Soft Cuddly Friends Liam lion,",,,,,,
4001505069086,Cozy Christmas Hedgy Hedgehog,"These are my attributes
Item number: 059001

Cozy Christmas Hedgy Hedgehog is ready to sweeten the season—complete with a soft, textured coat and an oversized candy cane cradled in his paws. Measuring 7 inches tall, his rounded shape and cheerful face add a playful touch to holiday shelves, stockings, or snuggle time. Whether you’re surprising a little one or adding to your own festive décor, Hedgy is a heartwarming reminder that the smallest friends often bring the biggest smiles. Crafted from soft plush and finished with the iconic Steiff “Button in Ear“.

Steiff stands for highest safety & quality
What makes me special?
Health safety
Unrivalled quality since 1880
Top-quality materials
How do you take care of me?
Further product information and notes
Manufacturer's notes:
Margarete Steiff GmbH
Richard-Steiff-Straße 4
89537 Giengen/Brenz
Deutschland
info@steiff.com
Country of Origin: Cambodia",https://www.steiff.com/img/600/600/resize/catalog/product/c/o/cosy-christmas-hedgy-igel-059001.jpg,https://www.steiff.com/en-us/cozy-christmas-hedgy-hedgehog-059001,5,,
4001505070433,"14 "" Rieke dangling fawn, brown",,,,,,
4001505080050,"13 "" Dormili rabbit, brown",,,,,,
4001505111679,"16 "" Fynn Teddy bear, beige",,,,,,
4001505115134,Arco Polar Bear,"These are my attributes
Item number: 115110

Whether it’s nap-time, bed-time, or anytime, Arco polar bear is the perfect companion for every child, 24 hours a day. He’s made of cuddly soft plush. His safety eyes make him suitable for even young children. He’ll be the centerpiece of your child’s plush toy collection - the ""go-to"" playmate that will be enjoyed again and again. Featuring the world famous ""Button in Ear"" trademark, symbol of highest quality. From the company that invented the Teddy bear in 1902.  

Steiff stands for highest safety & quality
What makes me special?
Health safety
Unrivalled quality since 1880
Top-quality materials
How do you take care of me?
Further product information and notes
Manufacturer's notes:
Margarete Steiff GmbH
Richard-Steiff-Straße 4
89537 Giengen/Brenz
Deutschland
info@steiff.com
Country of Origin: Tunisia",https://www.steiff.com/img/600/600/resize/catalog/product/a/r/arco-eisbaer-115110-6.jpg,https://www.steiff.com/en-us/arco-polar-bear-115110,12,,
4001505242144,My First Steiff Ellie Elephant Musical Pull Toy,"These are my attributes
Item number: 242731

The “My First Steiff” Ellie elephant as a music box is an amazing experience for all baby’s senses. Ellie radiates warmth with her cheerful smile and loving gaze, while her big ears and soft fur provide a comforting tactile experience. And when you wind the music box, the soft sound of “Schlafe, mein Prinzchen” (a German lullaby) soothes your little darling to sleep. Featuring “My First Steiff” embroidery in the ear.

Steiff stands for highest safety & quality
What makes me special?
Health safety
Unrivalled quality since 1880
with removable music box
How do you take care of me?
Further product information and notes
Manufacturer's notes:
Margarete Steiff GmbH
Richard-Steiff-Straße 4
89537 Giengen/Brenz
Deutschland
info@steiff.com
Country of Origin: Cambodia",https://www.steiff.com/img/600/600/resize/catalog/product/s/o/soft-cuddly-friends-my-first-steiff-ellie-elefant-spieluhr-242731-9.jpg,https://www.steiff.com/en-us/my-first-steiff-ellie-elephant-musical-pull-toy-242731,11,,
4001505242335,My First Steiff Ellie Elephant Musical Pull Toy,"These are my attributes
Item number: 242731

The “My First Steiff” Ellie elephant as a music box is an amazing experience for all baby’s senses. Ellie radiates warmth with her cheerful smile and loving gaze, while her big ears and soft fur provide a comforting tactile experience. And when you wind the music box, the soft sound of “Schlafe, mein Prinzchen” (a German lullaby) soothes your little darling to sleep. Featuring “My First Steiff” embroidery in the ear.

Steiff stands for highest safety & quality
What makes me special?
Health safety
Unrivalled quality since 1880
with removable music box
How do you take care of me?
Further product information and notes
Manufacturer's notes:
Margarete Steiff GmbH
Richard-Steiff-Straße 4
89537 Giengen/Brenz
Deutschland
info@steiff.com
Country of Origin: Cambodia",https://www.steiff.com/img/600/600/resize/catalog/product/s/o/soft-cuddly-friends-my-first-steiff-ellie-elefant-spieluhr-242731-9.jpg,https://www.steiff.com/en-us/my-first-steiff-ellie-elephant-musical-pull-toy-242731,11,,
4001505280337,"9 "" Steiff's Little Friend Issy Donkey, grey/beige",,,,,,
