upc,title,description,image_url,product_url,piece_length,piece_width,piece_height
8498837750047,Up & Down Roller Coaster™,Toys - Toys & Games > Toys,https://www.step2.com/cdn/shop/files/711400_e_1080x1080.jpg?v=1707793032,https://www.step2.com/products/up-down-roller-coaster,,,
8498821792031,Rain Showers Splash Pond Water Table™,Water Tables - Toys & Games > Outdoor Play Equipment > Water Play Equipment > Water Tables,https://www.step2.com/cdn/shop/files/874600_c3_1080x1080.jpg?v=1707792998,https://www.step2.com/products/rain-showers-splash-pond-water-table,,,
8498805145887,My First Christmas Tree™,Seasonal & Holiday Decorations - Home & Garden > Decor > Seasonal & Holiday Decorations,https://www.step2.com/cdn/shop/files/879800-001_1080x1080.jpg?v=1707792956,https://www.step2.com/products/my-first-christmas-tree,,,
8498865275167,My First Snowman™,"Toy Playsets - Toys & Games > Toys > Dolls, Playsets & Toy Figures > Toy Playsets",https://www.step2.com/cdn/shop/files/4857_MAIN_1_1080x1080.jpg?v=1749050908,https://www.step2.com/products/my-first-snowman,,,
8498818154783,Play & Store Sandbox™,Sandboxes - Toys & Games > Outdoor Play Equipment > Sandboxes,https://www.step2.com/cdn/shop/files/830299-Play-and-Store-Sandbox-Tan-001_1080x1080.jpg?v=1707792991,https://www.step2.com/products/play-store-sandbox,,,
8498766774559,Anniversary Edition Up & Down Roller Coaster™,Riding Toys - Toys & Games > Toys > Riding Toys,https://www.step2.com/cdn/shop/files/863399-Anniversary-Edition-Up-and-Down-Roller-Coaster-001_1080x1080.jpg?v=1707792869,https://www.step2.com/products/anniversary-edition-up-down-roller-coaster,,,
8498830803231,Sports-tastic Activity Center™,Activity Toys - Toys & Games > Toys > Activity Toys,https://www.step2.com/cdn/shop/files/782799-Sportstastic-Activity-Center-Ii-001_1080x1080.jpg?v=1707793021,https://www.step2.com/products/sports-tastic-activity-center,,,
8498835292447,Tropical Rainforest Water Table™,Water Tables - Toys & Games > Outdoor Play Equipment > Water Play Equipment > Water Tables,https://www.step2.com/cdn/shop/files/493100-Tropical-Rainforest-Water-Table-001_1080x1080.jpg?v=1707793025,https://www.step2.com/products/tropical-rainforest-water-table,,,
8498773655839,Clubhouse Climber™,Swing Sets & Playsets - Toys & Games > Outdoor Play Equipment > Swing Sets & Playsets,https://www.step2.com/cdn/shop/files/801200_c_1080x1080.jpg?v=1707792868,https://www.step2.com/products/clubhouse-climber,,,
8498842763551,Whisper Ride II™,Push & Pedal Riding Vehicles - Toys & Games > Toys > Riding Toys > Push & Pedal Riding Vehicles,https://www.step2.com/cdn/shop/files/824200_F_1080x1080.jpg?v=1708025315,https://www.step2.com/products/whisper-ride-ii,,,
8498794692895,KidAlert! V.W.S.™,Sidewalk & Yard Signs - Business & Industrial > Signage > Sidewalk & Yard Signs,https://www.step2.com/cdn/shop/files/864899-Kidalert-V-W-S-Neon-001_1080x1080.jpg?v=1707792931,https://www.step2.com/products/kidalert-v-w-s,,,
8498806391071,Naturally Playful™ Woodland Climber II™,Swing Sets & Playsets - Toys & Games > Outdoor Play Equipment > Swing Sets & Playsets,https://www.step2.com/cdn/shop/files/490200_l_1080x1080.jpg?v=1707792958,https://www.step2.com/products/naturally-playful-woodland-climber-ii,,,
8498762580255,My First Gingerbread House™,Seasonal & Holiday Decorations - Home & Garden > Decor > Seasonal & Holiday Decorations,https://www.step2.com/cdn/shop/files/4856_MAIN_1_1080x1080.jpg?v=1730210552,https://www.step2.com/products/my-first-gingerbread-house,,,
8498809831711,Naturally Playful Sand Table™,Sandboxes - Toys & Games > Outdoor Play Equipment > Sandboxes,https://www.step2.com/cdn/shop/files/759499-Naturally-Playful-Sand-Table-001_1080x1080.jpg?v=1707792966,https://www.step2.com/products/naturally-playful-sand-table,,,
8498821202207,Rain Showers & Unicorns Water Table™,Water Tables - Toys & Games > Outdoor Play Equipment > Water Play Equipment > Water Tables,https://www.step2.com/cdn/shop/files/487299-001_1080x1080.jpg?v=1707793001,https://www.step2.com/products/rain-showers-unicorns-water-table,,,
8498819629343,Pump & Splash Discovery Pond™,Water Tables - Toys & Games > Outdoor Play Equipment > Water Play Equipment > Water Tables,https://www.step2.com/cdn/shop/files/412900-pump-and-spalsh_1080x1080.jpg?v=1707792998,https://www.step2.com/products/pump-splash-discovery-pond,,,
8498775884063,Deluxe Art Master Desk™,Art & Drawing Toys - Toys & Games > Toys > Art & Drawing Toys,https://www.step2.com/cdn/shop/files/702599-Deluxe-Art-Master--Desk-001_c720aef5-4ab3-407f-8cfb-0785c7841f17_1080x1080.jpg?v=1707792889,https://www.step2.com/products/deluxe-art-master-desk,,,
8498799214879,Love & Care Deluxe Nursery™,Toy Kitchens - Toys & Games > Toys > Pretend Play > Toy Kitchens & Play Food > Toy Kitchens,https://www.step2.com/cdn/shop/files/847199-Love-and-Care-Deluxe-Nursery-001_1080x1080.jpg?v=1707792941,https://www.step2.com/products/love-care-deluxe-nursery,,,
8498792366367,Infant to Toddler Swing™,Swing Sets & Playsets - Toys & Games > Outdoor Play Equipment > Swing Sets & Playsets,https://www.step2.com/cdn/shop/files/729399-Infant-To-Toddler-Swing-001_1080x1080.jpg?v=1708107533,https://www.step2.com/products/infant-to-toddler-swing,,,
8498796069151,LifeStyle™ Dream Kitchen™,Toy Kitchens & Play Food - Toys & Games > Toys > Pretend Play > Toy Kitchens & Play Food,https://www.step2.com/cdn/shop/files/8521KR-Lifestyle-Dream-Play-Kitchen-001_1080x1080.jpg?v=1707792931,https://www.step2.com/products/lifestyle-dream-kitchen,,,
8498828280095,Sizzle & Smoke Barbeque Grill™,Toy Cookware - Toys & Games > Toys > Pretend Play > Toy Kitchens & Play Food > Toy Cookware,https://www.step2.com/cdn/shop/files/489899-001_jpg_1080x1080.jpg?v=1707793008,https://www.step2.com/products/sizzle-smoke-barbeque-grill,,,
8498819563807,Pro Play Workshop & Utility Bench™,Toy Tools - Toys & Games > Toys > Pretend Play > Toy Tools,https://www.step2.com/cdn/shop/files/489000_e_1080x1080.jpg?v=1707793002,https://www.step2.com/products/pro-play-workshop-utility-bench,,,
8498817794335,Play & Shade Pool™,Water Play Equipment - Toys & Games > Outdoor Play Equipment > Water Play Equipment,https://www.step2.com/cdn/shop/files/716099-Play-and-Shade-Pool-001_1080x1080.jpg?v=1707792993,https://www.step2.com/products/play-shade-pool,,,
8498781683999,Elegant Edge Kitchen™,Toy Kitchens & Play Food - Toys & Games > Toys > Pretend Play > Toy Kitchens & Play Food,https://www.step2.com/cdn/shop/files/8675KR-Elegant-Edge-Kitchen-001_1080x1080.jpg?v=1707792892,https://www.step2.com/products/elegant-edge-kitchen,,,
8498770739487,Big Builders Pro Workshop™,Pretend Play - Toys & Games > Toys > Pretend Play,https://www.step2.com/cdn/shop/files/489199-Big-Builders-Pro-Play-Workshop-Workbench-001_1080x1080.jpg?v=1707792872,https://www.step2.com/products/big-builders-pro-workshop,,,
8498763432223,2-in-1 Toy Box & Art Lid™,Toy Chests - Furniture > Cabinets & Storage > Storage Chests > Toy Chests,https://www.step2.com/cdn/shop/files/481799-2-In-Toy-Box-and-Art-Lid-Gray-001_ccc1a539-62e2-40de-96ba-13afa30d20b0_1080x1080.jpg?v=1708106334,https://www.step2.com/products/2-in-1-toy-box-art-lid,,,
8498784502047,Fun With Friends Kitchen™,Toy Kitchens & Play Food - Toys & Games > Toys > Pretend Play > Toy Kitchens & Play Food,https://www.step2.com/cdn/shop/files/488500_c_1080x1080.jpg?v=1708107723,https://www.step2.com/products/fun-with-friends-kitchen,,,
