upc,title,description,image_url,product_url
735078021854,VTECH MONITOR,,,
3417761936009,VTECH KIDI ZOOM CAMERA PIX (BLUE),,,
3417765476006,VTech 2-in-1 Toddle & Talk Turtle,,,
3417761628003,SPIN AROUND SOUND CARNIVAL,,,
3417765298004,VTECH HELPING HEROES FIRE TRUCK,,,
3417765258008,VTECH PEACOCK,,,
3417766014009,SPIN & SING ALPHABET ZOO,,,
3417761393000,VTech Call & Chat Learning Phone,,,
3417765351006,Go! Go! Ramp It Up Dump Truck,,,
3417765490309,Kidizoom Smart Watch,,,
3417765286001,snug a bug musical critter,,,
3417765056000,V-TECH ACTIVITY WALKER,,,
3417761382004,VTech Tiny Touch Tablet,,,
3417765056703,Vtech Stroll & Discover Activity Walker,,,
3417765489501,Kidizoom Camera Pix,,,
3417761344002,VTECH KIDIBEATS DRUM,,,
3417761665008,drop and go dump truck,,,
3417761666005,VTech Turn and Learn Driver,,,
3417761791004,zoo jamz paino,,,
3417761815007,MAGIC STAR LERANING TABLE (VTECH),,,
3417761938003,VTECH KIDIZOOM WATCH,,,
3417761938010,KidiZoom SMARTWATCH DX2 BLUE,,,
3417765037009,GO GO SMART WHEEL MONSTER TRUCK RALLY,,,
3417765223006,Vtech Crazy Legs Learning Bugs,,,
3417765286605,VTech® Snug-a-Bug Musical Critter™,,,
3417765294006,Vtech 3 in 1 Step & Roll Motorbike,,,
3417765318009,VTECH CREATOR CAM,,,
3417765332005,ELEPHANT EXPLORE CRAWL,,,
3417765334009,VTech Touch & Teach Sea Turtle,,,
3417765336003,Vtech Pop & Count Ball Pit,,,
3417765349003,VTECH STUNT SPIRAL,,,
3417765378003,"VTech Zoo Jamz Tiger Rock Guitar, Orange",,,
3417765393006,VTech PAW Patrol: the Movie: Learning Phone with Voice Activation,,,
3417765489006,KIDIZOOM Camera Pix Plus,,,
3417765501005,Kick and score playgym,,,
3417765509001,DRILL &LEARN TOOLBOX PRO,,,
3417765510601,VTECH KARAOKE MICROPHONE,,,
3417765521003,SMART CHART MEDICAL KIT,,,
3417765526008,VTECH POP & SPIN MOWER,,,
3417765528002,my first kidi smartwatch,,,
3417765528064,VTech My First Kidi Smartwatch Blue,,,
3417765528163,Vtech : My First Kidi Smartwatch Purple,,,
3417766023001,LEAP FROG GET READY FOR SCHOOL,,,
3417766153005,LeapFrog Interactive Learning Easel,,,
3417766157003,World Map,,,
3417766159359,Leap Globe Touch,,,
3417766163004,spining lights letter ring,,,
735078047632,vtech Video Baby Monitor,,,
3417766168009,LeapFrog Slide-To-Read ABC Flash Cards,,,
3417765247002,Vtech Toddler Tech Laptop,,,
3417765528101,VTECH MY FIRST KIDI SMARTWATCH,,,
3417766144003,LEAP FROG: A TO Z LEARN WITH ME DICTIONARY,,,
735078033277,VTECH VIDEO & AUDIO BABY MONITOR,,,
3417761923009,VTECH PRANCE & ROCK LEARNING UNICORN,,,
3417765427008,VTECH RESCUE DRIVER ATV & FIRE TRUCK,,,
3417765491009,Vtech Kidizoom PrintCam,,,
3417765603006,ZOO JAMZ GIRAFFE PIANO,,,
3417765589003,RACE & DISCOVER DRIVER GAMES,,,
