product_id,title,description,image_url,dimensions
92943017887,"Aurora® - Lin Lin™ - 16"" Lin Lin™","A new addition to our Lin Lin collection, this brilliant Lin Lin panda enjoys its days sitting around, talking with all the other bears, and just having some fun. They're the perfect add-on to any collection, making sure you are left with a faithful and friendly big companion who can help add a touch of energy, friendship, and charm to your plush collection.",http://auroragift.com/cdn/shop/products/01788_eece4b10-36d7-4f45-bd50-fb03ad558f7e.jpg?v=1750266345,
92943025592,Yorkie - Playful Teddy Pets Plush - Aurora,"Yorkie plush from Teddy Pets by Aurora is an irresistibly cute dog with silky tan and grey fur, perked ears, and a lively personality in plush form.",http://auroragift.com/cdn/shop/products/02559_d1bba9e1-37a3-4e24-ae7c-7c54d2bf0dcf.jpg?v=1750266000,
92943025608,"Aurora® - Teddy Pets™ - 7"" Goldendoodle","A popular grooming style for long-coated dogs, it involves trimming the head and ear area in a rounded shape, making the resulting pooch look like a cute teddy bear! Teddy Pets are freshly groomed animal friends that are super soft and cuddly! Adorning oversized round heads and petite bodies that accompany it, this Goldendoodle features floppy ears with golden brown fluffy fur.",http://auroragift.com/cdn/shop/products/02560_985a478d-b589-4cd4-89f1-2a855e8d80cd.jpg?v=1750265873,
92943025684,Aurora World Plush - Dog - Teddy Pets,"Online Toy Store - This premium quality plush Griffon Bruxellois is part of Teddy Pets collection. Premium quality stuffed animals for play. These plushies are soft, cuddly and cute.",http://auroragift.com/cdn/shop/files/02568.jpg?v=1750265219,
92943033955,Cassie Daisy Cat - Tired Spudsters Plush - Aurora,"Unwind with Cassie Daisy Cat plush, the pastel plush full of cozy charm. Add this Spudsters by Aurora plush to your collection today!",http://auroragift.com/cdn/shop/files/34428.jpg?v=1767808806,
92943034235,Aurora® - Fantasy - Big Foot,"For the skeptics and mystery hunters, this Big Foot plush doll brings the mysterious creature into a lovable, cuddly companion! This character features a furry brown coat, a friendly face, and you guessed it, its big feet! This plush doll's right foot is stamped with a Big Foot silhouette and Big Foot written underneat",http://auroragift.com/cdn/shop/products/03423_303e7307-ca96-4ed0-bab4-e4ed2e91212e.jpg?v=1750261922,
92943036321,Aurora® - Lin Lin™ Panda,"This happy panda is named Lin Lin and is now available in multiple sizes! Lin Lin panda is in a seated position. Lin Lin loves to sit and hang out with you whenever you're in the mood to sit and relax! This friendly companion will assure you that you are never alone and always in good company!Â 10, 14 or 19.5 inches fr",http://auroragift.com/cdn/shop/products/03632_3230c86b-2b51-4f82-8dc1-24afd9e94e2f.jpg?v=1750261997,
92943036345,Aurora® - Lin Lin™ Panda,"This happy panda is named Lin Lin and is now available in multiple sizes! Lin Lin panda is in a seated position. Lin Lin loves to sit and hang out with you whenever you're in the mood to sit and relax! This friendly companion will assure you that you are never alone and always in good company!Â 10, 14 or 19.5 inches fr",http://auroragift.com/cdn/shop/products/03632_3230c86b-2b51-4f82-8dc1-24afd9e94e2f.jpg?v=1750261997,
92943036352,Navy Panda - Huggable Lin Lin Panda Stuffed Animals - Aurora,"Meet Lin Lin, your navy-furred panda buddy with an eternal, heartwarming smile, always ready to share comforting cuddles and joyful adventures together.",http://auroragift.com/cdn/shop/files/03630.jpg?v=1750264183,
92943086005,Chastity - Bunny Flopsie Stuffed Animal - Aurora,"Discover Chastity™ from Flopsie: a lifelike, tranquil bunny plush in soft white fur. Ideal for those seeking realism and comfort in plushies!",http://auroragift.com/cdn/shop/files/08600.jpg?v=1750266461,
92943086432,Sweet Cream Lamb - Comforting Musicals! Baby Plus - ebba,"Sweet Cream Lamb musical plush by ebba plays ""Jesus Loves Me"" and features soft cream fur, floppy ears, and baby-safe details.",http://auroragift.com/cdn/shop/files/08643.jpg?v=1750264464,
92943089747,Baby Evie w/ Bib - Licensed Peppa Pig Plush - Aurora,"Cuddle up with Baby Evie with Bib from the Peppa Pig Collection! Dressed in soft mint green with a cute purple bib, perfect for fans of Peppa’s adorable world.",http://auroragift.com/cdn/shop/files/44414.jpg?v=1769206783,
