upc,title,description,image_url,product_url
766162174866,Leather Book Case for Q5 Music Player,"Leather Book Case for Q5 Music Player   
 &nbsp;",https://www.samvix.com/wp-content/uploads/2022/05/72b438d8ee7ac61a.jpg.webp,https://www.samvix.com/products/leather-book-case-for-q5-music-player
766162175061,Leather Book Case for SmartBass 8.0 MP3 Player,"Leather Book Case for SmartBass 8.0 MP3 Player   
 &nbsp;",https://www.samvix.com/wp-content/uploads/2022/05/ibuisness-case.jpeg,https://www.samvix.com/products/leather-book-case-for-smartbass-8-0-mp3-player
766162174965,Leather Book Case for Q6 Music Player,"Leather Book Case for Q6 Music Player   
 &nbsp;",,https://www.samvix.com/products/leather-book-case-for-q6-music-player
766162175146,SAMVIX SMARTBASS 8.0 32GB MP3 PLAYER,"SAMVIX SMARTBASS 8.0 KOSHER MP3 PLAYER &#8211; 32GB  
  Kosher:  
No Radio &#8211; No Wi-Fi &#8211; No Video 
  Full Touch Screen:   
Full High Quality Colored Touch screen 
  MP3 Player:  
Full MP3 Player with Storage of 32GB 
Memory card expansion Slot 
Playback Speed option 
Repeat &amp; Shuffle 
Bookmark 
Add to Playlist 
  Voice recorder:   
2 recording formats (MP3/WAV) 
3 Record Quality 
Playback Speed option 
Choose where to storage the recording Local or in SD 
Rename recording file 
 3",https://www.samvix.com/wp-content/uploads/2024/11/SMARTBAS-8.0png.png,https://www.samvix.com/products/samvix-smartbass-8-0-32gb-mp3-player
766162175238,Leather Book Case for Dynamite MP3 Player,"Leather Book Case for all Dynamite MP3 Player&#8217;s   
 
  Dynamite 8GB  
  Dynamite 32GB  
  Dynamite 64GB  
  Dynamite   128GB",https://www.samvix.com/wp-content/uploads/2022/05/1d600ad9b706e7f6.jpg.webp,https://www.samvix.com/products/leather-book-case-for-dynamite-mp3-player
766162174972,Leather Book Case for Q4 Music Player,"Leather Book Case for Q4 Music Player   
 &nbsp;",https://www.samvix.com/wp-content/uploads/2022/05/72b438d8ee7ac61a.jpg.webp,https://www.samvix.com/products/leather-book-case-for-q4-music-player
638455683495,SAMVIX UCamera S10 DIGITAL CAMERA (With or without Video),"&nbsp; 
  SAMVIX UCAMERA S10 DIGITAL CAMERA   
   Kosher Camera Without WIFI   or Bluetooth    
     Optional:         With or without Video    
 &nbsp; 
 
  4K  
  Up to 44 Mega Pixel  
  16x Digital Zoom  
  Auto Focus  
  Amazing Night Vision  
 
 &nbsp; 
                              
 &nbsp;",https://www.samvix.com/wp-content/uploads/2023/10/UCAMERA-S10.jpeg,https://www.samvix.com/products/samvix-ucamera-s10-digital-camera-with-or-without-video
637057969822,SAMVIX UCamera S7 DIGITAL CAMERA (With or without Video),"&nbsp; 
  SAMVIX UCAMERA S7 DIGITAL CAMERA   
   Kosher Camera Without WIFI   or Bluetooth    
     Optional:         With or without Video    
 &nbsp; 
                              
 &nbsp;",https://www.samvix.com/wp-content/uploads/2022/11/ucameras7-copy.png,https://www.samvix.com/products/samvix-ucamera-s7-digital-camera-with-video
637057969921,SAMVIX Digital Camera  with optical Zoom “UCamera Zoom-5”,"&nbsp; 
  Kosher! No Wifi, No Wireless Connection  
     
  Optical Zoom &#8211; Selfie Screen &#8211; 4K &#8211; Up to 60 Mega Pixel &#8211; CMOS Sensor  
  10x Optical Zoom   &#8211; Auto Focus &#8211; Image   Stabilization  
                              
 &nbsp;",https://www.samvix.com/wp-content/uploads/2023/11/Zoom-5-Black-Box.jpeg,https://www.samvix.com/products/samvix-digital-camera-with-optical-zoom-ucamera-zoom-5
637057969938,The Samvix Digital Camera  with Optical Zoom “UCamera X8400”,"&nbsp; 
   Kosher! No Wifi, No Wireless Connection (הכשר לכתחילה)   
     
 
 
  Optical Zoom  
  4K resolution  
  Image stabilization  
  Up to 48 Mega Pixel Interpolation  
  CMOS Sensor  
  12x Optical Zoom  
  Auto Focus  
  Direct USB-C  
  Micro SD Slot  
 
  
 
 
 
  (Optional: Video &amp; No Video)  
 
     
 
   Colors Available    Black &#8211; White",https://www.samvix.com/wp-content/uploads/2025/10/X8400-BLK.png,https://www.samvix.com/products/the-samvix-digital-camera-with-optical-zoom-ucamera-x8400
