Picture,Number,Name(Zh),Name(En),Name(Es),Name(It),Department,Category,Custom Category,Brand,Custom Brand,UPC Code,Origin(UPC),Description,IPK Code,Origin(IPK),Case Code,Origin(Case),Craft(Zh),Craft(En),Craft(Es),Craft(It),Case Rate,Case Length(ft),Case Width(ft),Case Height(ft),Case Cube(ft³),Case Weight(lb),Layer Rate(Case),Pallet Rate(Case),IPK Rate,IPK Length(ft),IPK Width(ft),IPK Height(ft),IPK Cube(ft³),IPK Weight(lb),Layer Rate(IPK),Pallet Rate(IPK),Dozen Rate,Dozen Length(ft),Dozen Width(ft),Dozen Height(ft),Dozen Cube(ft³),Dozen Weight(lb),Layer Rate(Dozen),Pallet Rate(Dozen),Piece Length(ft),Piece Width(ft),Piece Height(ft),Piece Cube(ft³),Piece Weight(lb),Layer Rate(Piece),Pallet Rate(Piece),Future Sale Manage Rate
,XM80,AUDSTER MICROPHONE,AUDSTER MICROPHONE,AUDSTER MICROPHONE,AUDSTER MICROPHONE,Electronics & Music,Instruments,Keyboard,Audster,Audster,738676657258,738676657258,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,FK-54,54 key keyboard,54 key keyboard,54 key keyboard,54 key keyboard,Electronics & Music,Instruments,Keyboard,Audster,Audster,738676655315,738676655315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,FK-61,61 Panio Keyboard,61 Panio Keyboard,61 Panio Keyboard,61 Panio Keyboard,Electronics & Music,Instruments,Keyboard,Audster,Audster,738676655339,738676655339,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,#T500,AUDSTER SPEAKER (T500),AUDSTER SPEAKER (T500),AUDSTER SPEAKER (T500),AUDSTER SPEAKER (T500),Electronics & Music,Instruments,Keyboard,Audster,Audster,738676654554,738676654554,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,BNG6700,BONGOS,BONGOS,BONGOS,BONGOS,Electronics & Music,Instruments,Keyboard,Audster,Audster,738676657029,738676657029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,FK-37,KEY ELECTRONIC KEYBOARD,KEY ELECTRONIC KEYBOARD,KEY ELECTRONIC KEYBOARD,KEY ELECTRONIC KEYBOARD,Electronics & Music,Instruments,Keyboard,Audster,Audster,738676655308,738676655308,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,FK-6100,KEY ELECTRONIC KEYBOARD,KEY ELECTRONIC KEYBOARD,KEY ELECTRONIC KEYBOARD,KEY ELECTRONIC KEYBOARD,Electronics & Music,Instruments,Keyboard,Audster,Audster,738676655346,738676655346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DR600,"9 PAD ROLL UP DRUM, BLT, STICK, FOOT PEDALS","9 PAD ROLL UP DRUM, BLT, STICK, FOOT PEDALS","9 PAD ROLL UP DRUM, BLT, STICK, FOOT PEDALS","9 PAD ROLL UP DRUM, BLT, STICK, FOOT PEDALS",Electronics & Music,Instruments,Keyboard,Audster,Audster,738676657074,738676657074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DR900,"9 Pad Roll Up Drum, BLT, Stick, Food Pedals","9 Pad Roll Up Drum, BLT, Stick, Food Pedals","9 Pad Roll Up Drum, BLT, Stick, Food Pedals","9 Pad Roll Up Drum, BLT, Stick, Food Pedals",Electronics & Music,Instruments,Keyboard,Audster,Audster,738676657388,738676657388,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RP49,49 KEYS ROLL UP PIANO,49 KEYS ROLL UP PIANO,49 KEYS ROLL UP PIANO,49 KEYS ROLL UP PIANO,Electronics & Music,Instruments,Keyboard,Audster,Audster,738676657395,738676657395,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,XM-405,WIRELESS MICROPHONE,WIRELESS MICROPHONE,WIRELESS MICROPHONE,WIRELESS MICROPHONE,Electronics & Music,Instruments,Keyboard,Audster,Audster,738676657562,738676657562,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,J156CO,"AUDSTER 15"" SPEAKER WITH STAND J156CO","AUDSTER 15"" SPEAKER WITH STAND J156CO","AUDSTER 15"" SPEAKER WITH STAND J156CO","AUDSTER 15"" SPEAKER WITH STAND J156CO",Electronics & Music,Instruments,Keyboard,Audster,Audster,738676658354,738676658354,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CH819,Rechargerable Battery Speaker CH-819,Rechargerable Battery Speaker CH-819,Rechargerable Battery Speaker CH-819,Rechargerable Battery Speaker CH-819,Electronics & Music,Instruments,Keyboard,Audster,Audster,738676658828,738676658828,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CH1206,8inch Rechargeable Battery Speaker CH-1206,8inch Rechargeable Battery Speaker CH-1206,8inch Rechargeable Battery Speaker CH-1206,8inch Rechargeable Battery Speaker CH-1206,Electronics & Music,Instruments,Keyboard,Audster,Audster,738676658866,738676658866,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RC12C,12inch Rechargeable Battery Speaker RC-12C,12inch Rechargeable Battery Speaker RC-12C,12inch Rechargeable Battery Speaker RC-12C,12inch Rechargeable Battery Speaker RC-12C,Electronics & Music,Instruments,Keyboard,Audster,Audster,738676658880,738676658880,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RC15R,15inch Rechargeable Battery Speaker RC-15R,15inch Rechargeable Battery Speaker RC-15R,15inch Rechargeable Battery Speaker RC-15R,15inch Rechargeable Battery Speaker RC-15R,Electronics & Music,Instruments,Keyboard,Audster,Audster,738676658897,738676658897,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CK3220,AUDSTER CK3220 32 Key Pink Keyboard,AUDSTER CK3220 32 Key Pink Keyboard,AUDSTER CK3220 32 Key Pink Keyboard,AUDSTER CK3220 32 Key Pink Keyboard,Electronics & Music,Instruments,Keyboard,Audster,Audster,738676658927,738676658927,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CK3235,AUDSTER CK3235 32 KEY Keyboard,AUDSTER CK3235 32 KEY Keyboard,AUDSTER CK3235 32 KEY Keyboard,AUDSTER CK3235 32 KEY Keyboard,Electronics & Music,Instruments,Keyboard,Audster,Audster,738676658934,738676658934,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CK3720,AUDSTER CK3720 32 KEY Keyboard,AUDSTER CK3720 32 KEY Keyboard,AUDSTER CK3720 32 KEY Keyboard,AUDSTER CK3720 32 KEY Keyboard,Electronics & Music,Instruments,Keyboard,Audster,Audster,738676658941,738676658941,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CK6130,AUDSTER CK6130 61 KEYS ELECTRONIC KEYBOARD,AUDSTER CK6130 61 KEYS ELECTRONIC KEYBOARD,AUDSTER CK6130 61 KEYS ELECTRONIC KEYBOARD,AUDSTER CK6130 61 KEYS ELECTRONIC KEYBOARD,Electronics & Music,Instruments,Keyboard,Audster,Audster,738676658972,738676658972,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,L210-ii,Bluetooth Speaker 2x5w AUD-L210,Bluetooth Speaker 2x5w AUD-L210,Bluetooth Speaker 2x5w AUD-L210,Bluetooth Speaker 2x5w AUD-L210,Electronics & Music,Instruments,Keyboard,Audster,Audster,738676659078,738676659078,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,L220,Bluetooth Speaker AUD-L220,Bluetooth Speaker AUD-L220,Bluetooth Speaker AUD-L220,Bluetooth Speaker AUD-L220,Electronics & Music,Instruments,Keyboard,Audster,Audster,738676659085,738676659085,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,X785,AUDSTER X785 SPEAKER WITH TRIPOD,AUDSTER X785 SPEAKER WITH TRIPOD,AUDSTER X785 SPEAKER WITH TRIPOD,AUDSTER X785 SPEAKER WITH TRIPOD,Electronics & Music,Instruments,Keyboard,Audster,Audster,738676659498,738676659498,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,X815,AUDSTER X815 SPEAKER,AUDSTER X815 SPEAKER,AUDSTER X815 SPEAKER,AUDSTER X815 SPEAKER,Electronics & Music,Instruments,Keyboard,Audster,Audster,738676659511,738676659511,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,S205,AUDSTER S205 SPEAKER,AUDSTER S205 SPEAKER,AUDSTER S205 SPEAKER,AUDSTER S205 SPEAKER,Electronics & Music,Instruments,Keyboard,Audster,Audster,738676659412,738676659412,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,S210,AUDSTER S210 SPEAKER,AUDSTER S210 SPEAKER,AUDSTER S210 SPEAKER,AUDSTER S210 SPEAKER,Electronics & Music,Instruments,Keyboard,Audster,Audster,738676659429,738676659429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RS800,AUDSTER RS800W SPEAKER W 1 MIC,AUDSTER RS800W SPEAKER W 1 MIC,AUDSTER RS800W SPEAKER W 1 MIC,AUDSTER RS800W SPEAKER W 1 MIC,Electronics & Music,Instruments,Keyboard,Audster,Audster,738676659276,738676659276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RS900,AUDSTER RS900 SPEAKER W 2 MIC,AUDSTER RS900 SPEAKER W 2 MIC,AUDSTER RS900 SPEAKER W 2 MIC,AUDSTER RS900 SPEAKER W 2 MIC,Electronics & Music,Instruments,Keyboard,Audster,Audster,738676659269,738676659269,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,S230,AUDSTER S230 SPEAKER,AUDSTER S230 SPEAKER,AUDSTER S230 SPEAKER,AUDSTER S230 SPEAKER,Electronics & Music,Instruments,Keyboard,Audster,Audster,738676659467,738676659467,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,S215,AUDSTER S215 SPEAKER,AUDSTER S215 SPEAKER,AUDSTER S215 SPEAKER,AUDSTER S215 SPEAKER,Electronics & Music,Instruments,Keyboard,Audster,Audster,738676659436,738676659436,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,S220,AUDSTER S220 SPEAKER,AUDSTER S220 SPEAKER,AUDSTER S220 SPEAKER,AUDSTER S220 SPEAKER,Electronics & Music,Instruments,Keyboard,Audster,Audster,738676659443,738676659443,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
