Picture,Number,Name(Zh),Name(En),Name(Es),Name(It),Category,Custom Category,Brand,Custom Brand,UPC Code,Origin(UPC),Description,IPK Code,Origin(IPK),Case Code,Origin(Case),Craft(Zh),Craft(En),Craft(Es),Craft(It),Case Rate,Case Length(ft),Case Width(ft),Case Height(ft),Case Cube(ft³),Case Weight(lb),Layer Rate(Case),Pallet Rate(Case),IPK Rate,IPK Length(ft),IPK Width(ft),IPK Height(ft),IPK Cube(ft³),IPK Weight(lb),Layer Rate(IPK),Pallet Rate(IPK),Dozen Rate,Dozen Length(ft),Dozen Width(ft),Dozen Height(ft),Dozen Cube(ft³),Dozen Weight(lb),Layer Rate(Dozen),Pallet Rate(Dozen),Piece Length(ft),Piece Width(ft),Piece Height(ft),Piece Cube(ft³),Piece Weight(lb),Layer Rate(Piece),Pallet Rate(Piece),Future Sale Manage Rate
,B1855A,PLAY-DOH CUPCAKE CELEBRATION,PLAY-DOH CUPCAKE CELEBRATION,PLAY-DOH CUPCAKE CELEBRATION,PLAY-DOH CUPCAKE CELEBRATION,Others,Modeling & Play-Doh,Play-Doh,Play-Doh,630509497942,630509497942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E6642-MTL 702,Play-Doh: Ice Pops 'n Cones Freezer Themed,Play-Doh: Ice Pops 'n Cones Freezer Themed,Play-Doh: Ice Pops 'n Cones Freezer Themed,Play-Doh: Ice Pops 'n Cones Freezer Themed,Others,Modeling & Play-Doh,Play-Doh,Play-Doh,630509852284,630509852284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E7056C900,Play-Doh Scents 3-Pack Snack Scented Modeling Compound,Play-Doh Scents 3-Pack Snack Scented Modeling Compound,Play-Doh Scents 3-Pack Snack Scented Modeling Compound,Play-Doh Scents 3-Pack Snack Scented Modeling Compound,Others,Modeling & Play-Doh,Play-Doh,Play-Doh,630509942909,630509942909,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,A33572210,PLAY-DOH,PLAY-DOH,PLAY-DOH,PLAY-DOH,Others,Modeling & Play-Doh,Play-Doh,Play-Doh,653569834830,653569834830,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,playdoh sundae treats,playdoh sundae treats,playdoh sundae treats,playdoh sundae treats,Others,Modeling & Play-Doh,Play-Doh,Play-Doh,630509394791,630509394791,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,PLAY-DOH 4 PACK,PLAY-DOH 4 PACK,PLAY-DOH 4 PACK,PLAY-DOH 4 PACK,Others,Modeling & Play-Doh,Play-Doh,Play-Doh,630509745104,630509745104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,PLAYDOH SPRINKLE COOKIE SURPRISE,PLAYDOH SPRINKLE COOKIE SURPRISE,PLAYDOH SPRINKLE COOKIE SURPRISE,PLAYDOH SPRINKLE COOKIE SURPRISE,Others,Modeling & Play-Doh,Play-Doh,Play-Doh,630509773558,630509773558,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E85305L02,Play-Doh Fundamentals Assortment,Play-Doh Fundamentals Assortment,Play-Doh Fundamentals Assortment,Play-Doh Fundamentals Assortment,Others,Modeling & Play-Doh,Play-Doh,Play-Doh,5010993646708,5010993646708,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E2125,PLAY DOH COOKIE JAR,PLAY DOH COOKIE JAR,PLAY DOH COOKIE JAR,PLAY DOH COOKIE JAR,Others,Modeling & Play-Doh,Play-Doh,Play-Doh,630509645084,630509645084,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,E53690000,"Play-Doh 5-Pack of Neon Colors, 3-Ounce Cans","Play-Doh 5-Pack of Neon Colors, 3-Ounce Cans","Play-Doh 5-Pack of Neon Colors, 3-Ounce Cans","Play-Doh 5-Pack of Neon Colors, 3-Ounce Cans",Others,Modeling & Play-Doh,Play-Doh,Play-Doh,630509778577,630509778577,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,PLAY-DOH CUPCAKE CELEBRATION,PLAY-DOH CUPCAKE CELEBRATION,PLAY-DOH CUPCAKE CELEBRATION,PLAY-DOH CUPCAKE CELEBRATION,Others,Modeling & Play-Doh,Play-Doh,Play-Doh,630509288700,630509288700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Play-Doh Chef Supreme Set,Play-Doh Chef Supreme Set,Play-Doh Chef Supreme Set,Play-Doh Chef Supreme Set,Others,Modeling & Play-Doh,Play-Doh,Play-Doh,630509361472,630509361472,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,PLAY-DOH 4 PACK,PLAY-DOH 4 PACK,PLAY-DOH 4 PACK,PLAY-DOH 4 PACK,Others,Modeling & Play-Doh,Play-Doh,Play-Doh,630509399666,630509399666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,PLAY-DOH GRAB N GO,PLAY-DOH GRAB N GO,PLAY-DOH GRAB N GO,PLAY-DOH GRAB N GO,Others,Modeling & Play-Doh,Play-Doh,Play-Doh,653569834847,653569834847,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,B5554A,PLAY DOH BASIC FUN FACTORY,PLAY DOH BASIC FUN FACTORY,PLAY DOH BASIC FUN FACTORY,PLAY DOH BASIC FUN FACTORY,Others,Modeling & Play-Doh,Play-Doh,Play-Doh,630509376698,630509376698,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,B4159AS00,PLAY DOH SET ANIMAL SET,PLAY DOH SET ANIMAL SET,PLAY DOH SET ANIMAL SET,PLAY DOH SET ANIMAL SET,Others,Modeling & Play-Doh,Play-Doh,Play-Doh,630509394869,630509394869,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
