Picture,Number,Name(Zh),Name(En),Name(Es),Name(It),Category,Department,Custom Category,Brand,Quercetti,UPC Code,Origin(UPC),Description,IPK Code,Origin(IPK),Case Code,Origin(Case),Craft(Zh),Craft(En),Craft(Es),Craft(It),Case Rate,Case Length(ft),Case Width(ft),Case Height(ft),Case Cube(ft³),Case Weight(lb),Layer Rate(Case),Pallet Rate(Case),IPK Rate,IPK Length(ft),IPK Width(ft),IPK Height(ft),IPK Cube(ft³),IPK Weight(lb),Layer Rate(IPK),Pallet Rate(IPK),Dozen Rate,Dozen Length(ft),Dozen Width(ft),Dozen Height(ft),Dozen Cube(ft³),Dozen Weight(lb),Layer Rate(Dozen),Pallet Rate(Dozen),Piece Length(ft),Piece Width(ft),Piece Height(ft),Piece Cube(ft³),Piece Weight(lb),Layer Rate(Piece),Pallet Rate(Piece),Future Sale Manage Rate
,,MAGNETIC FASHION BEST FRIENDS,MAGNETIC FASHION BEST FRIENDS,MAGNETIC FASHION BEST FRIENDS,MAGNETIC FASHION BEST FRIENDS,,,,Quercetti,Quercetti,8007905029350,8007905029350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,SKYRAIL SUSPENSION,SKYRAIL SUSPENSION,SKYRAIL SUSPENSION,SKYRAIL SUSPENSION,,,,Quercetti,Quercetti,8007905066300,8007905066300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,MIGOGA MARBLE RUN TRANSPARENT,MIGOGA MARBLE RUN TRANSPARENT,MIGOGA MARBLE RUN TRANSPARENT,MIGOGA MARBLE RUN TRANSPARENT,,,,Quercetti,Quercetti,8007905065464,8007905065464,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Pallino,Pallino,Pallino,Pallino,,,,Quercetti,Quercetti,8007905010204,8007905010204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Pallino Coding,Pallino Coding,Pallino Coding,Pallino Coding,,,,Quercetti,Quercetti,8007905010211,8007905010211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,MIGOGA MARBLE RUN ELEVATOR,MIGOGA MARBLE RUN ELEVATOR,MIGOGA MARBLE RUN ELEVATOR,MIGOGA MARBLE RUN ELEVATOR,,,,Quercetti,Quercetti,8007905065761,8007905065761,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Quercetti Fanta Color Portable Misto - Art Pegboard,Quercetti Fanta Color Portable Misto - Art Pegboard,Quercetti Fanta Color Portable Misto - Art Pegboard,Quercetti Fanta Color Portable Misto - Art Pegboard,,,,Quercetti,Quercetti,8007905009208,8007905009208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Spirogiro Mandala,Spirogiro Mandala,Spirogiro Mandala,Spirogiro Mandala,,,,Quercetti,Quercetti,8007905016800,8007905016800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Quercetti Peg Brite,Quercetti Peg Brite,Quercetti Peg Brite,Quercetti Peg Brite,,,,Quercetti,Quercetti,8007905018064,8007905018064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Quercetti FantaColor Mandala 1200 Pcs.,Quercetti FantaColor Mandala 1200 Pcs.,Quercetti FantaColor Mandala 1200 Pcs.,Quercetti FantaColor Mandala 1200 Pcs.,,,,Quercetti,Quercetti,8007905021019,8007905021019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Quercetti FantaColor Basic 100 Pcs.,Quercetti FantaColor Basic 100 Pcs.,Quercetti FantaColor Basic 100 Pcs.,Quercetti FantaColor Basic 100 Pcs.,,,,Quercetti,Quercetti,8007905021224,8007905021224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Quercetti Tecno Toolbox,Quercetti Tecno Toolbox,Quercetti Tecno Toolbox,Quercetti Tecno Toolbox,,,,Quercetti,Quercetti,8007905061251,8007905061251,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
