Picture,Number,Name(Zh),Name(En),Name(Es),Name(It),Category,Custom Category,Brand,Custom Brand,UPC Code,Origin(UPC),Description,IPK Code,Origin(IPK),Case Code,Origin(Case),Craft(Zh),Craft(En),Craft(Es),Craft(It),Case Rate,Case Length(ft),Case Width(ft),Case Height(ft),Case Cube(ft³),Case Weight(lb),Layer Rate(Case),Pallet Rate(Case),IPK Rate,IPK Length(ft),IPK Width(ft),IPK Height(ft),IPK Cube(ft³),IPK Weight(lb),Layer Rate(IPK),Pallet Rate(IPK),Dozen Rate,Dozen Length(ft),Dozen Width(ft),Dozen Height(ft),Dozen Cube(ft³),Dozen Weight(lb),Layer Rate(Dozen),Pallet Rate(Dozen),Piece Length(ft),Piece Width(ft),Piece Height(ft),Piece Cube(ft³),Piece Weight(lb),Layer Rate(Piece),Pallet Rate(Piece),Future Sale Manage Rate
,,SQUIRT LIGHTER,SQUIRT LIGHTER,SQUIRT LIGHTER,SQUIRT LIGHTER,Others,Activity & Ride-On Toys,Rhode Island,Rhode Island,97138962812,9.71E+10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,STRETCHY HANDCUFFS,STRETCHY HANDCUFFS,STRETCHY HANDCUFFS,STRETCHY HANDCUFFS,Others,Activity & Ride-On Toys,Rhode Island,Rhode Island,97138756008,9.71E+10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,SB-SOCBA,Size 5 Soccer Ball,Size 5 Soccer Ball,Size 5 Soccer Ball,Size 5 Soccer Ball,Others,Activity & Ride-On Toys,Rhode Island,Rhode Island,97138959850,9.71E+10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Neon Wrist Band Return Ball,Neon Wrist Band Return Ball,Neon Wrist Band Return Ball,Neon Wrist Band Return Ball,Others,Activity & Ride-On Toys,Rhode Island,Rhode Island,97138949530,9.71E+10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,STREET HOCKEY: STICKS & PUCK & BALL,STREET HOCKEY: STICKS & PUCK & BALL,STREET HOCKEY: STICKS & PUCK & BALL,STREET HOCKEY: STICKS & PUCK & BALL,Others,Activity & Ride-On Toys,Rhode Island,Rhode Island,97138926203,9.71E+10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,HARD BASEBALL,HARD BASEBALL,HARD BASEBALL,HARD BASEBALL,Others,Activity & Ride-On Toys,Rhode Island,Rhode Island,97138663023,9.71E+10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,jump rope,jump rope,jump rope,jump rope,Others,Activity & Ride-On Toys,Rhode Island,Rhode Island,97138610416,9.71E+10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,usa flag basketball,usa flag basketball,usa flag basketball,usa flag basketball,Others,Activity & Ride-On Toys,Rhode Island,Rhode Island,97138835802,9.71E+10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,PADD;E GAME,PADD;E GAME,PADD;E GAME,PADD;E GAME,Others,Activity & Ride-On Toys,Rhode Island,Rhode Island,97138677235,9.71E+10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,dollar design football,dollar design football,dollar design football,dollar design football,Others,Activity & Ride-On Toys,Rhode Island,Rhode Island,97138819642,9.71E+10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,GA-PBFUN,"10"" Fun Saying Paddle Ball Assortment","10"" Fun Saying Paddle Ball Assortment","10"" Fun Saying Paddle Ball Assortment","10"" Fun Saying Paddle Ball Assortment",Others,Activity & Ride-On Toys,Rhode Island,Rhode Island,97138954596,9.71E+10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Jump Rope-7ft,Jump Rope-7ft,Jump Rope-7ft,Jump Rope-7ft,Others,Activity & Ride-On Toys,Rhode Island,Rhode Island,97138952684,9.71E+10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Squish Mesh Ball,Squish Mesh Ball,Squish Mesh Ball,Squish Mesh Ball,Others,Activity & Ride-On Toys,Rhode Island,Rhode Island,97138949905,9.71E+10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,BA-WRISP,Sports Wrist Band Return Bal,Sports Wrist Band Return Bal,Sports Wrist Band Return Bal,Sports Wrist Band Return Bal,Others,Activity & Ride-On Toys,Rhode Island,Rhode Island,97138949288,9.71E+10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,PADDLE BALL GAME,PADDLE BALL GAME,PADDLE BALL GAME,PADDLE BALL GAME,Others,Activity & Ride-On Toys,Rhode Island,Rhode Island,97138944399,9.71E+10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TY-BADBO,Jumbo Badminton Racket,Jumbo Badminton Racket,Jumbo Badminton Racket,Jumbo Badminton Racket,Others,Activity & Ride-On Toys,Rhode Island,Rhode Island,97138931085,9.71E+10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TY-JUMTE,Jumbo Tennis Racket Set,Jumbo Tennis Racket Set,Jumbo Tennis Racket Set,Jumbo Tennis Racket Set,Others,Activity & Ride-On Toys,Rhode Island,Rhode Island,97138931078,9.71E+10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,metal slinky,metal slinky,metal slinky,metal slinky,Others,Activity & Ride-On Toys,Rhode Island,Rhode Island,97138930156,9.71E+10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,JUMBO BADMINTON SET,JUMBO BADMINTON SET,JUMBO BADMINTON SET,JUMBO BADMINTON SET,Others,Activity & Ride-On Toys,Rhode Island,Rhode Island,97138929778,9.71E+10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,NEON PADDLE BALL,NEON PADDLE BALL,NEON PADDLE BALL,NEON PADDLE BALL,Others,Activity & Ride-On Toys,Rhode Island,Rhode Island,97138683007,9.71E+10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,LARGE METAL SLINKY,LARGE METAL SLINKY,LARGE METAL SLINKY,LARGE METAL SLINKY,Others,Activity & Ride-On Toys,Rhode Island,Rhode Island,97138777096,9.71E+10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,LIGHT UP JUMP ROBE,LIGHT UP JUMP ROBE,LIGHT UP JUMP ROBE,LIGHT UP JUMP ROBE,Others,Activity & Ride-On Toys,Rhode Island,Rhode Island,97138894991,9.71E+10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,NINJA WEAPON SET,NINJA WEAPON SET,NINJA WEAPON SET,NINJA WEAPON SET,Others,Activity & Ride-On Toys,Rhode Island,Rhode Island,97138893611,9.71E+10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Rubber Pink High Bounce Ball,Rubber Pink High Bounce Ball,Rubber Pink High Bounce Ball,Rubber Pink High Bounce Ball,Others,Activity & Ride-On Toys,Rhode Island,Rhode Island,97138883049,9.71E+10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TY-BOPON,"22"" Bouncing Pony","22"" Bouncing Pony","22"" Bouncing Pony","22"" Bouncing Pony",Others,Activity & Ride-On Toys,Rhode Island,Rhode Island,97138869050,9.71E+10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,BASKETBALL,BASKETBALL,BASKETBALL,BASKETBALL,Others,Activity & Ride-On Toys,Rhode Island,Rhode Island,97138836502,9.71E+10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"8"" FOAM FOOTBALL","8"" FOAM FOOTBALL","8"" FOAM FOOTBALL","8"" FOAM FOOTBALL",Others,Activity & Ride-On Toys,Rhode Island,Rhode Island,97138645289,9.71E+10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,ball launcher,ball launcher,ball launcher,ball launcher,Others,Activity & Ride-On Toys,Rhode Island,Rhode Island,97138621566,9.71E+10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,ADULT COWBOY HAT,ADULT COWBOY HAT,ADULT COWBOY HAT,ADULT COWBOY HAT,Others,Adult Purim Costumes & Accessories,Rhode Island,Rhode Island,97138771933,9.71E+10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,PIRATE EYE PATCH,PIRATE EYE PATCH,PIRATE EYE PATCH,PIRATE EYE PATCH,Others,Adult Purim Costumes & Accessories,Rhode Island,Rhode Island,97138858375,9.71E+10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,PINK STRIPES HAT,PINK STRIPES HAT,PINK STRIPES HAT,PINK STRIPES HAT,Others,Adult Purim Costumes & Accessories,Rhode Island,Rhode Island,97138774293,9.71E+10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,HAT,HAT,HAT,HAT,Others,Adult Purim Costumes & Accessories,Rhode Island,Rhode Island,97138722799,9.71E+10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
