Picture,Number,Name(Zh),Name(En),Name(Es),Name(It),Category,Department,Custom Category,Brand,Custom Brand,UPC Code,Origin(UPC),Description,IPK Code,Origin(IPK),Case Code,Origin(Case),Craft(Zh),Craft(En),Craft(Es),Craft(It),Case Rate,Case Length(ft),Case Width(ft),Case Height(ft),Case Cube(ft³),Case Weight(lb),Layer Rate(Case),Pallet Rate(Case),IPK Rate,IPK Length(ft),IPK Width(ft),IPK Height(ft),IPK Cube(ft³),IPK Weight(lb),Layer Rate(IPK),Pallet Rate(IPK),Dozen Rate,Dozen Length(ft),Dozen Width(ft),Dozen Height(ft),Dozen Cube(ft³),Dozen Weight(lb),Layer Rate(Dozen),Pallet Rate(Dozen),Piece Length(ft),Piece Width(ft),Piece Height(ft),Piece Cube(ft³),Piece Weight(lb),Layer Rate(Piece),Pallet Rate(Piece),Future Sale Manage Rate
,winfun,smart cafe cash register,smart cafe cash register,smart cafe cash register,smart cafe cash register,Others,Baby & Toddler Toys,,Winfun,Winfun,840172025155,840172025155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,000183-NI,Baby's Butterfly Rattle,Baby's Butterfly Rattle,Baby's Butterfly Rattle,Baby's Butterfly Rattle,Others,Baby & Toddler Toys,,Winfun,Winfun,840172001838,840172001838,"<p class=""leading-relaxed"">Soft detachable arches A tummy-time pillow</p>
 <p class=""leading-relaxed"">Activity elements: Rustling leaves Colourful shimmering tactile inserts of various shapes! ,Satin ribbons</p>
 <p class=""leading-relaxed"">Hanging toys: A soft safe mirror A soft butterfly with rustling wings A soft bird with a squeaker inside A soft cloud-rattle A teether with a convenient handle</p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,000233-NI,Grip n Play Rattle,Grip n Play Rattle,Grip n Play Rattle,Grip n Play Rattle,Others,Baby & Toddler Toys,,Winfun,Winfun,840172002330,840172002330,"<ul data-mce-fragment=""1"">
 <li data-mce-fragment=""1"">Easy-grasp rattle for playtime fun</li>
 <li data-mce-fragment=""1"">Bright, colorful design</li>
 <li data-mce-fragment=""1"">Free spinning rattle rings</li>
 <li data-mce-fragment=""1"">Easy to grip and shake</li>
 <li data-mce-fragment=""1"">Age 0M+</li>
 </ul>
 <p> </p>
 <p><img alt=""Self Photos / Files - 000233 Stage tag"" src=""https://www.winfun.com/upload/toy_product/35/self/60861c9f104eb.png""></p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,000236-NL,Light-Up Pal Teether - Bee,Light-Up Pal Teether - Bee,Light-Up Pal Teether - Bee,Light-Up Pal Teether - Bee,Others,Baby & Toddler Toys,,Winfun,Winfun,840172002361,840172002361,"<ul data-mce-fragment=""1"">
 <li data-mce-fragment=""1""><span data-mce-fragment=""1"">Semi soft colorful pal</span></li>
 <li data-mce-fragment=""1""><span data-mce-fragment=""1"">Easy to press light-up melody button</span></li>
 <li data-mce-fragment=""1""><span data-mce-fragment=""1"">Fun sounds and cheerful melodies</span></li>
 <li data-mce-fragment=""1""><span data-mce-fragment=""1"">Easily attaches to stroller, crib or car seat</span></li>
 </ul>
 <p> </p>
 <p><span data-mce-fragment=""1""><img alt="""" src=""https://cdn.shopify.com/s/files/1/0659/1938/5816/files/608622ba6385d_480x480.png?v=1705339158""></span></p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,000240-NI,Shake 'N Spin Rattle - Birdy,Shake 'N Spin Rattle - Birdy,Shake 'N Spin Rattle - Birdy,Shake 'N Spin Rattle - Birdy,Others,Baby & Toddler Toys,,Winfun,Winfun,840172002408,840172002408,"<ul>
 <li><span>Sweet bird rattle with spinning tail</span></li>
 <li><span>Easy-grasp handle designed for baby</span></li>
 </ul>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,000241-NI,Shake 'N Slide Rattle - Raincloud,Shake 'N Slide Rattle - Raincloud,Shake 'N Slide Rattle - Raincloud,Shake 'N Slide Rattle - Raincloud,Others,Baby & Toddler Toys,,Winfun,Winfun,840172002415,840172002415,"<ul data-mce-fragment=""1"">
 <li data-mce-fragment=""1""><span data-mce-fragment=""1"">Sweet raincloud rattle with swinging raindrops and sliding bead</span></li>
 <li data-mce-fragment=""1""><span data-mce-fragment=""1"">Easy-grasp handle designed for baby</span></li>
 </ul>
 <p> </p>
 <p><span data-mce-fragment=""1""><img alt="""" src=""https://cdn.shopify.com/s/files/1/0659/1938/5816/files/60861864a31ad_480x480.png?v=1705336802""></span></p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,000250-NI,Safari Adventure Bumper,Safari Adventure Bumper,Safari Adventure Bumper,Safari Adventure Bumper,Others,Baby & Toddler Toys,,Winfun,Winfun,840172002507,840172002507,"<ul>
 <li><span>Soft adventure bumper with multi activities, perfect for little ones</span></li>
 <li><span>Swing the monkey to hear the chime bell and flip the grass to see a hiding jungle pal</span></li>
 <li><span>Flap the bird's wing, peek into the baby-safe mirror, and feel the smooth satin pool</span></li>
 <li><span>Explore the different textures for sensory delights</span></li>
 </ul>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,000674-NL,Spin 'N Pull Snail,Spin 'N Pull Snail,Spin 'N Pull Snail,Spin 'N Pull Snail,Others,Baby & Toddler Toys,,Winfun,Winfun,840172006741,840172006741,"<ul data-mce-fragment=""1"">
 <li data-mce-fragment=""1""><span data-mce-fragment=""1"">Pull-along snail with spinner ball activity</span></li>
 <li data-mce-fragment=""1""><span data-mce-fragment=""1"">Press down on the small ladybug to spin the balls</span></li>
 <li data-mce-fragment=""1""><span data-mce-fragment=""1"">Melody plays as snail is pulled along</span></li>
 </ul>
 <p> </p>
 <p><span data-mce-fragment=""1""><img alt="""" src=""https://cdn.shopify.com/s/files/1/0659/1938/5816/files/608a335173786_480x480.png?v=1705338341""></span></p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,000681-01,Sing 'N Learn With Me - Bear,Sing 'N Learn With Me - Bear,Sing 'N Learn With Me - Bear,Sing 'N Learn With Me - Bear,Others,Baby & Toddler Toys,,Winfun,Winfun,840172006819,840172006819,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,000715-NL,Side-to-Side Discovery Cube,Side-to-Side Discovery Cube,Side-to-Side Discovery Cube,Side-to-Side Discovery Cube,Others,Baby & Toddler Toys,,Winfun,Winfun,840172007151,840172007151,"<ul data-mce-fragment=""1"">
 <li data-mce-fragment=""1"">5 light-up buttons with animal sounds and amused melodies</li>
 <li data-mce-fragment=""1"">2 page book with fun sounds and melodies</li>
 <li data-mce-fragment=""1"">Ocean spinning roller with sound effects</li>
 <li data-mce-fragment=""1"">Colorful dial wheel and wiggly sliding insect buttons</li>
 <li data-mce-fragment=""1"">Clear roller with colorful beads</li>
 <li data-mce-fragment=""1"">Roll the cube for zany sound effect</li>
 </ul>
 <p> </p>
 <p><img alt="""" src=""https://cdn.shopify.com/s/files/1/0659/1938/5816/files/608a466d443fe_480x480.png?v=1705338937""></p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,000741-NL,Music Fun Activity Cube,Music Fun Activity Cube,Music Fun Activity Cube,Music Fun Activity Cube,Others,Baby & Toddler Toys,,Winfun,Winfun,840172007410,840172007410,"<ul data-mce-fragment=""1"">
 <li data-mce-fragment=""1""><span data-mce-fragment=""1"">Multi-activity cube with 5 light-up keys and flashing drum pad</span></li>
 <li data-mce-fragment=""1""><span data-mce-fragment=""1"">Instrument buttons, fun sound buttons and light-up demo song button</span></li>
 <li data-mce-fragment=""1""><span data-mce-fragment=""1"">Fun sounds, animal sounds and cheerful melodies</span></li>
 <li data-mce-fragment=""1""><span data-mce-fragment=""1"">Press the 5 light-up keys for Play Right mode</span></li>
 <li data-mce-fragment=""1""><span data-mce-fragment=""1"">Hit the drum pad to hear drum sounds and change the color</span></li>
 <li data-mce-fragment=""1""><span data-mce-fragment=""1"">Baby-safe mirror, wiggly sliders and turning gears</span></li>
 <li data-mce-fragment=""1""><span data-mce-fragment=""1"">Shape sorter activity includes 4 shapes -triangle, heart, circle, square</span></li>
 </ul>
 <p><span data-mce-fragment=""1""><img alt="""" src=""https://cdn.shopify.com/s/files/1/0659/1938/5816/files/608a46818e72f_480x480.png?v=1705450736""></span></p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,000774-NI,Wobble Cake Stacker,Wobble Cake Stacker,Wobble Cake Stacker,Wobble Cake Stacker,Others,Baby & Toddler Toys,,Winfun,Winfun,840172007748,840172007748,"<ul data-mce-fragment=""1"">
 <li data-mce-fragment=""1""><span data-mce-fragment=""1"">Cake stacker with 5 colorful rings</span></li>
 <li data-mce-fragment=""1""><span data-mce-fragment=""1"">Roly-poly base for wobble action</span></li>
 </ul>
 <p> </p>
 <p><span data-mce-fragment=""1""><img alt="""" src=""https://cdn.shopify.com/s/files/1/0659/1938/5816/files/608a4701ad282_480x480.png?v=1705337552""></span></p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,000776-NI,Daisy Spin Rattle 'N Teether,Daisy Spin Rattle 'N Teether,Daisy Spin Rattle 'N Teether,Daisy Spin Rattle 'N Teether,Others,Baby & Toddler Toys,,Winfun,Winfun,840172007762,840172007762,"<ul data-mce-fragment=""1"">
 <li data-mce-fragment=""1""><span data-mce-fragment=""1"">Activity fun spinning flower rattle and soft teether</span></li>
 <li data-mce-fragment=""1""><span data-mce-fragment=""1"">5 colorful petals with different activities - rattles, baby-safe mirror,squeaker and soft teethers</span></li>
 <li data-mce-fragment=""1""><span data-mce-fragment=""1"">Suction cup sticks to any smooth surface for playtime</span></li>
 <li data-mce-fragment=""1""><span data-mce-fragment=""1"">Press the squeaky center and see the beads spin around inside</span></li>
 </ul>
 <p> </p>
 <p><img alt="""" src=""https://cdn.shopify.com/s/files/1/0659/1938/5816/files/608a46ee3dd12_480x480.png?v=1705336583""></p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,000795-01,Junior Builder Tool Truck,Junior Builder Tool Truck,Junior Builder Tool Truck,Junior Builder Tool Truck,Others,Baby & Toddler Toys,,Winfun,Winfun,840172007953,840172007953,"<ul data-mce-fragment=""1"">
 <li data-mce-fragment=""1""><span data-mce-fragment=""1"">Interactive tool truck with light-up buttons and melodies</span></li>
 <li data-mce-fragment=""1""><span data-mce-fragment=""1"">3 modes of play: Tools mode, Game mode and Music mode</span></li>
 <li data-mce-fragment=""1""><span data-mce-fragment=""1"">Lift the pegs with the hammer, twist the screwdriver to hear click-clack sound and saw on the saw-spaces</span></li>
 <li data-mce-fragment=""1""><span data-mce-fragment=""1"">2 colorful turning pages with sound effect</span></li>
 <li data-mce-fragment=""1""><span data-mce-fragment=""1"">Equipped with tools hammer, saw and screwdriver </span></li>
 </ul>
 <p><span data-mce-fragment=""1""><br></span></p>
 <p><span data-mce-fragment=""1""><img alt="""" src=""https://cdn.shopify.com/s/files/1/0659/1938/5816/files/608f5dde95dff_480x480.png?v=1705340506""></span></p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,000865-NL,2 in 1 Melody Fun Arch,2 in 1 Melody Fun Arch,2 in 1 Melody Fun Arch,2 in 1 Melody Fun Arch,Others,Baby & Toddler Toys,,Winfun,Winfun,840172008653,840172008653,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,002034-NL,Boppin' Beats Drum Set Keyboard,Boppin' Beats Drum Set Keyboard,Boppin' Beats Drum Set Keyboard,Boppin' Beats Drum Set Keyboard,Others,Baby & Toddler Toys,,Winfun,Winfun,840172020341,840172020341,"<ul data-mce-fragment=""1"">
 <li data-mce-fragment=""1""><span data-mce-fragment=""1"">Musical drum with 5 note piano keyboard</span></li>
 <li data-mce-fragment=""1""><span data-mce-fragment=""1"">4 modes of play: Free Play, Fun Sounds, Follow Me and Play Right</span></li>
 <li data-mce-fragment=""1""><span data-mce-fragment=""1"">Built-in demo songs</span></li>
 <li data-mce-fragment=""1""><span data-mce-fragment=""1"">Light-up drum pads and cymbal</span></li>
 <li data-mce-fragment=""1""><span data-mce-fragment=""1"">2 drumsticks included</span></li>
 </ul>
 <p> </p>
 <p><span data-mce-fragment=""1""><img alt="""" src=""https://cdn.shopify.com/s/files/1/0659/1938/5816/files/608f679d625dc_480x480.png?v=1705340163""></span></p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,002087-NL,6-in-1 Live Band,6-in-1 Live Band,6-in-1 Live Band,6-in-1 Live Band,Others,Baby & Toddler Toys,,Winfun,Winfun,840172020877,840172020877,"<ul data-mce-fragment=""1"">
 <li data-mce-fragment=""1""><span data-mce-fragment=""1"">Includes big bass drum with light effects, 5 keys piano, and boom-clash cymbals</span></li>
 <li data-mce-fragment=""1""><span data-mce-fragment=""1"">Plus detachable tambourine, trumpet, and guitar</span></li>
 <li data-mce-fragment=""1""><span data-mce-fragment=""1"">2 modes of play: Free Play and Play Along Tunes</span></li>
 <li data-mce-fragment=""1""><span data-mce-fragment=""1"">Fun sound effects and cheerful melodies</span></li>
 </ul>
 <p> </p>
 <p><span data-mce-fragment=""1""><img alt="""" src=""https://cdn.shopify.com/s/files/1/0659/1938/5816/files/608f66c41a431_480x480.png?v=1705340851""></span></p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,002273-01,Tiny Tots Learning Pad,Tiny Tots Learning Pad,Tiny Tots Learning Pad,Tiny Tots Learning Pad,Others,Baby & Toddler Toys,,Winfun,Winfun,840172022734,840172022734,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,002507-NL,Step-to-Play Junior Piano Mat,Step-to-Play Junior Piano Mat,Step-to-Play Junior Piano Mat,Step-to-Play Junior Piano Mat,Others,Baby & Toddler Toys,,Winfun,Winfun,840172025070,840172025070,"<ul>
 <li><span>Step and play musical mat with 10 piano keys</span></li>
 <li>
 <span>6 different musical instrument sounds</span><br><span>- Guitar, Harp, Violin, Piano, Trumpet and Xylophone</span>
 </li>
 <li><span>4 animal sounds and rhythm selection</span></li>
 <li><span>Flashing lights and built-in demo songs</span></li>
 <li><span>Record and playback features</span></li>
 </ul>
 <p> </p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,002509-NL,Cool Sounds Keyboard,Cool Sounds Keyboard,Cool Sounds Keyboard,Cool Sounds Keyboard,Others,Baby & Toddler Toys,,Winfun,Winfun,840172025094,840172025094,"<ul data-mce-fragment=""1"">
 <li data-mce-fragment=""1""><span data-mce-fragment=""1"">Musical drum with 5 note piano keyboard</span></li>
 <li data-mce-fragment=""1""><span data-mce-fragment=""1"">4 modes of play: Free Play, Fun Sounds, Follow Me and Play Right</span></li>
 <li data-mce-fragment=""1""><span data-mce-fragment=""1"">Built-in demo songs</span></li>
 <li data-mce-fragment=""1""><span data-mce-fragment=""1"">Light-up drum pads and cymbal</span></li>
 <li data-mce-fragment=""1""><span data-mce-fragment=""1"">2 drumsticks included</span></li>
 </ul>
 <p> </p>
 <p><span data-mce-fragment=""1""><img alt="""" src=""https://cdn.shopify.com/s/files/1/0659/1938/5816/files/608f679d625dc_480x480.png?v=1705340163""></span></p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,003207-NI,Garden Pals Rattle Set,Garden Pals Rattle Set,Garden Pals Rattle Set,Garden Pals Rattle Set,Others,Baby & Toddler Toys,,Winfun,Winfun,840172032078,840172032078,"<ul data-mce-fragment=""1"">
 <li data-mce-fragment=""1"">Flower rattle with spinning textured leaves</li>
 <li data-mce-fragment=""1"">Click clack twist and turn textured caterpillar rattle</li>
 <li data-mce-fragment=""1"">Easy-grasp butterfly with textured wings and rattle beads</li>
 <li data-mce-fragment=""1"">Daisy spin rattle with baby-safe mirror, squeaker, soft teethers and suction cup</li>
 </ul>
 <p> </p>
 <p><img alt="""" src=""https://cdn.shopify.com/s/files/1/0659/1938/5816/files/60861d0871642_480x480.png?v=1705337122""></p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,002012-NL,Jungle Band Piano,Jungle Band Piano,Jungle Band Piano,Jungle Band Piano,Others,Baby & Toddler Toys,,Winfun,Winfun,840172041940,840172041940,"<ul>
 <li>Baby animal band with 5 note piano keyboard</li>
 <li>2 modes of play: Free Play and Paly Along Tunes</li>
 <li>Press animals for fun sounds and a groovy solo</li>
 <li>Flashing microphone with cheerful melodies</li>
 </ul>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
