Picture,Number,Name(Zh),Name(En),Name(Es),Name(It),Category,Custom Category,Brand,Custom Brand,UPC Code,Origin(UPC),Description,IPK Code,Origin(IPK),Case Code,Origin(Case),Craft(Zh),Craft(En),Craft(Es),Craft(It),Case Rate,Case Length(ft),Case Width(ft),Case Height(ft),Case Cube(ftÂ³),Case Weight(lb),Layer Rate(Case),Pallet Rate(Case),IPK Rate,IPK Length(ft),IPK Width(ft),IPK Height(ft),IPK Cube(ftÂ³),IPK Weight(lb),Layer Rate(IPK),Pallet Rate(IPK),Dozen Rate,Dozen Length(ft),Dozen Width(ft),Dozen Height(ft),Dozen Cube(ftÂ³),Dozen Weight(lb),Layer Rate(Dozen),Pallet Rate(Dozen),Piece Length(ft),Piece Width(ft),Piece Height(ft),Piece Cube(ftÂ³),Piece Weight(lb),Layer Rate(Piece),Pallet Rate(Piece),Future Sale Manage Rate
,,cases pm3 player,cases pm3 player,cases pm3 player,cases pm3 player,Others,Audio & Music,Akito,Akito,50,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://toys4you-fcpos.s3.us-east-2.amazonaws.com/daf7f6e2-544f-4ee8-baab-670deae5bea9_b3dd1d74-557a-41df-9077-531578ee1b83.jpg,1000009,Akito S8 MP3 black/white,Akito S8 MP3 black/white,Akito S8 MP3 black/white,Akito S8 MP3 black/white,Others,Audio & Music,Akito,Akito,714651090135,714651090135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1200001,AKITO C30 CAMERA,AKITO C30 CAMERA,AKITO C30 CAMERA,AKITO C30 CAMERA,Others,Cameras & Projector,Akito,Akito,714651090159,714651090159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1000012,MP3 player AKITO S6,MP3 player AKITO S6,MP3 player AKITO S6,MP3 player AKITO S6,Others,Audio & Music,Akito,Akito,714651090166,714651090166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://toys4you-fcpos.s3.us-east-2.amazonaws.com/ARU-1300002_1_600x_d7a7db6d-2a63-4905-9888-6d044f0050e4.webp,1300002,TIME DIGITAL ALARM CLOCK. A2,TIME DIGITAL ALARM CLOCK. A2,TIME DIGITAL ALARM CLOCK. A2,TIME DIGITAL ALARM CLOCK. A2,Others,Watches,Akito,Akito,714651090173,714651090173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://toys4you-fcpos.s3.us-east-2.amazonaws.com/7013ace0-904a-47e0-855d-d544358f5ef3_31f10e75-98b6-4e21-a622-498dacf47bc2.png,1000014,Akito L10 MP3 Player,Akito L10 MP3 Player,Akito L10 MP3 Player,Akito L10 MP3 Player,Others,Audio & Music,Akito,Akito,791689119335,791689119335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://toys4you-fcpos.s3.us-east-2.amazonaws.com/image_123650291_1_fae0345d-fb6b-4d13-b609-a65fb9d9f329.webp,1400004,AKITO Live Karaoke D20,AKITO Live Karaoke D20,AKITO Live Karaoke D20,AKITO Live Karaoke D20,Others,Karaoke & Microphones,Akito,Akito,791689119342,791689119342,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://toys4you-fcpos.s3.us-east-2.amazonaws.com/Akito_Live_Karaoke_With_Wireless_Microphone_And_Built-In_Kosher_Songs_dd10eb75-fbfc-4935-8be6-0d495031087e.webp,1400005,AKITO Live Karaoke D40,AKITO Live Karaoke D40,AKITO Live Karaoke D40,AKITO Live Karaoke D40,Others,Karaoke & Microphones,Akito,Akito,791689119359,791689119359,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1200004,AKITO C30 PRO CAMERA,AKITO C30 PRO CAMERA,AKITO C30 PRO CAMERA,AKITO C30 PRO CAMERA,Others,Cameras & Projector,Akito,Akito,791689119373,791689119373,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://toys4you-fcpos.s3.us-east-2.amazonaws.com/214eecaa-7966-441f-bf23-fcea2ed01958_30dea34e-7ffe-42de-b0db-239715efd375.jpg,1000007,AKITO MP3 PLAYER 64 GB S7 black/white,AKITO MP3 PLAYER 64 GB S7 black/white,AKITO MP3 PLAYER 64 GB S7 black/white,AKITO MP3 PLAYER 64 GB S7 black/white,Others,Audio & Music,Akito,Akito,783495152811,783495152811,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
