Picture,Number,Name(Zh),Name(En),Name(Es),Name(It),Category,Custom Category,Brand,Custom Brand,UPC Code,Origin(UPC),Description,IPK Code,Origin(IPK),Case Code,Origin(Case),Craft(Zh),Craft(En),Craft(Es),Craft(It),Case Rate,Case Length(ft),Case Width(ft),Case Height(ft),Case Cube(ftÂ³),Case Weight(lb),Layer Rate(Case),Pallet Rate(Case),IPK Rate,IPK Length(ft),IPK Width(ft),IPK Height(ft),IPK Cube(ftÂ³),IPK Weight(lb),Layer Rate(IPK),Pallet Rate(IPK),Dozen Rate,Dozen Length(ft),Dozen Width(ft),Dozen Height(ft),Dozen Cube(ftÂ³),Dozen Weight(lb),Layer Rate(Dozen),Pallet Rate(Dozen),Piece Length(ft),Piece Width(ft),Piece Height(ft),Piece Cube(ftÂ³),Piece Weight(lb),Layer Rate(Piece),Pallet Rate(Piece),Future Sale Manage Rate
,1788,"Lin Lin 16""","Lin Lin 16""","Lin Lin 16""","Lin Lin 16""",Others,Stuffed Animals,Aurora,Aurora,92943017887,92943017887,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2559,"Teddy Pets 7"" Yorkie Plush","Teddy Pets 7"" Yorkie Plush","Teddy Pets 7"" Yorkie Plush","Teddy Pets 7"" Yorkie Plush",Others,Teddy Bears,Aurora,Aurora,92943025592,92943025592,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2560,"Teddy Pets 7"" Goldendoodle","Teddy Pets 7"" Goldendoodle","Teddy Pets 7"" Goldendoodle","Teddy Pets 7"" Goldendoodle",Others,Teddy Bears,Aurora,Aurora,92943025608,92943025608,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2568,"Teddy Pets 7"" Griffon Bruxellois Plush","Teddy Pets 7"" Griffon Bruxellois Plush","Teddy Pets 7"" Griffon Bruxellois Plush","Teddy Pets 7"" Griffon Bruxellois Plush",Others,Teddy Bears,Aurora,Aurora,92943025684,92943025684,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3395,"Perky Penguin Sweet & Softer Snuggly 9.5""","Perky Penguin Sweet & Softer Snuggly 9.5""","Perky Penguin Sweet & Softer Snuggly 9.5""","Perky Penguin Sweet & Softer Snuggly 9.5""",Others,Stuffed Animals,Aurora,Aurora,92943033955,92943033955,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3423,"Big Foot 12.5""","Big Foot 12.5""","Big Foot 12.5""","Big Foot 12.5""",Others,Stuffed Animals,Aurora,Aurora,92943034235,92943034235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3632,"Lin Lin Panda 10"" Plush","Lin Lin Panda 10"" Plush","Lin Lin Panda 10"" Plush","Lin Lin Panda 10"" Plush",Others,Stuffed Animals,Aurora,Aurora,92943036321,92943036321,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3634,"Lin Lin 14"" Panda Plush","Lin Lin 14"" Panda Plush","Lin Lin 14"" Panda Plush","Lin Lin 14"" Panda Plush",Others,Stuffed Animals,Aurora,Aurora,92943036345,92943036345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3635,"Lin Lin Panda 19.5"" Plush","Lin Lin Panda 19.5"" Plush","Lin Lin Panda 19.5"" Plush","Lin Lin Panda 19.5"" Plush",Others,Stuffed Animals,Aurora,Aurora,92943036352,92943036352,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,8600,"Flopsie Chastity White Rabbit 12""","Flopsie Chastity White Rabbit 12""","Flopsie Chastity White Rabbit 12""","Flopsie Chastity White Rabbit 12""",Others,Stuffed Animals,Aurora,Aurora,92943086005,92943086005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
