Picture,Number,Name(Zh),Name(En),Name(Es),Name(It),Category,Custom Category,Brand,Custom Brand,UPC Code,Origin(UPC),Description,IPK Code,Origin(IPK),Case Code,Origin(Case),Craft(Zh),Craft(En),Craft(Es),Craft(It),Case Rate,Case Length(ft),Case Width(ft),Case Height(ft),Case Cube(ft³),Case Weight(lb),Layer Rate(Case),Pallet Rate(Case),IPK Rate,IPK Length(ft),IPK Width(ft),IPK Height(ft),IPK Cube(ft³),IPK Weight(lb),Layer Rate(IPK),Pallet Rate(IPK),Dozen Rate,Dozen Length(ft),Dozen Width(ft),Dozen Height(ft),Dozen Cube(ft³),Dozen Weight(lb),Layer Rate(Dozen),Pallet Rate(Dozen),Piece Length(ft),Piece Width(ft),Piece Height(ft),Piece Cube(ft³),Piece Weight(lb),Layer Rate(Piece),Pallet Rate(Piece),Future Sale Manage Rate
,812,PENCIL CASE,PENCIL CASE,PENCIL CASE,PENCIL CASE,Others,Backpacks & Pencil Cases,BAZIC,BAZIC,764608008126,764608008126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,PENCIL CASE,PENCIL CASE,PENCIL CASE,PENCIL CASE,Others,Backpacks & Pencil Cases,BAZIC,BAZIC,764608008027,764608008027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,PENCIL CASE,PENCIL CASE,PENCIL CASE,PENCIL CASE,Others,Backpacks & Pencil Cases,BAZIC,BAZIC,764608008393,764608008393,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,PENCIL CASE,PENCIL CASE,PENCIL CASE,PENCIL CASE,Others,Backpacks & Pencil Cases,BAZIC,BAZIC,764608008164,764608008164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,ORGANIZER BOX,ORGANIZER BOX,ORGANIZER BOX,ORGANIZER BOX,Others,Backpacks & Pencil Cases,BAZIC,BAZIC,764608008379,764608008379,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,BAZIC 3 holes pencil case,BAZIC 3 holes pencil case,BAZIC 3 holes pencil case,BAZIC 3 holes pencil case,Others,Backpacks & Pencil Cases,BAZIC,BAZIC,764608008010,764608008010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,POLY 8-POKET ORGANIZER,POLY 8-POKET ORGANIZER,POLY 8-POKET ORGANIZER,POLY 8-POKET ORGANIZER,Others,Backpacks & Pencil Cases,BAZIC,BAZIC,764608031636,764608031636,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,BAZIC 1 INCH POLLY BINDER,BAZIC 1 INCH POLLY BINDER,BAZIC 1 INCH POLLY BINDER,BAZIC 1 INCH POLLY BINDER,Others,Binders & Dividers,BAZIC,BAZIC,764608031285,764608031285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"1/2"" VIEW BINDER","1/2"" VIEW BINDER","1/2"" VIEW BINDER","1/2"" VIEW BINDER",Others,Binders & Dividers,BAZIC,BAZIC,764608031421,764608031421,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3111,"1 1/2"" Binder Asst Colors","1 1/2"" Binder Asst Colors","1 1/2"" Binder Asst Colors","1 1/2"" Binder Asst Colors",Others,Binders & Dividers,BAZIC,BAZIC,764608031117,764608031117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2 PACK DOCUMENT HOLDER,2 PACK DOCUMENT HOLDER,2 PACK DOCUMENT HOLDER,2 PACK DOCUMENT HOLDER,Others,Binders & Dividers,BAZIC,BAZIC,764608031964,764608031964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4123,"Binder View 1"" Red 3-Ring w/ 2-Pockets","Binder View 1"" Red 3-Ring w/ 2-Pockets","Binder View 1"" Red 3-Ring w/ 2-Pockets","Binder View 1"" Red 3-Ring w/ 2-Pockets",Others,Binders & Dividers,BAZIC,BAZIC,764608041239,764608041239,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4120,"Binder View 1"" Burgundy 3-Ring w/ 2-Pockets","Binder View 1"" Burgundy 3-Ring w/ 2-Pockets","Binder View 1"" Burgundy 3-Ring w/ 2-Pockets","Binder View 1"" Burgundy 3-Ring w/ 2-Pockets",Others,Binders & Dividers,BAZIC,BAZIC,764608041208,764608041208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3130,1'2 BINDER,1'2 BINDER,1'2 BINDER,1'2 BINDER,Others,Binders & Dividers,BAZIC,BAZIC,764608031308,764608031308,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,213,"1.5"" METAL BOOK RING","1.5"" METAL BOOK RING","1.5"" METAL BOOK RING","1.5"" METAL BOOK RING",Others,Binders & Dividers,BAZIC,BAZIC,764608002131,764608002131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,524,"3"" Slant-D Ring View Binder With 2 Pockets, Gray","3"" Slant-D Ring View Binder With 2 Pockets, Gray","3"" Slant-D Ring View Binder With 2 Pockets, Gray","3"" Slant-D Ring View Binder With 2 Pockets, Gray",Others,Binders & Dividers,BAZIC,BAZIC,764608005248,764608005248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,BINDER CLIPS,BINDER CLIPS,BINDER CLIPS,BINDER CLIPS,Others,Binders & Dividers,BAZIC,BAZIC,764608002612,764608002612,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,RUBBER BANDS,RUBBER BANDS,RUBBER BANDS,RUBBER BANDS,Others,Binders & Dividers,BAZIC,BAZIC,764608061107,764608061107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,BINDER CLIPS,BINDER CLIPS,BINDER CLIPS,BINDER CLIPS,Others,Binders & Dividers,BAZIC,BAZIC,764608002681,764608002681,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1' BINDER,1' BINDER,1' BINDER,1' BINDER,Others,Binders & Dividers,BAZIC,BAZIC,764608031322,764608031322,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,RUBBER BANDS,RUBBER BANDS,RUBBER BANDS,RUBBER BANDS,Others,Binders & Dividers,BAZIC,BAZIC,764608061022,764608061022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"2"" METAL BOOK RING","2"" METAL BOOK RING","2"" METAL BOOK RING","2"" METAL BOOK RING",Others,Binders & Dividers,BAZIC,BAZIC,764608002148,764608002148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,BINDER CLIPS,BINDER CLIPS,BINDER CLIPS,BINDER CLIPS,Others,Binders & Dividers,BAZIC,BAZIC,764608002698,764608002698,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
