Picture,Number,Name(Zh),Name(En),Name(Es),Name(It),Category,Custom Category,Brand,Custom Brand,UPC Code,Origin(UPC),Description,IPK Code,Origin(IPK),Case Code,Origin(Case),Craft(Zh),Craft(En),Craft(Es),Craft(It),Case Rate,Case Length(ft),Case Width(ft),Case Height(ft),Case Cube(ftÂ³),Case Weight(lb),Layer Rate(Case),Pallet Rate(Case),IPK Rate,IPK Length(ft),IPK Width(ft),IPK Height(ft),IPK Cube(ftÂ³),IPK Weight(lb),Layer Rate(IPK),Pallet Rate(IPK),Dozen Rate,Dozen Length(ft),Dozen Width(ft),Dozen Height(ft),Dozen Cube(ftÂ³),Dozen Weight(lb),Layer Rate(Dozen),Pallet Rate(Dozen),Piece Length(ft),Piece Width(ft),Piece Height(ft),Piece Cube(ftÂ³),Piece Weight(lb),Layer Rate(Piece),Pallet Rate(Piece),Future Sale Manage Rate
,2500,RAM 2500 Pickup Truck,RAM 2500 Pickup Truck,RAM 2500 Pickup Truck,RAM 2500 Pickup Truck,Others,Cars & Trucks,bruder,bruder,4001702025007,4001702025007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2765,MAN Tip up truck,MAN Tip up truck,MAN Tip up truck,MAN Tip up truck,Others,Cars & Trucks,bruder,bruder,4001702027650,4001702027650,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2821,Mack Granite Fire Engine Truck w/ Water Pump,Mack Granite Fire Engine Truck w/ Water Pump,Mack Granite Fire Engine Truck w/ Water Pump,Mack Granite Fire Engine Truck w/ Water Pump,Others,Cars & Trucks,bruder,bruder,4001702028213,4001702028213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,62250,Bworld UPS Store,Bworld UPS Store,Bworld UPS Store,Bworld UPS Store,Others,Ships & Aircraft,bruder,bruder,4001702622503,4001702622503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2444,Bruder Cat Track-Type Tractor,Bruder Cat Track-Type Tractor,Bruder Cat Track-Type Tractor,Bruder Cat Track-Type Tractor,Others,Emergency & Service Vehicles,bruder,bruder,4001702024444,4001702024444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2502,RAM 2500 Power Wagon w Scrambler Ducati Desert Sied,RAM 2500 Power Wagon w Scrambler Ducati Desert Sied,RAM 2500 Power Wagon w Scrambler Ducati Desert Sied,RAM 2500 Power Wagon w Scrambler Ducati Desert Sied,Others,Cars & Trucks,bruder,bruder,4001702025021,4001702025021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2769,MAN Timber truck with loading crane and 3 trunks,MAN Timber truck with loading crane and 3 trunks,MAN Timber truck with loading crane and 3 trunks,MAN Timber truck with loading crane and 3 trunks,Others,Cars & Trucks,bruder,bruder,4001702027698,4001702027698,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2824,MACK Granite Timber Truck,MACK Granite Timber Truck,MACK Granite Timber Truck,MACK Granite Timber Truck,Others,Cars & Trucks,bruder,bruder,4001702028244,4001702028244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3763,MAN TGS Rear Loading Garbage Truck green,MAN TGS Rear Loading Garbage Truck green,MAN TGS Rear Loading Garbage Truck green,MAN TGS Rear Loading Garbage Truck green,Others,Cars & Trucks,bruder,bruder,4001702037635,4001702037635,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2430,Liebherr Articulated Road Loader L 574,Liebherr Articulated Road Loader L 574,Liebherr Articulated Road Loader L 574,Liebherr Articulated Road Loader L 574,Others,Emergency & Service Vehicles,bruder,bruder,4001702024307,4001702024307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
