Picture,Number,Name(Zh),Name(En),Name(Es),Name(It),Category,Department,Custom Category,Brand,Custom Brand,UPC Code,Origin(UPC),Description,IPK Code,Origin(IPK),Case Code,Origin(Case),Craft(Zh),Craft(En),Craft(Es),Craft(It),Case Rate,Case Length(ft),Case Width(ft),Case Height(ft),Case Cube(ft³),Case Weight(lb),Layer Rate(Case),Pallet Rate(Case),IPK Rate,IPK Length(ft),IPK Width(ft),IPK Height(ft),IPK Cube(ft³),IPK Weight(lb),Layer Rate(IPK),Pallet Rate(IPK),Dozen Rate,Dozen Length(ft),Dozen Width(ft),Dozen Height(ft),Dozen Cube(ft³),Dozen Weight(lb),Layer Rate(Dozen),Pallet Rate(Dozen),Piece Length(ft),Piece Width(ft),Piece Height(ft),Piece Cube(ft³),Piece Weight(lb),Layer Rate(Piece),Pallet Rate(Piece),Future Sale Manage Rate
,mq-24-7blcf,CASIO WATCH,CASIO WATCH,CASIO WATCH,CASIO WATCH,Others,Impulse,Watches,CASIO,CASIO,79767223830,79767223830,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,CASIO MENS ANALOG WATCH,CASIO MENS ANALOG WATCH,CASIO MENS ANALOG WATCH,CASIO MENS ANALOG WATCH,Others,Impulse,Watches,CASIO,CASIO,79767945312,79767945312,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,SAMPLE ASK BY REGISTER,Casio F-91 Watch,Casio F-91 Watch,Casio F-91 Watch,Casio F-91 Watch,Others,Impulse,Watches,CASIO,CASIO,77,77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,CASIO CLASIC MENS ANALOG WAT,CASIO CLASIC MENS ANALOG WAT,CASIO CLASIC MENS ANALOG WAT,CASIO CLASIC MENS ANALOG WAT,Others,Impulse,Watches,CASIO,CASIO,79767572457,79767572457,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Casio SS A178 boys,Casio SS A178 boys,Casio SS A178 boys,Casio SS A178 boys,Others,Impulse,Watches,CASIO,CASIO,79767759384,79767759384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,mq-241b3lcf,CASIO WATCH,CASIO WATCH,CASIO WATCH,CASIO WATCH,Others,Impulse,Watches,CASIO,CASIO,79767831295,79767831295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CASMQ24-7B3,Casio Women Watch,Casio Women Watch,Casio Women Watch,Casio Women Watch,Others,Impulse,Watches,Casio,Casio,79767848132,79767848132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,BLACK CASIIO WATCH,BLACK CASIIO WATCH,BLACK CASIIO WATCH,BLACK CASIIO WATCH,Others,Impulse,Watches,CASIO,CASIO,79767954406,79767954406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,mq-24-1elcf,CASIO MENS CLASSIC ANALOG WA,CASIO MENS CLASSIC ANALOG WA,CASIO MENS CLASSIC ANALOG WA,CASIO MENS CLASSIC ANALOG WA,Others,Impulse,Watches,CASIO,CASIO,79767223823,79767223823,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,CASIO ALARM,CASIO ALARM,CASIO ALARM,CASIO ALARM,Others,Impulse,Watches,CASIO,CASIO,79767542085,79767542085,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
