Picture,Number,Name(Zh),Name(En),Name(Es),Name(It),Category,Department,Custom Category,Brand,Custom Brand,UPC Code,Origin(UPC),Description,IPK Code,Origin(IPK),Case Code,Origin(Case),Craft(Zh),Craft(En),Craft(Es),Craft(It),Case Rate,Case Length(ft),Case Width(ft),Case Height(ft),Case Cube(ft³),Case Weight(lb),Layer Rate(Case),Pallet Rate(Case),IPK Rate,IPK Length(ft),IPK Width(ft),IPK Height(ft),IPK Cube(ft³),IPK Weight(lb),Layer Rate(IPK),Pallet Rate(IPK),Dozen Rate,Dozen Length(ft),Dozen Width(ft),Dozen Height(ft),Dozen Cube(ft³),Dozen Weight(lb),Layer Rate(Dozen),Pallet Rate(Dozen),Piece Length(ft),Piece Width(ft),Piece Height(ft),Piece Cube(ft³),Piece Weight(lb),Layer Rate(Piece),Pallet Rate(Piece),Future Sale Manage Rate
,,MATZA COVER,MATZA COVER,MATZA COVER,MATZA COVER,Others,Arts & Crafts,Judaica Crafts,Cazenove,Cazenove,5060982280697,5060982280697,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,happy pesach frog,happy pesach frog,happy pesach frog,happy pesach frog,Others,Arts & Crafts,Judaica Crafts,Cazenove,Cazenove,5060982280758,5060982280758,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,WOOD GIFT TAGS HAMAN TASHEN,WOOD GIFT TAGS HAMAN TASHEN,WOOD GIFT TAGS HAMAN TASHEN,WOOD GIFT TAGS HAMAN TASHEN,Others,Arts & Crafts,Judaica Crafts,Cazenove,Cazenove,5060982280796,5060982280796,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,WOOD GIFT TAGS MASKS,WOOD GIFT TAGS MASKS,WOOD GIFT TAGS MASKS,WOOD GIFT TAGS MASKS,Others,Arts & Crafts,Judaica Crafts,Cazenove,Cazenove,5060982280802,5060982280802,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,COLOUR IN SEDER PLATES,COLOUR IN SEDER PLATES,COLOUR IN SEDER PLATES,COLOUR IN SEDER PLATES,Others,Arts & Crafts,Judaica Crafts,Cazenove,Cazenove,5060982280888,5060982280888,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,RUSH HASHUNAH MODELLING FOAM,RUSH HASHUNAH MODELLING FOAM,RUSH HASHUNAH MODELLING FOAM,RUSH HASHUNAH MODELLING FOAM,Others,Arts & Crafts,Judaica Crafts,Cazenove,Cazenove,5060982281205,5060982281205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,TORAH TREAT BAGS,TORAH TREAT BAGS,TORAH TREAT BAGS,TORAH TREAT BAGS,Others,Arts & Crafts,Judaica Crafts,Cazenove,Cazenove,5060982281021,5060982281021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,TORAH TREAT BAGS,TORAH TREAT BAGS,TORAH TREAT BAGS,TORAH TREAT BAGS,Others,Arts & Crafts,Judaica Crafts,Cazenove,Cazenove,5060982281076,5060982281076,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CUFF-1001,Dreidel Cufflinks,Dreidel Cufflinks,Dreidel Cufflinks,Dreidel Cufflinks,Others,Chanukah,Chanukah Crafts,Cazenove,Cazenove,5060982281502,5060982281502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,SIMANIM CARD,SIMANIM CARD,SIMANIM CARD,SIMANIM CARD,Others,Arts & Crafts,Judaica Crafts,Cazenove,Cazenove,5060982281069,5060982281069,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,THUNDER CLAPPER STICKS,THUNDER CLAPPER STICKS,THUNDER CLAPPER STICKS,THUNDER CLAPPER STICKS,Others,Arts & Crafts,Judaica Crafts,Cazenove,Cazenove,5060982282189,5060982282189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,MONKEY CLOWN,MONKEY CLOWN,MONKEY CLOWN,MONKEY CLOWN,Others,Arts & Crafts,Judaica Crafts,Cazenove,Cazenove,5060982281892,5060982281892,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,GAME BLOW FROGGY BLOW,GAME BLOW FROGGY BLOW,GAME BLOW FROGGY BLOW,GAME BLOW FROGGY BLOW,Others,Arts & Crafts,Judaica Crafts,Cazenove,Cazenove,5060982282202,5060982282202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,PASSOVER MAGIC PAINT SET,PASSOVER MAGIC PAINT SET,PASSOVER MAGIC PAINT SET,PASSOVER MAGIC PAINT SET,Others,Arts & Crafts,Judaica Crafts,Cazenove,Cazenove,5060982280666,5060982280666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,PASSOVER ACTIVITY SET,PASSOVER ACTIVITY SET,PASSOVER ACTIVITY SET,PASSOVER ACTIVITY SET,Others,Arts & Crafts,Judaica Crafts,Cazenove,Cazenove,5060982280727,5060982280727,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,PASSOVER MAGNET ART,PASSOVER MAGNET ART,PASSOVER MAGNET ART,PASSOVER MAGNET ART,Others,Arts & Crafts,Judaica Crafts,Cazenove,Cazenove,5060982280734,5060982280734,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,PASSOVER STRAWS,PASSOVER STRAWS,PASSOVER STRAWS,PASSOVER STRAWS,Others,Arts & Crafts,Judaica Crafts,Cazenove,Cazenove,5060982281588,5060982281588,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,PASSOVER FROGGY SHOOTER,PASSOVER FROGGY SHOOTER,PASSOVER FROGGY SHOOTER,PASSOVER FROGGY SHOOTER,Others,Arts & Crafts,Judaica Crafts,Cazenove,Cazenove,5060982282141,5060982282141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,CHANUKH SHAPED STICKER NOTES,CHANUKH SHAPED STICKER NOTES,CHANUKH SHAPED STICKER NOTES,CHANUKH SHAPED STICKER NOTES,Others,Chanukah,Chanukah Crafts,Cazenove,Cazenove,5060076438409,5060076438409,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,STR-503,Dreidel Shaped Glasses Straw,Dreidel Shaped Glasses Straw,Dreidel Shaped Glasses Straw,Dreidel Shaped Glasses Straw,Others,Chanukah,Chanukah Crafts,Cazenove,Cazenove,5060076437969,5060076437969,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DSB-1001,Dreidel Slap Band Gelt Pouch,Dreidel Slap Band Gelt Pouch,Dreidel Slap Band Gelt Pouch,Dreidel Slap Band Gelt Pouch,Others,Chanukah,Chanukah Crafts,Cazenove,Cazenove,5060076438126,5060076438126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PEN-601,10 Coloured Pen,10 Coloured Pen,10 Coloured Pen,10 Coloured Pen,Others,Chanukah,Chanukah Crafts,Cazenove,Cazenove,5060076438492,5060076438492,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CS-1500,CHANUKA DREIDEL CROSS STITCH KIT,CHANUKA DREIDEL CROSS STITCH KIT,CHANUKA DREIDEL CROSS STITCH KIT,CHANUKA DREIDEL CROSS STITCH KIT,Others,Chanukah,Chanukah Crafts,Cazenove,Cazenove,5060076431257,5060076431257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DB-3001,Dreidel Balloons & Stickers,Dreidel Balloons & Stickers,Dreidel Balloons & Stickers,Dreidel Balloons & Stickers,Others,Chanukah,Chanukah Crafts,Cazenove,Cazenove,5060076437464,5060076437464,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,cfs-1001,CHANUKA FOAM SHAPES,CHANUKA FOAM SHAPES,CHANUKA FOAM SHAPES,CHANUKA FOAM SHAPES,Others,Chanukah,Chanukah Crafts,Cazenove,Cazenove,5060076438294,5060076438294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,DRIEDEL PEN,DRIEDEL PEN,DRIEDEL PEN,DRIEDEL PEN,Others,Chanukah,Chanukah Crafts,Cazenove,Cazenove,5060076435927,5060076435927,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DSA-5010,DREIDEL SEQUIN ART,DREIDEL SEQUIN ART,DREIDEL SEQUIN ART,DREIDEL SEQUIN ART,Others,Chanukah,Chanukah Crafts,Cazenove,Cazenove,5060076437495,5060076437495,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
