Picture,Number,Name(Zh),Name(En),Name(Es),Name(It),Department,Category,Custom Category,Brand,Custom Brand,UPC Code,Origin(UPC),Description,IPK Code,Origin(IPK),Case Code,Origin(Case),Craft(Zh),Craft(En),Craft(Es),Craft(It),Case Rate,Case Length(ft),Case Width(ft),Case Height(ft),Case Cube(ft³),Case Weight(lb),Layer Rate(Case),Pallet Rate(Case),IPK Rate,IPK Length(ft),IPK Width(ft),IPK Height(ft),IPK Cube(ft³),IPK Weight(lb),Layer Rate(IPK),Pallet Rate(IPK),Dozen Rate,Dozen Length(ft),Dozen Width(ft),Dozen Height(ft),Dozen Cube(ft³),Dozen Weight(lb),Layer Rate(Dozen),Pallet Rate(Dozen),Piece Length(ft),Piece Width(ft),Piece Height(ft),Piece Cube(ft³),Piece Weight(lb),Layer Rate(Piece),Pallet Rate(Piece),Future Sale Manage Rate
https://toys4you-fcpos.s3.us-east-2.amazonaws.com/_wBRx9xMTCZ7R5n_2Q_4b666159-973c-4cc4-a23f-0cdbaee0c938.jpg,CC03,Crystal Crafts: Deer,Crystal Crafts: Deer,Crystal Crafts: Deer,Crystal Crafts: Deer,Arts & Crafts,Judaica Crafts,,Chazak Kinder,Chazak Kinder,7625651623144,7625651623144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://toys4you-fcpos.s3.us-east-2.amazonaws.com/0Z4oBQCgFAKAUAoD_9k_2dc7ba7f-7bbe-4d1d-847f-31a158a18585.jpg,STK77,SCRATCH & SNIFF: PIZZA STICKERS,SCRATCH & SNIFF: PIZZA STICKERS,SCRATCH & SNIFF: PIZZA STICKERS,SCRATCH & SNIFF: PIZZA STICKERS,Arts & Crafts,Judaica Crafts,,Chazak Kinder,Chazak Kinder,643356045044,643356045044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://toys4you-fcpos.s3.us-east-2.amazonaws.com/8Q1Sy2YgF2rKwFlAf_Z_a588734d-9492-4f35-ad7f-58aba54b2992.jpg,CC23,Yerushalayim Crystal Craft,Yerushalayim Crystal Craft,Yerushalayim Crystal Craft,Yerushalayim Crystal Craft,Arts & Crafts,Judaica Crafts,,Chazak Kinder,Chazak Kinder,791126052249,791126052249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://toys4you-fcpos.s3.us-east-2.amazonaws.com/AIAgCAIAgCAIAgH_2Q_5e7b1371-7d56-4827-835d-a4a462d4e8d1.jpg,427,MY TEACHER SET,MY TEACHER SET,MY TEACHER SET,MY TEACHER SET,Arts & Crafts,Judaica Crafts,,Chazak Kinder,Chazak Kinder,748322279772,748322279772,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://toys4you-fcpos.s3.us-east-2.amazonaws.com/AKACgAoAKACgAoA_9k_2e6f8c7a-c7a1-4a55-9198-c9dc55d01f94.jpg,CC02,CRYSTAL CRAFT USHPEZIN,CRYSTAL CRAFT USHPEZIN,CRYSTAL CRAFT USHPEZIN,CRYSTAL CRAFT USHPEZIN,Arts & Crafts,Judaica Crafts,,Chazak Kinder,Chazak Kinder,791126052348,791126052348,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://toys4you-fcpos.s3.us-east-2.amazonaws.com/AQAgBACAEAIAQAgP_9k_a80f6b99-5527-4260-bff0-8522ce06928e.jpg,BZ122C,KRIAS SHEMA CANVAS,KRIAS SHEMA CANVAS,KRIAS SHEMA CANVAS,KRIAS SHEMA CANVAS,Arts & Crafts,Judaica Crafts,,Chazak Kinder,Chazak Kinder,793565251900,793565251900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://toys4you-fcpos.s3.us-east-2.amazonaws.com/CqJwIVVQ4EKvVgQv_9k_8a5516ce-0d00-4f2b-b318-f56b753daf26.jpg,CC12,CRYSTAL CRAFTS SUKKAH SET,CRYSTAL CRAFTS SUKKAH SET,CRYSTAL CRAFTS SUKKAH SET,CRYSTAL CRAFTS SUKKAH SET,Arts & Crafts,Judaica Crafts,,Chazak Kinder,Chazak Kinder,7437530829802,7437530829802,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://toys4you-fcpos.s3.us-east-2.amazonaws.com/gCiiigCiiigCiiigP_Z_173b56e0-6d9c-4dcb-b9ad-d6a3ad1eefe2.jpg,BZ122B,SHABBOS CANVAS,SHABBOS CANVAS,SHABBOS CANVAS,SHABBOS CANVAS,Arts & Crafts,Judaica Crafts,,Chazak Kinder,Chazak Kinder,793565251894,793565251894,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://toys4you-fcpos.s3.us-east-2.amazonaws.com/j7BRRRShoUUUUAf_2Q_f1c51aa5-d56a-4b13-a85a-7c02fed91139.jpg,BZD13,Diamondz Sefer Torah,Diamondz Sefer Torah,Diamondz Sefer Torah,Diamondz Sefer Torah,Arts & Crafts,Judaica Crafts,,Chazak Kinder,Chazak Kinder,696168619262,696168619262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://toys4you-fcpos.s3.us-east-2.amazonaws.com/QBAEAQBAEAQBAEAQD_Z_71fdb5d1-2437-4a2e-946b-0f2a150e7586.jpg,STK235,SCRATCH & SNIFF: TACO STICKERS,SCRATCH & SNIFF: TACO STICKERS,SCRATCH & SNIFF: TACO STICKERS,SCRATCH & SNIFF: TACO STICKERS,Arts & Crafts,Judaica Crafts,,Chazak Kinder,Chazak Kinder,192073566603,192073566603,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
