Picture,Number,Name(Zh),Name(En),Name(Es),Name(It),Category,Custom Category,Brand,Custom Brand,UPC Code,Origin(UPC),Description,IPK Code,Origin(IPK),Case Code,Origin(Case),Craft(Zh),Craft(En),Craft(Es),Craft(It),Case Rate,Case Length(ft),Case Width(ft),Case Height(ft),Case Cube(ftÂ³),Case Weight(lb),Layer Rate(Case),Pallet Rate(Case),IPK Rate,IPK Length(ft),IPK Width(ft),IPK Height(ft),IPK Cube(ftÂ³),IPK Weight(lb),Layer Rate(IPK),Pallet Rate(IPK),Dozen Rate,Dozen Length(ft),Dozen Width(ft),Dozen Height(ft),Dozen Cube(ftÂ³),Dozen Weight(lb),Layer Rate(Dozen),Pallet Rate(Dozen),Piece Length(ft),Piece Width(ft),Piece Height(ft),Piece Cube(ftÂ³),Piece Weight(lb),Layer Rate(Piece),Pallet Rate(Piece),Future Sale Manage Rate
,pnth,Paint By Number Teddy Hearts 2,Paint By Number Teddy Hearts 2,Paint By Number Teddy Hearts 2,Paint By Number Teddy Hearts 2,Others,Judaica Crafts,Colours Craft,Colours Craft,123698965458,123698965458,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,wsp,3D Wooden Sukkah Puzzle,3D Wooden Sukkah Puzzle,3D Wooden Sukkah Puzzle,3D Wooden Sukkah Puzzle,Others,Judaica Crafts,Colours Craft,Colours Craft,195893389315,195893389315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,pnu,Paint By Number Ushpizin,Paint By Number Ushpizin,Paint By Number Ushpizin,Paint By Number Ushpizin,Others,Judaica Crafts,Colours Craft,Colours Craft,652354785128,652354785128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,SUKKA CRAFT KIT,SUKKA CRAFT KIT,SUKKA CRAFT KIT,SUKKA CRAFT KIT,Others,Judaica Crafts,Colours Craft,Colours Craft,658745256390,658745256390,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,qhb,Quilled Hot Air Balloon Kit,Quilled Hot Air Balloon Kit,Quilled Hot Air Balloon Kit,Quilled Hot Air Balloon Kit,Others,Judaica Crafts,Colours Craft,Colours Craft,195893336043,195893336043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,sch,Rhinestone Heart Stretched Canvas,Rhinestone Heart Stretched Canvas,Rhinestone Heart Stretched Canvas,Rhinestone Heart Stretched Canvas,Others,Judaica Crafts,Colours Craft,Colours Craft,195893630219,195893630219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ffqb,Floating Frame Quilled Butterfly,Floating Frame Quilled Butterfly,Floating Frame Quilled Butterfly,Floating Frame Quilled Butterfly,Others,Judaica Crafts,Colours Craft,Colours Craft,942157931540,942157931540,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,pntb,Paint by Number Teddy Balloon,Paint by Number Teddy Balloon,Paint by Number Teddy Balloon,Paint by Number Teddy Balloon,Others,Judaica Crafts,Colours Craft,Colours Craft,326458965624,326458965624,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,pnb,Paint By Number Birds,Paint By Number Birds,Paint By Number Birds,Paint By Number Birds,Others,Judaica Crafts,Colours Craft,Colours Craft,236523698749,236523698749,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,scpr,Rhinestone Red Parrot Stretched Canvas,Rhinestone Red Parrot Stretched Canvas,Rhinestone Red Parrot Stretched Canvas,Rhinestone Red Parrot Stretched Canvas,Others,Judaica Crafts,Colours Craft,Colours Craft,365289478521,365289478521,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
