Picture,Number,Name(Zh),Name(En),Name(Es),Name(It),Department,Category,Custom Category,Brand,Custom Brand,UPC Code,Origin(UPC),Description,IPK Code,Origin(IPK),Case Code,Origin(Case),Craft(Zh),Craft(En),Craft(Es),Craft(It),Case Rate,Case Length(ft),Case Width(ft),Case Height(ft),Case Cube(ft³),Case Weight(lb),Layer Rate(Case),Pallet Rate(Case),IPK Rate,IPK Length(ft),IPK Width(ft),IPK Height(ft),IPK Cube(ft³),IPK Weight(lb),Layer Rate(IPK),Pallet Rate(IPK),Dozen Rate,Dozen Length(ft),Dozen Width(ft),Dozen Height(ft),Dozen Cube(ft³),Dozen Weight(lb),Layer Rate(Dozen),Pallet Rate(Dozen),Piece Length(ft),Piece Width(ft),Piece Height(ft),Piece Cube(ft³),Piece Weight(lb),Layer Rate(Piece),Pallet Rate(Piece),Future Sale Manage Rate
,NR67555,NYPD POLICE MOTORCYLE,NYPD POLICE MOTORCYLE,NYPD POLICE MOTORCYLE,NYPD POLICE MOTORCYLE,Vehicles & RC,,,DARON,DARON,93577675597,93577675597,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,NY8830,NYC TAXI 3D WOOD PUZZLE,NYC TAXI 3D WOOD PUZZLE,NYC TAXI 3D WOOD PUZZLE,NYC TAXI 3D WOOD PUZZLE,Vehicles & RC,,,DARON,DARON,810178510597,810178510597,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,NY9040,FDNY AMBULANCE HELICOPTER W /LIGHTS & SOUND,FDNY AMBULANCE HELICOPTER W /LIGHTS & SOUND,FDNY AMBULANCE HELICOPTER W /LIGHTS & SOUND,FDNY AMBULANCE HELICOPTER W /LIGHTS & SOUND,Vehicles & RC,,,DARON,DARON,810178510603,810178510603,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,NY8826,FDNY 3D WOOD FIRE TRUCK PUZZLE,FDNY 3D WOOD FIRE TRUCK PUZZLE,FDNY 3D WOOD FIRE TRUCK PUZZLE,FDNY 3D WOOD FIRE TRUCK PUZZLE,Vehicles & RC,,,DARON,DARON,810178510610,810178510610,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,PREDATOR DRONE PULLBACK,PREDATOR DRONE PULLBACK,PREDATOR DRONE PULLBACK,PREDATOR DRONE PULLBACK,Vehicles & RC,,,DARON,DARON,817346020957,817346020957,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,BP96243,AIRCRAFT CARRIER,AIRCRAFT CARRIER,AIRCRAFT CARRIER,AIRCRAFT CARRIER,Vehicles & RC,,,DARON,DARON,817346021015,817346021015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DARON #BP96236,THE MILITARY BASE PLAYSET,THE MILITARY BASE PLAYSET,THE MILITARY BASE PLAYSET,THE MILITARY BASE PLAYSET,Vehicles & RC,,,DARON,DARON,817346021022,817346021022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TT61010,DARON PULLBACK ACTION BOSTON AIRPLANE,DARON PULLBACK ACTION BOSTON AIRPLANE,DARON PULLBACK ACTION BOSTON AIRPLANE,DARON PULLBACK ACTION BOSTON AIRPLANE,Vehicles & RC,,,DARON,DARON,817346021428,817346021428,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,DUMP TRUCK,DUMP TRUCK,DUMP TRUCK,DUMP TRUCK,Vehicles & RC,,,DARON,DARON,817346021466,817346021466,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,GW9170,CEMENT MIXER,CEMENT MIXER,CEMENT MIXER,CEMENT MIXER,Vehicles & RC,,,DARON,DARON,817346021473,817346021473,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
