Picture,Number,Name(Zh),Name(En),Name(Es),Name(It),Category,Custom Category,Brand,Custom Brand,UPC Code,Origin(UPC),Description,IPK Code,Origin(IPK),Case Code,Origin(Case),Craft(Zh),Craft(En),Craft(Es),Craft(It),Case Rate,Case Length(ft),Case Width(ft),Case Height(ft),Case Cube(ftÂ³),Case Weight(lb),Layer Rate(Case),Pallet Rate(Case),IPK Rate,IPK Length(ft),IPK Width(ft),IPK Height(ft),IPK Cube(ftÂ³),IPK Weight(lb),Layer Rate(IPK),Pallet Rate(IPK),Dozen Rate,Dozen Length(ft),Dozen Width(ft),Dozen Height(ft),Dozen Cube(ftÂ³),Dozen Weight(lb),Layer Rate(Dozen),Pallet Rate(Dozen),Piece Length(ft),Piece Width(ft),Piece Height(ft),Piece Cube(ftÂ³),Piece Weight(lb),Layer Rate(Piece),Pallet Rate(Piece),Future Sale Manage Rate
,144,"Double Desk Organizer Box, Purple","Double Desk Organizer Box, Purple","Double Desk Organizer Box, Purple","Double Desk Organizer Box, Purple",Others,Backpacks & Pencil Cases,ENDAY,ENDAY,840195601442,840195601442,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,147,"DOUBLE DECK 8"" ORGANIZER BOX (PINK)","DOUBLE DECK 8"" ORGANIZER BOX (PINK)","DOUBLE DECK 8"" ORGANIZER BOX (PINK)","DOUBLE DECK 8"" ORGANIZER BOX (PINK)",Others,Backpacks & Pencil Cases,ENDAY,ENDAY,840195601473,840195601473,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,290,"Double Zipper 3-Ring Pencil Pouch With Mesh Window, Blue","Double Zipper 3-Ring Pencil Pouch With Mesh Window, Blue","Double Zipper 3-Ring Pencil Pouch With Mesh Window, Blue","Double Zipper 3-Ring Pencil Pouch With Mesh Window, Blue",Others,Backpacks & Pencil Cases,ENDAY,ENDAY,840195602906,840195602906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,292,"Double Zipper 3-Ring Pencil Pouch With Mesh Window, Pink","Double Zipper 3-Ring Pencil Pouch With Mesh Window, Pink","Double Zipper 3-Ring Pencil Pouch With Mesh Window, Pink","Double Zipper 3-Ring Pencil Pouch With Mesh Window, Pink",Others,Backpacks & Pencil Cases,ENDAY,ENDAY,840195602920,840195602920,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,294,"Double Zipper 3-Ring Pencil Pouch With Mesh Window, Black","Double Zipper 3-Ring Pencil Pouch With Mesh Window, Black","Double Zipper 3-Ring Pencil Pouch With Mesh Window, Black","Double Zipper 3-Ring Pencil Pouch With Mesh Window, Black",Others,Backpacks & Pencil Cases,ENDAY,ENDAY,840195602944,840195602944,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,456,"Double Zipper 3-Ring Pencil Pouch With Mesh Window, Red","Double Zipper 3-Ring Pencil Pouch With Mesh Window, Red","Double Zipper 3-Ring Pencil Pouch With Mesh Window, Red","Double Zipper 3-Ring Pencil Pouch With Mesh Window, Red",Others,Backpacks & Pencil Cases,ENDAY,ENDAY,840195604566,840195604566,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,pencil case,pencil case,pencil case,pencil case,Others,Backpacks & Pencil Cases,ENDAY,ENDAY,840195606676,840195606676,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,pencil case,pencil case,pencil case,pencil case,Others,Backpacks & Pencil Cases,ENDAY,ENDAY,840195606683,840195606683,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,673,Premium 4 Mechanical Pencil And Lead Tube 0.7 Mm,Premium 4 Mechanical Pencil And Lead Tube 0.7 Mm,Premium 4 Mechanical Pencil And Lead Tube 0.7 Mm,Premium 4 Mechanical Pencil And Lead Tube 0.7 Mm,Others,Backpacks & Pencil Cases,ENDAY,ENDAY,840195606737,840195606737,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,PENCIL CASE,PENCIL CASE,PENCIL CASE,PENCIL CASE,Others,Backpacks & Pencil Cases,ENDAY,ENDAY,840195606881,840195606881,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
