Picture,Number,Name(Zh),Name(En),Name(Es),Name(It),Category,Custom Category,Brand,Custom Brand,UPC Code,Origin(UPC),IPK Code,Origin(IPK),Case Code,Origin(Case),Craft(Zh),Craft(En),Craft(Es),Craft(It),Case Rate,Case Length(ft),Case Width(ft),Case Height(ft),Case Cube(ftÂ³),Case Weight(lb),Layer Rate(Case),Pallet Rate(Case),IPK Rate,IPK Length(ft),IPK Width(ft),IPK Height(ft),IPK Cube(ftÂ³),IPK Weight(lb),Layer Rate(IPK),Pallet Rate(IPK),Dozen Rate,Dozen Length(ft),Dozen Width(ft),Dozen Height(ft),Dozen Cube(ftÂ³),Dozen Weight(lb),Layer Rate(Dozen),Pallet Rate(Dozen),Piece Length(ft),Piece Width(ft),Piece Height(ft),Piece Cube(ftÂ³),Piece Weight(lb),Layer Rate(Piece),Pallet Rate(Piece),Future Sale Manage Rate
,19156,"12"" baby and musical potty","12"" baby and musical potty","12"" baby and musical potty","12"" baby and musical potty",Others,Dolls,Gi-go,Gi-go,93905191560,93905191560,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,19257,"14"" my lil wardrobe","14"" my lil wardrobe","14"" my lil wardrobe","14"" my lil wardrobe",Others,Dolls,Gi-go,Gi-go,93905192574,93905192574,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,20137,"12"" Walker and Doll Set","12"" Walker and Doll Set","12"" Walker and Doll Set","12"" Walker and Doll Set",Others,Dolls,Gi-go,Gi-go,93905201375,93905201375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,20217,"12"" Baby Starter Set","12"" Baby Starter Set","12"" Baby Starter Set","12"" Baby Starter Set",Others,Dolls,Gi-go,Gi-go,93905202174,93905202174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,20605,"My Dream Baby 17"" Soft & Huggable","My Dream Baby 17"" Soft & Huggable","My Dream Baby 17"" Soft & Huggable","My Dream Baby 17"" Soft & Huggable",Others,Dolls,Gi-go,Gi-go,93905206059,93905206059,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,65247,"23"" Doll Stroller","23"" Doll Stroller","23"" Doll Stroller","23"" Doll Stroller",Others,Dolls,Gi-go,Gi-go,93905652474,93905652474,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,80215,"12"" Happy Twins","12"" Happy Twins","12"" Happy Twins","12"" Happy Twins",Others,Dolls,Gi-go,Gi-go,93905802152,93905802152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,20145,Styling Head Play Set,Styling Head Play Set,Styling Head Play Set,Styling Head Play Set,Others,Dolls,Gi-go,Gi-go,93905201450,93905201450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,20302,"12"" I'm So Soft","12"" I'm So Soft","12"" I'm So Soft","12"" I'm So Soft",Others,Dolls,Gi-go,Gi-go,93905203027,93905203027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,20622,"14"" Dream Time Baby","14"" Dream Time Baby","14"" Dream Time Baby","14"" Dream Time Baby",Others,Dolls,Gi-go,Gi-go,93905206226,93905206226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,80128,"14"" Feeding Fun","14"" Feeding Fun","14"" Feeding Fun","14"" Feeding Fun",Others,Dolls,Gi-go,Gi-go,93905801285,93905801285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,80303,"12"" Baby Maggie","12"" Baby Maggie","12"" Baby Maggie","12"" Baby Maggie",Others,Dolls,Gi-go,Gi-go,93905803036,93905803036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,19147,"5-pack 7"" baby happy quints","5-pack 7"" baby happy quints","5-pack 7"" baby happy quints","5-pack 7"" baby happy quints",Others,Dolls,Gi-go,Gi-go,93905191478,93905191478,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,20129,"12"" Baby with Bib and Bottle","12"" Baby with Bib and Bottle","12"" Baby with Bib and Bottle","12"" Baby with Bib and Bottle",Others,Dolls,Gi-go,Gi-go,93905201290,93905201290,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,20211,"My Dream Baby 16"" New Born Deluxe set","My Dream Baby 16"" New Born Deluxe set","My Dream Baby 16"" New Born Deluxe set","My Dream Baby 16"" New Born Deluxe set",Others,Dolls,Gi-go,Gi-go,93905202112,93905202112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,20416,"10"" Water Squirting Doll with Vinyl Pet","10"" Water Squirting Doll with Vinyl Pet","10"" Water Squirting Doll with Vinyl Pet","10"" Water Squirting Doll with Vinyl Pet",Others,Dolls,Gi-go,Gi-go,93905204161,93905204161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,80138,"7"" 3pack Baby Happy Triplets (AA)","7"" 3pack Baby Happy Triplets (AA)","7"" 3pack Baby Happy Triplets (AA)","7"" 3pack Baby Happy Triplets (AA)",Others,Dolls,Gi-go,Gi-go,93905801384,93905801384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,80505,"16"" Best Friends","16"" Best Friends","16"" Best Friends","16"" Best Friends",Others,Dolls,Gi-go,Gi-go,93905805054,93905805054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,19157,styling head playset,styling head playset,styling head playset,styling head playset,Others,Dolls,Gi-go,Gi-go,93905191577,93905191577,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,20138,"7"" 3pack Baby Happy Triplets","7"" 3pack Baby Happy Triplets","7"" 3pack Baby Happy Triplets","7"" 3pack Baby Happy Triplets",Others,Dolls,Gi-go,Gi-go,93905201382,93905201382,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
