Picture,Number,Name(Zh),Name(En),Name(Es),Name(It),Category,Custom Category,Brand,Custom Brand,UPC Code,Origin(UPC),Description,IPK Code,Origin(IPK),Case Code,Origin(Case),Craft(Zh),Craft(En),Craft(Es),Craft(It),Case Rate,Case Length(ft),Case Width(ft),Case Height(ft),Case Cube(ftÂ³),Case Weight(lb),Layer Rate(Case),Pallet Rate(Case),IPK Rate,IPK Length(ft),IPK Width(ft),IPK Height(ft),IPK Cube(ftÂ³),IPK Weight(lb),Layer Rate(IPK),Pallet Rate(IPK),Dozen Rate,Dozen Length(ft),Dozen Width(ft),Dozen Height(ft),Dozen Cube(ftÂ³),Dozen Weight(lb),Layer Rate(Dozen),Pallet Rate(Dozen),Piece Length(ft),Piece Width(ft),Piece Height(ft),Piece Cube(ftÂ³),Piece Weight(lb),Layer Rate(Piece),Pallet Rate(Piece),Future Sale Manage Rate
,4111,SHOOTER PLAYSET,SHOOTER PLAYSET,SHOOTER PLAYSET,SHOOTER PLAYSET,Others,$1.29 Prizes,GoPlay,GoPlay,786138702633,786138702633,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4109,PINBALL ARCADE GO PLAY,PINBALL ARCADE GO PLAY,PINBALL ARCADE GO PLAY,PINBALL ARCADE GO PLAY,Others,$1.29 Prizes,GoPlay,GoPlay,786138702619,786138702619,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4105,BALL GUN,BALL GUN,BALL GUN,BALL GUN,Others,$1.29 Prizes,GoPlay,GoPlay,786138702572,786138702572,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4113,BRAIN TEASERS,BRAIN TEASERS,BRAIN TEASERS,BRAIN TEASERS,Others,$1.29 Prizes,GoPlay,GoPlay,786138702657,786138702657,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4115,MICRO BRICK GAME,MICRO BRICK GAME,MICRO BRICK GAME,MICRO BRICK GAME,Others,Electronic Games,GoPlay,GoPlay,786138702671,786138702671,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4110,FLYING UFO,FLYING UFO,FLYING UFO,FLYING UFO,Others,$1.29 Prizes,GoPlay,GoPlay,786138702626,786138702626,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4108,BINOCULARS,BINOCULARS,BINOCULARS,BINOCULARS,Others,$1.29 Prizes,GoPlay,GoPlay,786138702602,786138702602,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4127,Flute,Flute,Flute,Flute,Others,Electronic Games,GoPlay,GoPlay,786138709199,786138709199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4128,Flute 3Pk,Flute 3Pk,Flute 3Pk,Flute 3Pk,Others,Electronic Games,GoPlay,GoPlay,786138709205,786138709205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4129,Saxophone,Saxophone,Saxophone,Saxophone,Others,Electronic Games,GoPlay,GoPlay,786138709212,786138709212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
