Picture,Number,Name(Zh),Name(En),Name(Es),Name(It),Category,Department,Custom Category,Brand,Custom Brand,UPC Code,Origin(UPC),Description,IPK Code,Origin(IPK),Case Code,Origin(Case),Craft(Zh),Craft(En),Craft(Es),Craft(It),Case Rate,Case Length(ft),Case Width(ft),Case Height(ft),Case Cube(ft³),Case Weight(lb),Layer Rate(Case),Pallet Rate(Case),IPK Rate,IPK Length(ft),IPK Width(ft),IPK Height(ft),IPK Cube(ft³),IPK Weight(lb),Layer Rate(IPK),Pallet Rate(IPK),Dozen Rate,Dozen Length(ft),Dozen Width(ft),Dozen Height(ft),Dozen Cube(ft³),Dozen Weight(lb),Layer Rate(Dozen),Pallet Rate(Dozen),Piece Length(ft),Piece Width(ft),Piece Height(ft),Piece Cube(ft³),Piece Weight(lb),Layer Rate(Piece),Pallet Rate(Piece),Future Sale Manage Rate
,KB71021SA,REUSABLE STICKERS,REUSABLE STICKERS,REUSABLE STICKERS,REUSABLE STICKERS,Others,Arts & Crafts,Judaica Crafts,Kinder Blast,Kinder Blast,602401930384,602401930384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KB-SEW-SBS,Shabbos Sew Fun,Shabbos Sew Fun,Shabbos Sew Fun,Shabbos Sew Fun,Others,Arts & Crafts,Judaica Crafts,Kinder Blast,Kinder Blast,760354962187,760354962187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KB-SPS-SHV,Shivas Haminim Sticker Puzzle Set,Shivas Haminim Sticker Puzzle Set,Shivas Haminim Sticker Puzzle Set,Shivas Haminim Sticker Puzzle Set,Others,Arts & Crafts,Judaica Crafts,Kinder Blast,Kinder Blast,760354962262,760354962262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KB-SUK-05,Sukkah Chain Scratch Art,Sukkah Chain Scratch Art,Sukkah Chain Scratch Art,Sukkah Chain Scratch Art,Others,Arts & Crafts,Judaica Crafts,Kinder Blast,Kinder Blast,789185754112,789185754112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KB-AB-F3D,Alef Beis 3D Foam Art,Alef Beis 3D Foam Art,Alef Beis 3D Foam Art,Alef Beis 3D Foam Art,Others,Arts & Crafts,Judaica Crafts,Kinder Blast,Kinder Blast,789185754686,789185754686,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KB-SMZ-SHBS,Shabbos,Shabbos,Shabbos,Shabbos,Others,Arts & Crafts,Judaica Crafts,Kinder Blast,Kinder Blast,789185754778,789185754778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KB-SUK-02,Sukkos Scratch Card,Sukkos Scratch Card,Sukkos Scratch Card,Sukkos Scratch Card,Others,Arts & Crafts,Judaica Crafts,Kinder Blast,Kinder Blast,789185754877,789185754877,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KB-JMB-01,Ner Hashem Jumbo Sticker Puzzle,Ner Hashem Jumbo Sticker Puzzle,Ner Hashem Jumbo Sticker Puzzle,Ner Hashem Jumbo Sticker Puzzle,Others,Arts & Crafts,Judaica Crafts,Kinder Blast,Kinder Blast,789185754037,789185754037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KB-SUK-03,Sukkos Stencil Art Poster,Sukkos Stencil Art Poster,Sukkos Stencil Art Poster,Sukkos Stencil Art Poster,Others,Arts & Crafts,Judaica Crafts,Kinder Blast,Kinder Blast,789185754136,789185754136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KB-JCB-SBS,Shabbos Jumbo Coloring Book,Shabbos Jumbo Coloring Book,Shabbos Jumbo Coloring Book,Shabbos Jumbo Coloring Book,Others,Arts & Crafts,Judaica Crafts,Kinder Blast,Kinder Blast,789185754334,789185754334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KB-COLB-03,Pesach Coloring Book,Pesach Coloring Book,Pesach Coloring Book,Pesach Coloring Book,Others,Arts & Crafts,Judaica Crafts,Kinder Blast,Kinder Blast,789185754426,789185754426,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KB-SMZ-TOR,Torah,Torah,Torah,Torah,Others,Arts & Crafts,Judaica Crafts,Kinder Blast,Kinder Blast,789185754785,789185754785,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KB-SUK-14,Stencil Art Small,Stencil Art Small,Stencil Art Small,Stencil Art Small,Others,Arts & Crafts,Judaica Crafts,Kinder Blast,Kinder Blast,789185754884,789185754884,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KB-PWW-SBS,Shabbos Paint with Water,Shabbos Paint with Water,Shabbos Paint with Water,Shabbos Paint with Water,Others,Arts & Crafts,Judaica Crafts,Kinder Blast,Kinder Blast,11318710024,11318710024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
