Picture,Number,Name(Zh),Name(En),Name(Es),Name(It),Department,Category,Custom Category,Brand,Custom Brand,UPC Code,Origin(UPC),Description,IPK Code,Origin(IPK),Case Code,Origin(Case),Craft(Zh),Craft(En),Craft(Es),Craft(It),Case Rate,Case Length(ft),Case Width(ft),Case Height(ft),Case Cube(ft³),Case Weight(lb),Layer Rate(Case),Pallet Rate(Case),IPK Rate,IPK Length(ft),IPK Width(ft),IPK Height(ft),IPK Cube(ft³),IPK Weight(lb),Layer Rate(IPK),Pallet Rate(IPK),Dozen Rate,Dozen Length(ft),Dozen Width(ft),Dozen Height(ft),Dozen Cube(ft³),Dozen Weight(lb),Layer Rate(Dozen),Pallet Rate(Dozen),Piece Length(ft),Piece Width(ft),Piece Height(ft),Piece Cube(ft³),Piece Weight(lb),Layer Rate(Piece),Pallet Rate(Piece),Future Sale Manage Rate
https://www.chazakkinder.com/cdn/shop/files/CK036_400x.jpg?v=1730998015,CK036,KINDER SHPIEL STAMPS,KINDER SHPIEL STAMPS,KINDER SHPIEL STAMPS,KINDER SHPIEL STAMPS,Arts & Crafts,Judaica Crafts,,Kinder Shpiel,Kinder Shpiel,696168620442,696168620442,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://toys4you-fcpos.s3.us-east-2.amazonaws.com/HznJrBuhLqWTYyCx_9k_4c190e94-a2e1-4485-b4f6-a0d885952916.jpg,CK024,MY FIRST MUSIC PLAYER,MY FIRST MUSIC PLAYER,MY FIRST MUSIC PLAYER,MY FIRST MUSIC PLAYER,Baby & Toddler Toys,Judaica Books,,Kinder Shpiel,Kinder Shpiel,731716158609,731716158609,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://toys4you-fcpos.s3.us-east-2.amazonaws.com/iGSV0hq4pzWgCgX_2Q_21eb7c5f-0e4e-46e0-be94-7786032c8e01.jpg,CK030,Family Puppet set,Family Puppet set,Family Puppet set,Family Puppet set,Baby & Toddler Toys,Puppet,,Kinder Shpiel,Kinder Shpiel,696168620329,696168620329,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://s3.us-east-2.amazonaws.com/cdn.platform.capitalc.co/media/139591/conversions/4_d4a398a0-fb57-4efb-87fe-7d8de76f44a6_800x-large.jpg,8627,Titanic vol. 4,Titanic vol. 4,Titanic vol. 4,Titanic vol. 4,Books,Judaica Books,,Kinder Shpiel,Kinder Shpiel,9781680919387,9781680919387,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://toys4you-fcpos.s3.us-east-2.amazonaws.com/AAAAAAAAAAAAAAAf_9k_69d1464c-96a4-4a97-af79-549e9b88d74e.jpg,8640,Eizerne Finken,Eizerne Finken,Eizerne Finken,Eizerne Finken,Books,Judaica Books,,Kinder Shpiel,Kinder Shpiel,9781680919554,9781680919554,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://toys4you-fcpos.s3.us-east-2.amazonaws.com/AHoBTBjJ5gtlUf2if_Z_26af1942-3967-410e-abf4-92b6cb44b433.jpg,8652,de forsher- novel #1,de forsher- novel #1,de forsher- novel #1,de forsher- novel #1,Books,Judaica Books,,Kinder Shpiel,Kinder Shpiel,9781680919486,9781680919486,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://toys4you-fcpos.s3.us-east-2.amazonaws.com/cngOAU4rD0AKgD_2Q_43e1dd42-b442-40cc-984c-3daf49268e01.jpg,8679,BildShpiel Chodesh Tishrei,BildShpiel Chodesh Tishrei,BildShpiel Chodesh Tishrei,BildShpiel Chodesh Tishrei,Books,Judaica Books,,Kinder Shpiel,Kinder Shpiel,9781680919929,9781680919929,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://toys4you-fcpos.s3.us-east-2.amazonaws.com/FEqiiVRRKoolUUX_2Q_53d22248-859a-4a99-9146-2c46464d8101.jpg,8668,"Yitzy, Pitzy, In Tzippy #5","Yitzy, Pitzy, In Tzippy #5","Yitzy, Pitzy, In Tzippy #5","Yitzy, Pitzy, In Tzippy #5",Books,Judaica Books,,Kinder Shpiel,Kinder Shpiel,9781680919769,9781680919769,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://toys4you-fcpos.s3.us-east-2.amazonaws.com/iooKeqqle0ISoQv_2Q_a61facdc-5d89-41f5-a56b-4a5590fbd985.jpg,8636,a conspiratzia in shtetel,a conspiratzia in shtetel,a conspiratzia in shtetel,a conspiratzia in shtetel,Books,Judaica Books,,Kinder Shpiel,Kinder Shpiel,9781680919820,9781680919820,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://toys4you-fcpos.s3.us-east-2.amazonaws.com/UiEpSAAANgALAUK5f_Z_03c523cc-1421-4ab3-ace0-fa0d63ea6fd6.jpg,8639,Der Shturemisher Farmest,Der Shturemisher Farmest,Der Shturemisher Farmest,Der Shturemisher Farmest,Books,Judaica Books,,Kinder Shpiel,Kinder Shpiel,9781680919899,9781680919899,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
