Picture,Number,Name(Zh),Name(En),Name(Es),Name(It),Department,Category,Custom Category,Brand,Custom Brand,UPC Code,Origin(UPC),Description,IPK Code,Origin(IPK),Case Code,Origin(Case),Craft(Zh),Craft(En),Craft(Es),Craft(It),Case Rate,Case Length(ft),Case Width(ft),Case Height(ft),Case Cube(ft³),Case Weight(lb),Layer Rate(Case),Pallet Rate(Case),IPK Rate,IPK Length(ft),IPK Width(ft),IPK Height(ft),IPK Cube(ft³),IPK Weight(lb),Layer Rate(IPK),Pallet Rate(IPK),Dozen Rate,Dozen Length(ft),Dozen Width(ft),Dozen Height(ft),Dozen Cube(ft³),Dozen Weight(lb),Layer Rate(Dozen),Pallet Rate(Dozen),Piece Length(ft),Piece Width(ft),Piece Height(ft),Piece Cube(ft³),Piece Weight(lb),Layer Rate(Piece),Pallet Rate(Piece),Future Sale Manage Rate
https://cdn.powered-by-nitrosell.com/product_images/11/2547/Kindervelt%20Bed%20time%20English.jpeg,KV240,Bedtime with the Kinder Velt English Story Book,Bedtime with the Kinder Velt English Story Book,Bedtime with the Kinder Velt English Story Book,Bedtime with the Kinder Velt English Story Book,Books,others,Judaica Books,Kindervelt,Kindervelt,9798885863223,9798885863223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTRY4T2NIm2Qk-ljeRCZF6p1brxAGfZ5rI4wA&s,KV223,KINDER VELT EMUNAH BOOK (ENGLISH),KINDER VELT EMUNAH BOOK (ENGLISH),KINDER VELT EMUNAH BOOK (ENGLISH),KINDER VELT EMUNAH BOOK (ENGLISH),Books,others,Judaica Books,Kindervelt,Kindervelt,99798885861533,99798885861533,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://m.media-amazon.com/images/I/51Hba71OfHL._SY342_.jpg,KV224,KINDER VELT EMUNAH ENGLISH BOOK,KINDER VELT EMUNAH ENGLISH BOOK,KINDER VELT EMUNAH ENGLISH BOOK,KINDER VELT EMUNAH ENGLISH BOOK,Books,others,Judaica Books,Kindervelt,Kindervelt,9798885861540,9798885861540,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://toys4you-fcpos.s3.us-east-2.amazonaws.com/FAFAFAYoDNAFAFAf_9k_0d3149ef-3c75-4ca2-904d-dc992804d747.jpg,KV221,Kindervelt Mitzvos Book Yiddish+CD,Kindervelt Mitzvos Book Yiddish+CD,Kindervelt Mitzvos Book Yiddish+CD,Kindervelt Mitzvos Book Yiddish+CD,Books,others,Judaica Books,Kindervelt,Kindervelt,9798885860253,9798885860253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.chazakkinder.com/cdn/shop/files/KV223_400x.png?v=1698953038,KV223,Emunah with the Kindervelt Storybook & CD- Yiddish,Emunah with the Kindervelt Storybook & CD- Yiddish,Emunah with the Kindervelt Storybook & CD- Yiddish,Emunah with the Kindervelt Storybook & CD- Yiddish,Books,others,Judaica Books,Kindervelt,Kindervelt,9798885861533,9798885861533,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.chazakkinder.com/cdn/shop/files/kv226_400x.jpg?v=1735056701,KV226,Kindervelt Brochos Book English,Kindervelt Brochos Book English,Kindervelt Brochos Book English,Kindervelt Brochos Book English,Books,others,Judaica Books,Kindervelt,Kindervelt,9798885862417,9798885862417,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.chazakkinder.com/cdn/shop/files/kvbb05_400x.png?v=1717704709,KVbb05,Kindervelt BB #5- Shloimy Geit in Cheder,Kindervelt BB #5- Shloimy Geit in Cheder,Kindervelt BB #5- Shloimy Geit in Cheder,Kindervelt BB #5- Shloimy Geit in Cheder,Books,others,Judaica Books,Kindervelt,Kindervelt,9798885861229,9798885861229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.chazakkinder.com/cdn/shop/files/kvbb07_400x.png?v=1717704709,KVbb07,Kindervelt BB #7- Shloimy and Esty Rosh Hashana- Yom Kippur,Kindervelt BB #7- Shloimy and Esty Rosh Hashana- Yom Kippur,Kindervelt BB #7- Shloimy and Esty Rosh Hashana- Yom Kippur,Kindervelt BB #7- Shloimy and Esty Rosh Hashana- Yom Kippur,Books,others,Judaica Books,Kindervelt,Kindervelt,9798885860987,9798885860987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.chazakkinder.com/cdn/shop/files/kvbb08_1_400x.png?v=1717704709,KVbb08,Kindervelt BB #8- Shloimy and Esty Yom Tov Sukkos,Kindervelt BB #8- Shloimy and Esty Yom Tov Sukkos,Kindervelt BB #8- Shloimy and Esty Yom Tov Sukkos,Kindervelt BB #8- Shloimy and Esty Yom Tov Sukkos,Books,others,Judaica Books,Kindervelt,Kindervelt,9798885861021,9798885861021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.chazakkinder.com/cdn/shop/files/KVBB10_dc9208db-d7cb-4781-9a22-4b304452c303_400x.png?v=1744217088,KVBB10,Kindervelt BB #10 - Shloimy and Esty Huben Lib Chanukah,Kindervelt BB #10 - Shloimy and Esty Huben Lib Chanukah,Kindervelt BB #10 - Shloimy and Esty Huben Lib Chanukah,Kindervelt BB #10 - Shloimy and Esty Huben Lib Chanukah,Books,others,Judaica Books,Kindervelt,Kindervelt,9798885861601,9798885861601,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.chazakkinder.com/cdn/shop/files/mitzvahenglishmockup_400x.jpg?v=1684332693,KV222,My Big Mitzvos Book,My Big Mitzvos Book,My Big Mitzvos Book,My Big Mitzvos Book,Books,others,Judaica Books,Kindervelt,Kindervelt,9798885860550,9798885860550,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.chazakkinder.com/cdn/shop/files/WhatsApp_Image_2025-04-09_at_12.18.34_PM_1_400x.jpg?v=1744217088,kvbb21,shloimy & esty go to a wedding,shloimy & esty go to a wedding,shloimy & esty go to a wedding,shloimy & esty go to a wedding,Books,others,Judaica Books,Kindervelt,Kindervelt,9798885862448,9798885862448,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.chazakkinder.com/cdn/shop/files/WhatsAppImage2024-12-03at10.08.25_9a16559b_400x.jpg?v=1733259839,KV225,Kindervelt Brochos Book Yiddish,Kindervelt Brochos Book Yiddish,Kindervelt Brochos Book Yiddish,Kindervelt Brochos Book Yiddish,Books,others,Judaica Books,Kindervelt,Kindervelt,9798885862400,9798885862400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.chazakkinder.com/cdn/shop/files/WhatsAppImage2025-01-30at10.18.20_0148b6c8_400x.jpg?v=1744217088,KVBB19,Kindervelt BB #19- Shloimy and Esty Bazichen Bobby And Zeidy,Kindervelt BB #19- Shloimy and Esty Bazichen Bobby And Zeidy,Kindervelt BB #19- Shloimy and Esty Bazichen Bobby And Zeidy,Kindervelt BB #19- Shloimy and Esty Bazichen Bobby And Zeidy,Books,others,Judaica Books,Kindervelt,Kindervelt,9798885862370,9798885862370,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.chazakkinder.com/cdn/shop/files/WhatsAppImage2025-01-30at10.18.29_444b3ba9_400x.jpg?v=1744217088,KVBB20,Kindervelt BB #20- Shloimy and Esty Gein Tzim Dentist,Kindervelt BB #20- Shloimy and Esty Gein Tzim Dentist,Kindervelt BB #20- Shloimy and Esty Gein Tzim Dentist,Kindervelt BB #20- Shloimy and Esty Gein Tzim Dentist,Books,others,Judaica Books,Kindervelt,Kindervelt,9798885862363,9798885862363,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.chazakkinder.com/cdn/shop/files/WhatsAppImage2025-04-09at12.18.33PM_400x.jpg?v=1744217088,KVBB22,Shloime & Esty Greiten Zich Tzim Shabbos,Shloime & Esty Greiten Zich Tzim Shabbos,Shloime & Esty Greiten Zich Tzim Shabbos,Shloime & Esty Greiten Zich Tzim Shabbos,Books,others,Judaica Books,Kindervelt,Kindervelt,9798885862462,9798885862462,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.chazakkinder.com/cdn/shop/files/WhatsAppImage2025-08-28at12.29.27_c8c500ba_400x.jpg?v=1758205692,KVBB25,Kindervelt bb #25 Gein Kofen Shoes,Kindervelt bb #25 Gein Kofen Shoes,Kindervelt bb #25 Gein Kofen Shoes,Kindervelt bb #25 Gein Kofen Shoes,Books,others,Judaica Books,Kindervelt,Kindervelt,9798885863162,9798885863162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.chazakkinder.com/cdn/shop/files/WhatsAppImage2025-08-28at14.29.26_d122f43d_400x.jpg?v=1758205689,KVBB24,Kindervelt bb #24 Shloimy is Shabbos Totty,Kindervelt bb #24 Shloimy is Shabbos Totty,Kindervelt bb #24 Shloimy is Shabbos Totty,Kindervelt bb #24 Shloimy is Shabbos Totty,Books,others,Judaica Books,Kindervelt,Kindervelt,9798885863155,9798885863155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.chazakkinder.com/cdn/shop/files/WhatsAppImage2025-08-28at14.29.29_99c723d2_400x.jpg?v=1758205687,KVBB23,Kindervelt bb #23 Esty is Shabbos Mommy,Kindervelt bb #23 Esty is Shabbos Mommy,Kindervelt bb #23 Esty is Shabbos Mommy,Kindervelt bb #23 Esty is Shabbos Mommy,Books,others,Judaica Books,Kindervelt,Kindervelt,9798885863148,9798885863148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.chazakkinder.com/cdn/shop/files/WhatsAppImage2025-11-24at1.22.45PM_400x.jpg?v=1764008635,KV239,Kindervelt Gita Nacht Book,Kindervelt Gita Nacht Book,Kindervelt Gita Nacht Book,Kindervelt Gita Nacht Book,Books,others,Judaica Books,Kindervelt,Kindervelt,9798885863179,9798885863179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.chazakkinder.com/cdn/shop/products/KinderveltShabbosYiddish_400x.jpg?v=1646763591,KV214,Shabbos with the Kindervelt Storybook & CD- Yiddish,Shabbos with the Kindervelt Storybook & CD- Yiddish,Shabbos with the Kindervelt Storybook & CD- Yiddish,Shabbos with the Kindervelt Storybook & CD- Yiddish,Books,others,Judaica Books,Kindervelt,Kindervelt,9781950793884,9781950793884,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.chazakkinder.com/cdn/shop/products/kinderveltyomtovbook_400x.jpg?v=1646763801,KV209,Kindervelt Yom Tov CD With Book - Yiddish,Kindervelt Yom Tov CD With Book - Yiddish,Kindervelt Yom Tov CD With Book - Yiddish,Kindervelt Yom Tov CD With Book - Yiddish,Books,others,Judaica Books,Kindervelt,Kindervelt,9781950793679,9781950793679,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
