Picture,Number,Name(Zh),Name(En),Name(Es),Name(It),Category,Custom Category,Brand,Custom Brand,UPC Code,Origin(UPC),Description,IPK Code,Origin(IPK),Case Code,Origin(Case),Craft(Zh),Craft(En),Craft(Es),Craft(It),Case Rate,Case Length(ft),Case Width(ft),Case Height(ft),Case Cube(ftÂ³),Case Weight(lb),Layer Rate(Case),Pallet Rate(Case),IPK Rate,IPK Length(ft),IPK Width(ft),IPK Height(ft),IPK Cube(ftÂ³),IPK Weight(lb),Layer Rate(IPK),Pallet Rate(IPK),Dozen Rate,Dozen Length(ft),Dozen Width(ft),Dozen Height(ft),Dozen Cube(ftÂ³),Dozen Weight(lb),Layer Rate(Dozen),Pallet Rate(Dozen),Piece Length(ft),Piece Width(ft),Piece Height(ft),Piece Cube(ftÂ³),Piece Weight(lb),Layer Rate(Piece),Pallet Rate(Piece),Future Sale Manage Rate
,RSW,Reusable Stickers Winter,Reusable Stickers Winter,Reusable Stickers Winter,Reusable Stickers Winter,Others,Activity & Educational Books,Lchaim,Lchaim,9798893260595,9798893260595,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,SHPIR IN FORSHTEI,SHPIR IN FORSHTEI,SHPIR IN FORSHTEI,SHPIR IN FORSHTEI,Others,Activity & Educational Books,Lchaim,Lchaim,9798893261080,9798893261080,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Touch and Learn,Touch and Learn,Touch and Learn,Touch and Learn,Others,Activity & Educational Books,Lchaim,Lchaim,9798893261097,9798893261097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,BKIK2,Cookbook Kinder In Koch Mit Geshmak,Cookbook Kinder In Koch Mit Geshmak,Cookbook Kinder In Koch Mit Geshmak,Cookbook Kinder In Koch Mit Geshmak,Others,Adult Books,Lchaim,Lchaim,9798893261776,9798893261776,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,BLB2,Cookbook Little Bakers Big Results,Cookbook Little Bakers Big Results,Cookbook Little Bakers Big Results,Cookbook Little Bakers Big Results,Others,Adult Books,Lchaim,Lchaim,9798893261783,9798893261783,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,BLB,Cookbook- Little Bakers Big Results,Cookbook- Little Bakers Big Results,Cookbook- Little Bakers Big Results,Cookbook- Little Bakers Big Results,Others,Adult Books,Lchaim,Lchaim,9798893260441,9798893260441,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,BMSF,English Book Shimmy Hosts A Friend,English Book Shimmy Hosts A Friend,English Book Shimmy Hosts A Friend,English Book Shimmy Hosts A Friend,Others,Judaica Books,Lchaim,Lchaim,9798893262902,9798893262902,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,IN INKVIZITZIA KEITEN,IN INKVIZITZIA KEITEN,IN INKVIZITZIA KEITEN,IN INKVIZITZIA KEITEN,Others,Judaica Books,Lchaim,Lchaim,9798893260267,9798893260267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,BSSH,Shtrolnda Shtriken,Shtrolnda Shtriken,Shtrolnda Shtriken,Shtrolnda Shtriken,Others,Judaica Books,Lchaim,Lchaim,9798893260410,9798893260410,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,BMRB,Book Moishy And Riki Go Boating,Book Moishy And Riki Go Boating,Book Moishy And Riki Go Boating,Book Moishy And Riki Go Boating,Others,Judaica Books,Lchaim,Lchaim,9798893262629,9798893262629,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,BMSH,Book Molly Stays Home,Book Molly Stays Home,Book Molly Stays Home,Book Molly Stays Home,Others,Judaica Books,Lchaim,Lchaim,9798893262612,9798893262612,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
