Picture,Number,Name(Zh),Name(En),Name(Es),Name(It),Department,Category,Custom Category,Brand,Custom Brand,UPC Code,Origin(UPC),Description,IPK Code,Origin(IPK),Case Code,Origin(Case),Craft(Zh),Craft(En),Craft(Es),Craft(It),Case Rate,Case Length(ft),Case Width(ft),Case Height(ft),Case Cube(ft³),Case Weight(lb),Layer Rate(Case),Pallet Rate(Case),IPK Rate,IPK Length(ft),IPK Width(ft),IPK Height(ft),IPK Cube(ft³),IPK Weight(lb),Layer Rate(IPK),Pallet Rate(IPK),Dozen Rate,Dozen Length(ft),Dozen Width(ft),Dozen Height(ft),Dozen Cube(ft³),Dozen Weight(lb),Layer Rate(Dozen),Pallet Rate(Dozen),Piece Length(ft),Piece Width(ft),Piece Height(ft),Piece Cube(ft³),Piece Weight(lb),Layer Rate(Piece),Pallet Rate(Piece),Future Sale Manage Rate
,,ERASER PEN,ERASER PEN,ERASER PEN,ERASER PEN,School Supplies,,Pens,Pilot,Pilot,497,497,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,PILOT PEN P-500,PILOT PEN P-500,PILOT PEN P-500,PILOT PEN P-500,School Supplies,,Pens,Pilot,Pilot,500,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,BOX PENS,BOX PENS,BOX PENS,BOX PENS,School Supplies,,,BIC,BIC,7033020119,7033020119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,90530,five star/mead 1 pocket folder,five star/mead 1 pocket folder,five star/mead 1 pocket folder,five star/mead 1 pocket folder,School Supplies,,School Supplies,Mead,Mead,38576905306,38576905306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Five star 3 subject wide rule,Five star 3 subject wide rule,Five star 3 subject wide rule,Five star 3 subject wide rule,School Supplies,,,Mead,Mead,43100042099,43100042099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,70 SHEET WIDE RULED SPIRAL,70 SHEET WIDE RULED SPIRAL,70 SHEET WIDE RULED SPIRAL,70 SHEET WIDE RULED SPIRAL,School Supplies,,,Mead,Mead,43100044215,43100044215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,#05206,WIDE RULED NOTEBOOK,WIDE RULED NOTEBOOK,WIDE RULED NOTEBOOK,WIDE RULED NOTEBOOK,School Supplies,,,Mead,Mead,43100052067,43100052067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MD05512,1 Subject Spiral Notebbook 70 Sheets,1 Subject Spiral Notebbook 70 Sheets,1 Subject Spiral Notebbook 70 Sheets,1 Subject Spiral Notebbook 70 Sheets,School Supplies,,Folders-Dividers,Mead,Mead,43100055129,43100055129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,#04323,MEAD 3 SUBJECT WIDE,MEAD 3 SUBJECT WIDE,MEAD 3 SUBJECT WIDE,MEAD 3 SUBJECT WIDE,School Supplies,,,Mead,Mead,43100056379,43100056379,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5 wide ruled notebook,5 wide ruled notebook,5 wide ruled notebook,5 wide ruled notebook,School Supplies,,,Mead,Mead,43100056522,43100056522,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,#05748,3 SUB COLLEGE RULED SPIRAL,3 SUB COLLEGE RULED SPIRAL,3 SUB COLLEGE RULED SPIRAL,3 SUB COLLEGE RULED SPIRAL,School Supplies,,Folders-Dividers,Mead,Mead,43100057482,43100057482,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,five star 5 subject college ruled,five star 5 subject college ruled,five star 5 subject college ruled,five star 5 subject college ruled,School Supplies,,,Mead,Mead,43100061120,43100061120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,college ruled notebook,college ruled notebook,college ruled notebook,college ruled notebook,School Supplies,,,Mead,Mead,43100061885,43100061885,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MD06206,1 COLLEGE RULED NOTEBOOK 100 SHEETS,1 COLLEGE RULED NOTEBOOK 100 SHEETS,1 COLLEGE RULED NOTEBOOK 100 SHEETS,1 COLLEGE RULED NOTEBOOK 100 SHEETS,School Supplies,,NOTEBOOK,Mead,Mead,43100062066,43100062066,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,COLLEGE RULED 70 PAGES NOTEBOOK,COLLEGE RULED 70 PAGES NOTEBOOK,COLLEGE RULED 70 PAGES NOTEBOOK,COLLEGE RULED 70 PAGES NOTEBOOK,School Supplies,,,Mead,Mead,43100073345,43100073345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,college ruled 70 pages,college ruled 70 pages,college ruled 70 pages,college ruled 70 pages,School Supplies,,,Mead,Mead,43100073383,43100073383,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,spirel notebook wide ruled 70 sheets,spirel notebook wide ruled 70 sheets,spirel notebook wide ruled 70 sheets,spirel notebook wide ruled 70 sheets,School Supplies,,School Supplies,Mead,Mead,43100073406,43100073406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,COLLEGE RULED 70 PAGES NOTEBOOK,COLLEGE RULED 70 PAGES NOTEBOOK,COLLEGE RULED 70 PAGES NOTEBOOK,COLLEGE RULED 70 PAGES NOTEBOOK,School Supplies,,,Mead,Mead,43100073468,43100073468,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,college ruled 70 sheet,college ruled 70 sheet,college ruled 70 sheet,college ruled 70 sheet,School Supplies,,,Mead,Mead,43100073505,43100073505,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,spirel noebook wide ruled 70 sheets,spirel noebook wide ruled 70 sheets,spirel noebook wide ruled 70 sheets,spirel noebook wide ruled 70 sheets,School Supplies,,School Supplies,Mead,Mead,43100073543,43100073543,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,College ruled 70 sheet,College ruled 70 sheet,College ruled 70 sheet,College ruled 70 sheet,School Supplies,,,Mead,Mead,43100073567,43100073567,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,college ruled 70 seet,college ruled 70 seet,college ruled 70 seet,college ruled 70 seet,School Supplies,,,Mead,Mead,43100073604,43100073604,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,wide ruled notebook 70 sheets,wide ruled notebook 70 sheets,wide ruled notebook 70 sheets,wide ruled notebook 70 sheets,School Supplies,,School Supplies,Mead,Mead,43100073642,43100073642,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,WIDE RULED NOTE BOOK 70 SHEETS,WIDE RULED NOTE BOOK 70 SHEETS,WIDE RULED NOTE BOOK 70 SHEETS,WIDE RULED NOTE BOOK 70 SHEETS,School Supplies,,School Supplies,Mead,Mead,43100073680,43100073680,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,WIDE RULED NOTEBOOK 70 SHEET,WIDE RULED NOTEBOOK 70 SHEET,WIDE RULED NOTEBOOK 70 SHEET,WIDE RULED NOTEBOOK 70 SHEET,School Supplies,,School Supplies,Mead,Mead,43100073741,43100073741,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,COLLEGE RULED NOTEBOOK 70 SHEETS,COLLEGE RULED NOTEBOOK 70 SHEETS,COLLEGE RULED NOTEBOOK 70 SHEETS,COLLEGE RULED NOTEBOOK 70 SHEETS,School Supplies,,,Mead,Mead,43100073864,43100073864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,WIDE RULED NOTEBOOK 70 SHEET,WIDE RULED NOTEBOOK 70 SHEET,WIDE RULED NOTEBOOK 70 SHEET,WIDE RULED NOTEBOOK 70 SHEET,School Supplies,,,Mead,Mead,43100073888,43100073888,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,WIDE RULED NOTEBOOK 70 SHEETS,WIDE RULED NOTEBOOK 70 SHEETS,WIDE RULED NOTEBOOK 70 SHEETS,WIDE RULED NOTEBOOK 70 SHEETS,School Supplies,,,Mead,Mead,43100073956,43100073956,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,WIDE RULUD NOTEBOOK 70 SHEET,WIDE RULUD NOTEBOOK 70 SHEET,WIDE RULUD NOTEBOOK 70 SHEET,WIDE RULUD NOTEBOOK 70 SHEET,School Supplies,,School Supplies,Mead,Mead,43100074007,43100074007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1 sUBJECT sPIRAL,1 sUBJECT sPIRAL,1 sUBJECT sPIRAL,1 sUBJECT sPIRAL,School Supplies,,,Mead,Mead,43100074021,43100074021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,wide ruled notebook,wide ruled notebook,wide ruled notebook,wide ruled notebook,School Supplies,,,Mead,Mead,43100074045,43100074045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,MEAD COLLEGE RULEDNOTEBOOK 70 COUNT ASST.,MEAD COLLEGE RULEDNOTEBOOK 70 COUNT ASST.,MEAD COLLEGE RULEDNOTEBOOK 70 COUNT ASST.,MEAD COLLEGE RULEDNOTEBOOK 70 COUNT ASST.,School Supplies,,,Mead,Mead,43100074533,43100074533,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5STR 1SUB NOTEBK,5STR 1SUB NOTEBK,5STR 1SUB NOTEBK,5STR 1SUB NOTEBK,School Supplies,,,Mead,Mead,43100080961,43100080961,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,FIVE STAR: 5 Subject - College Ruled 200 sheet,FIVE STAR: 5 Subject - College Ruled 200 sheet,FIVE STAR: 5 Subject - College Ruled 200 sheet,FIVE STAR: 5 Subject - College Ruled 200 sheet,School Supplies,,,Mead,Mead,43100085058,43100085058,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,five star college ruled 100 sheet,five star college ruled 100 sheet,five star college ruled 100 sheet,five star college ruled 100 sheet,School Supplies,,,Mead,Mead,43100092995,43100092995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,MEAD: COMPOSITION BOOK FIVE STAR - RED,MEAD: COMPOSITION BOOK FIVE STAR - RED,MEAD: COMPOSITION BOOK FIVE STAR - RED,MEAD: COMPOSITION BOOK FIVE STAR - RED,School Supplies,,,Mead,Mead,43100093855,43100093855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,mead compbook wide ruled 70 ct,mead compbook wide ruled 70 ct,mead compbook wide ruled 70 ct,mead compbook wide ruled 70 ct,School Supplies,,,Mead,Mead,43100095071,43100095071,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,WIDE RULED 70 COUNT NOTEBOOK,WIDE RULED 70 COUNT NOTEBOOK,WIDE RULED 70 COUNT NOTEBOOK,WIDE RULED 70 COUNT NOTEBOOK,School Supplies,,,Mead,Mead,43100095897,43100095897,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,mead compbook wide ruled 70 ct,mead compbook wide ruled 70 ct,mead compbook wide ruled 70 ct,mead compbook wide ruled 70 ct,School Supplies,,,Mead,Mead,43100095958,43100095958,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,notebook composition,notebook composition,notebook composition,notebook composition,School Supplies,,,Mead,Mead,43100096542,43100096542,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,COMPOSITION NOTEBOOK COLLEGE RULE,COMPOSITION NOTEBOOK COLLEGE RULE,COMPOSITION NOTEBOOK COLLEGE RULE,COMPOSITION NOTEBOOK COLLEGE RULE,School Supplies,,,Mead,Mead,43100096566,43100096566,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,notebook,notebook,notebook,notebook,School Supplies,,NOTEBOOK,Mead,Mead,43100096580,43100096580,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,college ruled 70 sheets,college ruled 70 sheets,college ruled 70 sheets,college ruled 70 sheets,School Supplies,,,Mead,Mead,43100096603,43100096603,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,notebook,notebook,notebook,notebook,School Supplies,,,Mead,Mead,43100096627,43100096627,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,notebook,notebook,notebook,notebook,School Supplies,,,Mead,Mead,43100096665,43100096665,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,COMPOSITION NOTEBOOK 70 SHEETS,COMPOSITION NOTEBOOK 70 SHEETS,COMPOSITION NOTEBOOK 70 SHEETS,COMPOSITION NOTEBOOK 70 SHEETS,School Supplies,,,Mead,Mead,43100096726,43100096726,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,NOTEBOOK,NOTEBOOK,NOTEBOOK,NOTEBOOK,School Supplies,,,Mead,Mead,43100096788,43100096788,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,college ruled notebook,college ruled notebook,college ruled notebook,college ruled notebook,School Supplies,,,Mead,Mead,43100096801,43100096801,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,notebook composition,notebook composition,notebook composition,notebook composition,School Supplies,,NOTEBOOK,Mead,Mead,43100096849,43100096849,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,notebook composition,notebook composition,notebook composition,notebook composition,School Supplies,,School Supplies,Mead,Mead,43100096863,43100096863,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,notebook composition,notebook composition,notebook composition,notebook composition,School Supplies,,NOTEBOOK,Mead,Mead,43100096900,43100096900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
