Picture,Number,Name(Zh),Name(En),Name(Es),Name(It),Category,Custom Category,Brand,Custom Brand,UPC Code,Origin(UPC),Description,IPK Code,Origin(IPK),Case Code,Origin(Case),Craft(Zh),Craft(En),Craft(Es),Craft(It),Case Rate,Case Length(ft),Case Width(ft),Case Height(ft),Case Cube(ft³),Case Weight(lb),Layer Rate(Case),Pallet Rate(Case),IPK Rate,IPK Length(ft),IPK Width(ft),IPK Height(ft),IPK Cube(ft³),IPK Weight(lb),Layer Rate(IPK),Pallet Rate(IPK),Dozen Rate,Dozen Length(ft),Dozen Width(ft),Dozen Height(ft),Dozen Cube(ft³),Dozen Weight(lb),Layer Rate(Dozen),Pallet Rate(Dozen),Piece Length(ft),Piece Width(ft),Piece Height(ft),Piece Cube(ft³),Piece Weight(lb),Layer Rate(Piece),Pallet Rate(Piece),Future Sale Manage Rate
,9106,PUFFY STICKER,PUFFY STICKER,PUFFY STICKER,PUFFY STICKER,Others,Craft Kits Beads & DIY,Melissa & Doug,Melissa & Doug,000772091060,000772091060,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,30162,MOSAIC STICKER PAD-NATURE,MOSAIC STICKER PAD-NATURE,MOSAIC STICKER PAD-NATURE,MOSAIC STICKER PAD-NATURE,Others,Craft Kits Beads & DIY,Melissa & Doug,Melissa & Doug,000772301626,000772301626,"Piece together hundreds of colorful stickers to complete beautiful nature scenes! Match 12 pages of number-coded stickers to the numbered spaces on 12 pages of lushly drawn full-color scenes and see them come to life. Sticker sheets are removable for easy matching. It’s fun and easy for kids —and grown-ups, too!—to create mosaics of cardinals, a bee, chipmunk, hummingbird, and more with the more than 850 stickers. It’s a relaxing creative project for nature lovers seven to 107! This product is certified by the Forest Stewardship Council. FSC certification ensures that products come from responsibly managed forests that provide environmental, social, and economic benefits, and that forests are protected for future generations. Please note that FSC certification applies to new inventory only (FSC C156584)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,51156,Reusable Sticker Pad - Play House!,Reusable Sticker Pad - Play House!,Reusable Sticker Pad - Play House!,Reusable Sticker Pad - Play House!,Others,Craft Kits Beads & DIY,Melissa & Doug,Melissa & Doug,000772041973,000772041973,"The reusable ""stickers"" in this set cling securely to the sturdy pages, then peel up easily when you're ready to make a change. Five glossy, full-color pages feature five rooms to decorate; five coordinating pages of accessories include 175+ stickers to fill them up! This product is certified by the Forest Stewardship Council. FSC certification ensures that products come from responsibly managed forests that provide environmental, social, and economic benefits, and that forests are protected for future generations. Please note that FSC certification applies to new inventory only (FSC C156584).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,50332,STICKER WOW! REFILL DOG,STICKER WOW! REFILL DOG,STICKER WOW! REFILL DOG,STICKER WOW! REFILL DOG,Others,Craft Kits Beads & DIY,Melissa & Doug,Melissa & Doug,000772502054,000772502054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1637,INK PAD,INK PAD,INK PAD,INK PAD,Others,Craft Kits Beads & DIY,Melissa & Doug,Melissa & Doug,000772016377,000772016377,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2304,SCISSOR SKILLS,SCISSOR SKILLS,SCISSOR SKILLS,SCISSOR SKILLS,Others,Craft Kits Beads & DIY,Melissa & Doug,Melissa & Doug,000772023047,000772023047,"Kids love to cut with scissors--as you can see by the trail of scraps often left in their wake! This creative and practical activity pad gives an engaging, creative direction to scissor work, meaning more concentration and less mess. Organized from simple to more complex, 20 different paper cutting projects (with complete supplies included right in the pages of the book) practice slightly different skills and techniques, and produce 20 unique crafts, games, and activities to offer kids a creative focus and a sense of accomplishment. Plastic safety scissors are included, which naturally encourage proper form and are safe for preschoolers--but any pair of scissors can be used to complete the paper-cutting projects. This product is certified by the Forest Stewardship Council. FSC certification ensures that products come from responsibly managed forests that provide environmental, social, and economic benefits, and that forests are protected for future generations. Please note that FSC certification applies to new inventory only (FSC C156584).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,50691,Sticker WOW! Activity Pad Set - Turtle,Sticker WOW! Activity Pad Set - Turtle,Sticker WOW! Activity Pad Set - Turtle,Sticker WOW! Activity Pad Set - Turtle,Others,Craft Kits Beads & DIY,Melissa & Doug,Melissa & Doug,000772502344,000772502344,"Melissa & Doug Sticker WOW!™ is a whole new way to play with stickers! Let the adorable, collectible Kelp the Sea Turtle stamp, stamp, stamp its way through 24 pages of fun-filled, ocean-themed counting, matching, and search-and-find activities. The refillable sticker stamper comes pre-loaded with a sticker stack of 300 assorted stickers – with 100 unique designs in every stack, each sticker is a surprise! Themed refill packs are sold separately and are compatible with any Sticker WOW!™ sticker stamper. Stickers are not reusable, but are easy to remove if necessary. Fill in the activity pages and use for creative art projects, such as bookmarks, posters, cards, and more. Easy-to-remove stickers and the convenient on-the-go format with built-in sticker stamper storage makes Sticker WOW!™ (patent pending) a great mess-free travel activity. Sticker WOW!™ promotes fine motor skills, encourages creative play, and it’s satisfying, fidget fun! This product is certified by the Forest Stewardship Council. FSC certification ensures that products come from responsibly managed forests that provide environmental, social, and economic benefits, and that forests are protected for future generations. Please note that FSC certification applies to new inventory only (FSC C156584)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,544,Primary Lacing Beads,Primary Lacing Beads,Primary Lacing Beads,Primary Lacing Beads,Others,Craft Kits Beads & DIY,Melissa & Doug,Melissa & Doug,000772005449,000772005449,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,9295,STAINED GLASS BUTTERFLY,STAINED GLASS BUTTERFLY,STAINED GLASS BUTTERFLY,STAINED GLASS BUTTERFLY,Others,Craft Kits Beads & DIY,Melissa & Doug,Melissa & Doug,000772092951,000772092951,"This peel-and-press sticker craft gives kids everything they need to easily create a spectacular piece of ""stained glass"" art. Just hold up the sheet of colored stickers to the clear frame, peel them off one at a time, and stick them on. Grooves and outlines on the frame make it easy to fit each sticker--featuring realistic textures like bubbles or swirls--into just the right spot. Use the included cord and suction cup to hang the finished artwork in a sunny window to see the beautiful butterfly shimmer to life. Young artists will be enchanted by the results and proud to show them off!",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5190,Magic in a Snap Hocus-Pocus Collection,Magic in a Snap Hocus-Pocus Collection,Magic in a Snap Hocus-Pocus Collection,Magic in a Snap Hocus-Pocus Collection,Others,Craft Kits Beads & DIY,Melissa & Doug,Melissa & Doug,000772051903,000772051903,"It's a snap to learn and perform these professional caliber magic tricks! The tricks in this collection, geared for kids four and older, are simple to master, yet truly amazing to behold. The 12-piece set includes a coin that magically appears in a mesh bag, a case that makes a ""$100 bill"" disappear and re-appear, ball and vase tricks, and a scarf that disappears from a clear tube! Easy-to follow illustrated instructions help budding magicians learn the secrets behind these classic tricks that are sure to wow audiences of all ages!",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
