Picture,Number,Name(Zh),Name(En),Name(Es),Name(It),Category,Custom Category,Brand,Custom Brand,UPC Code,Origin(UPC),Description,IPK Code,Origin(IPK),Case Code,Origin(Case),Craft(Zh),Craft(En),Craft(Es),Craft(It),Case Rate,Case Length(ft),Case Width(ft),Case Height(ft),Case Cube(ftÂ³),Case Weight(lb),Layer Rate(Case),Pallet Rate(Case),IPK Rate,IPK Length(ft),IPK Width(ft),IPK Height(ft),IPK Cube(ftÂ³),IPK Weight(lb),Layer Rate(IPK),Pallet Rate(IPK),Dozen Rate,Dozen Length(ft),Dozen Width(ft),Dozen Height(ft),Dozen Cube(ftÂ³),Dozen Weight(lb),Layer Rate(Dozen),Pallet Rate(Dozen),Piece Length(ft),Piece Width(ft),Piece Height(ft),Piece Cube(ftÂ³),Piece Weight(lb),Layer Rate(Piece),Pallet Rate(Piece),Future Sale Manage Rate
,,SEQUIN BACJPACK,SEQUIN BACJPACK,SEQUIN BACJPACK,SEQUIN BACJPACK,Others,Backpacks & Pencil Cases,MOORE,MOORE,786138700080,786138700080,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5030,SLAP BAND,SLAP BAND,SLAP BAND,SLAP BAND,Others,Backpacks & Pencil Cases,MOORE,MOORE,786138700004,786138700004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Item #2435,Charcoal backpack with sequin,Charcoal backpack with sequin,Charcoal backpack with sequin,Charcoal backpack with sequin,Others,Backpacks & Pencil Cases,MOORE,MOORE,786138701766,786138701766,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,#2113,8 TAB DIVIDERS,8 TAB DIVIDERS,8 TAB DIVIDERS,8 TAB DIVIDERS,Others,Binders & Dividers,MOORE,MOORE,86138103233,86138103233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2119,50 SHEET PROTECTORS (MOORE),50 SHEET PROTECTORS (MOORE),50 SHEET PROTECTORS (MOORE),50 SHEET PROTECTORS (MOORE),Others,Sheet Protectors,MOORE,MOORE,86138104858,86138104858,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,SEQUIN SNAP BRACELET 5-PACK,SEQUIN SNAP BRACELET 5-PACK,SEQUIN SNAP BRACELET 5-PACK,SEQUIN SNAP BRACELET 5-PACK,Others,Backpacks & Pencil Cases,MOORE,MOORE,786138700011,786138700011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,SEQUIN BACKPACK,SEQUIN BACKPACK,SEQUIN BACKPACK,SEQUIN BACKPACK,Others,Backpacks & Pencil Cases,MOORE,MOORE,786138700103,786138700103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,#2433,MOORE CORRECTION TAPE,MOORE CORRECTION TAPE,MOORE CORRECTION TAPE,MOORE CORRECTION TAPE,Others,Glue & Tape,MOORE,MOORE,786138701698,786138701698,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Item #2436,Hanging sequin Iridescent backpack,Hanging sequin Iridescent backpack,Hanging sequin Iridescent backpack,Hanging sequin Iridescent backpack,Others,Backpacks & Pencil Cases,MOORE,MOORE,786138701773,786138701773,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,SEQUIN PENCIL CASE,SEQUIN PENCIL CASE,SEQUIN PENCIL CASE,SEQUIN PENCIL CASE,Others,Backpacks & Pencil Cases,MOORE,MOORE,786138700035,786138700035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2438,TRIP BAG,TRIP BAG,TRIP BAG,TRIP BAG,Others,Backpacks & Pencil Cases,MOORE,MOORE,786138701797,786138701797,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2122,200 SHEET PROTECTORS (MOORE),200 SHEET PROTECTORS (MOORE),200 SHEET PROTECTORS (MOORE),200 SHEET PROTECTORS (MOORE),Others,Sheet Protectors,MOORE,MOORE,786138701667,786138701667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,#2117,PENCIL CASE,PENCIL CASE,PENCIL CASE,PENCIL CASE,Others,Backpacks & Pencil Cases,MOORE,MOORE,86138103264,86138103264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,20 SHEET PROTECTORS (MORRE),20 SHEET PROTECTORS (MORRE),20 SHEET PROTECTORS (MORRE),20 SHEET PROTECTORS (MORRE),Others,Sheet Protectors,MOORE,MOORE,86138105589,86138105589,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,#2412,CORRECTION PEN,CORRECTION PEN,CORRECTION PEN,CORRECTION PEN,Others,Writing Supplies,MOORE,MOORE,86138801726,86138801726,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,#2432,10 POCKET FOLDER,10 POCKET FOLDER,10 POCKET FOLDER,10 POCKET FOLDER,Others,Paper & Folders,MOORE,MOORE,86138804789,86138804789,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2115,2 POCKET FOLDER,2 POCKET FOLDER,2 POCKET FOLDER,2 POCKET FOLDER,Others,Paper & Folders,MOORE,MOORE,86138103271,86138103271,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2121,10 SHEET PROTECTORS (MOORE),10 SHEET PROTECTORS (MOORE),10 SHEET PROTECTORS (MOORE),10 SHEET PROTECTORS (MOORE),Others,Sheet Protectors,MOORE,MOORE,86138105596,86138105596,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,SEQUIN BACKPACK,SEQUIN BACKPACK,SEQUIN BACKPACK,SEQUIN BACKPACK,Others,Backpacks & Pencil Cases,MOORE,MOORE,786138700110,786138700110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Item #2437,Clear Speckled Backpack,Clear Speckled Backpack,Clear Speckled Backpack,Clear Speckled Backpack,Others,Backpacks & Pencil Cases,MOORE,MOORE,786138701780,786138701780,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2131,MOORE CRAYON CASE,MOORE CRAYON CASE,MOORE CRAYON CASE,MOORE CRAYON CASE,Others,Painting & Coloring,MOORE,MOORE,786138701728,786138701728,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2112,5 TAB DIVIDERS,5 TAB DIVIDERS,5 TAB DIVIDERS,5 TAB DIVIDERS,Others,Binders & Dividers,MOORE,MOORE,86138103240,86138103240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2116,MOORE 3 ZIPPER PENCIL CASE,MOORE 3 ZIPPER PENCIL CASE,MOORE 3 ZIPPER PENCIL CASE,MOORE 3 ZIPPER PENCIL CASE,Others,Backpacks & Pencil Cases,MOORE,MOORE,86138103219,86138103219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2118,100 SHEET PROTECTORS (MOORE),100 SHEET PROTECTORS (MOORE),100 SHEET PROTECTORS (MOORE),100 SHEET PROTECTORS (MOORE),Others,Sheet Protectors,MOORE,MOORE,86138104841,86138104841,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,MOORE 3 ZIPPER PENCIL CASE,MOORE 3 ZIPPER PENCIL CASE,MOORE 3 ZIPPER PENCIL CASE,MOORE 3 ZIPPER PENCIL CASE,Others,Backpacks & Pencil Cases,MOORE,MOORE,86138103257,86138103257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,#2431,6 POCKET FOLDER,6 POCKET FOLDER,6 POCKET FOLDER,6 POCKET FOLDER,Others,Paper & Folders,MOORE,MOORE,86138804772,86138804772,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2454,A FRIELICHEN CHANUKA CARDS,A FRIELICHEN CHANUKA CARDS,A FRIELICHEN CHANUKA CARDS,A FRIELICHEN CHANUKA CARDS,Others,Channukah Games,MOORE,MOORE,786138705344,786138705344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,#2413,STICK GLUE,STICK GLUE,STICK GLUE,STICK GLUE,Others,Glue & Tape,MOORE,MOORE,86138104728,86138104728,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2445,ABC LOWERCASE WOOD STAMP SET,ABC LOWERCASE WOOD STAMP SET,ABC LOWERCASE WOOD STAMP SET,ABC LOWERCASE WOOD STAMP SET,Others,,MOORE,MOORE,86138802617,86138802617,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,#2423,EMOJI STAMP SET,EMOJI STAMP SET,EMOJI STAMP SET,EMOJI STAMP SET,Others,,MOORE,MOORE,86138802594,86138802594,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,#2422,NATURE STAMP SET,NATURE STAMP SET,NATURE STAMP SET,NATURE STAMP SET,Others,,MOORE,MOORE,86138802587,86138802587,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,#2415,CRAYON HOLDER BLUE/GREEN/RED,CRAYON HOLDER BLUE/GREEN/RED,CRAYON HOLDER BLUE/GREEN/RED,CRAYON HOLDER BLUE/GREEN/RED,Others,Painting & Coloring,MOORE,MOORE,86138801955,86138801955,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,#2420,ABC STAMPS,ABC STAMPS,ABC STAMPS,ABC STAMPS,Others,,MOORE,MOORE,86138802563,86138802563,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
