Picture,Number,Name(Zh),Name(En),Name(Es),Name(It),Category,Custom Category,Brand,Custom Brand,UPC Code,Origin(UPC),Description,IPK Code,Origin(IPK),Case Code,Origin(Case),Craft(Zh),Craft(En),Craft(Es),Craft(It),Case Rate,Case Length(ft),Case Width(ft),Case Height(ft),Case Cube(ft³),Case Weight(lb),Layer Rate(Case),Pallet Rate(Case),IPK Rate,IPK Length(ft),IPK Width(ft),IPK Height(ft),IPK Cube(ft³),IPK Weight(lb),Layer Rate(IPK),Pallet Rate(IPK),Dozen Rate,Dozen Length(ft),Dozen Width(ft),Dozen Height(ft),Dozen Cube(ft³),Dozen Weight(lb),Layer Rate(Dozen),Pallet Rate(Dozen),Piece Length(ft),Piece Width(ft),Piece Height(ft),Piece Cube(ft³),Piece Weight(lb),Layer Rate(Piece),Pallet Rate(Piece),Future Sale Manage Rate
,3108,8.5'' Rainbow Playground Ball For Kids,8.5'' Rainbow Playground Ball For Kids,8.5'' Rainbow Playground Ball For Kids,8.5'' Rainbow Playground Ball For Kids,Others,Sports & Active Play,NEW BOUNCE,,86138107057,86138107057,,,,,,,,,,,,,,,,,,,2,2,2,,,,,,,,,,,,,,,,,,,,
,3109,"8.5'' Marbleized Ball, Assorted Colors","8.5'' Marbleized Ball, Assorted Colors","8.5'' Marbleized Ball, Assorted Colors","8.5'' Marbleized Ball, Assorted Colors",Others,Sports & Active Play,NEW BOUNCE,,86138107071,86138107071,,,,,,,,,,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,
,3110,"8.5'' Knobby Ball, Assorted. Colors","8.5'' Knobby Ball, Assorted. Colors","8.5'' Knobby Ball, Assorted. Colors","8.5'' Knobby Ball, Assorted. Colors",Others,Sports & Active Play,NEW BOUNCE,,86138107088,86138107088,,,,,,,,,,,,,,,,,,,12,5,3,,,,,,,,,,,,,,,,,,,,
,3138,"Playground Ball - PG8.5"" - Assorted Colors","Playground Ball - PG8.5"" - Assorted Colors","Playground Ball - PG8.5"" - Assorted Colors","Playground Ball - PG8.5"" - Assorted Colors",Others,Sports & Active Play,NEW BOUNCE,,786138803798,786138803798,,,,,,,,,,,,,,,,,,,2,2,2,,2,,,,,,,,,,,,,,,,,,
,3139,"Playground Ball - PG7"" - Assorted Colors","Playground Ball - PG7"" - Assorted Colors","Playground Ball - PG7"" - Assorted Colors","Playground Ball - PG7"" - Assorted Colors",Others,Sports & Active Play,NEW BOUNCE,,786138803804,786138803804,,,,,,,,,,,,,,,,,,,6,6,1,,2,,,,,,,,,,,,,,,,,,
,3141,40'' Folding Mini Trampoline,40'' Folding Mini Trampoline,40'' Folding Mini Trampoline,40'' Folding Mini Trampoline,Others,Sports & Active Play,NEW BOUNCE,,786138804733,786138804733,,,,,,,,,,,,,,,,,,,30,15,4,,15,,,,,,,,,,,,,,,,,,
,3142,36'' Folding Mini Trampoline with Handle,36'' Folding Mini Trampoline with Handle,36'' Folding Mini Trampoline with Handle,36'' Folding Mini Trampoline with Handle,Others,Sports & Active Play,NEW BOUNCE,,786138804740,786138804740,,,,,,,,,,,,,,,,,,,31,14,4,,10,,,,,,,,,,,,,,,,,,
,3148,4 Pc Rocket Launcher With Lights,4 Pc Rocket Launcher With Lights,4 Pc Rocket Launcher With Lights,4 Pc Rocket Launcher With Lights,Others,Sports & Active Play,NEW BOUNCE,,786138805877,786138805877,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,
,3149,6 Rockets and 2 Launchers With Lights,6 Rockets and 2 Launchers With Lights,6 Rockets and 2 Launchers With Lights,6 Rockets and 2 Launchers With Lights,Others,Sports & Active Play,NEW BOUNCE,,786138805884,786138805884,,,,,,,,,,,,,,,,,,,11,9,6,,1,,,,,,,,,,,,,,,,,,
,3150,Lawn Darts Set,Lawn Darts Set,Lawn Darts Set,Lawn Darts Set,Others,Sports & Active Play,NEW BOUNCE,,786138805891,786138805891,,,,,,,,,,,,,,,,,,,3,6,1,,,,,,,,,,,,,,,,,,,,
