Picture,Number,Name(Zh),Name(En),Name(Es),Name(It),Category,Department,Custom Category,Brand,Custom Brand,UPC Code,Origin(UPC),Description,IPK Code,Origin(IPK),Case Code,Origin(Case),Craft(Zh),Craft(En),Craft(Es),Craft(It),Case Rate,Case Length(ft),Case Width(ft),Case Height(ft),Case Cube(ft³),Case Weight(lb),Layer Rate(Case),Pallet Rate(Case),IPK Rate,IPK Length(ft),IPK Width(ft),IPK Height(ft),IPK Cube(ft³),IPK Weight(lb),Layer Rate(IPK),Pallet Rate(IPK),Dozen Rate,Dozen Length(ft),Dozen Width(ft),Dozen Height(ft),Dozen Cube(ft³),Dozen Weight(lb),Layer Rate(Dozen),Pallet Rate(Dozen),Piece Length(ft),Piece Width(ft),Piece Height(ft),Piece Cube(ft³),Piece Weight(lb),Layer Rate(Piece),Pallet Rate(Piece),Future Sale Manage Rate
,A215,3 IN 1 DOLL PLAYSET #A215,3 IN 1 DOLL PLAYSET #A215,3 IN 1 DOLL PLAYSET #A215,3 IN 1 DOLL PLAYSET #A215,Others,Dolls,Doll Playsets & Furniture,NEW YORK DOLL,NEW YORK DOLL,709951193846,709951193846,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,A217,A217 DOLL PACK & PLAY,A217 DOLL PACK & PLAY,A217 DOLL PACK & PLAY,A217 DOLL PACK & PLAY,Others,Dolls,Doll Playsets & Furniture,NEW YORK DOLL,NEW YORK DOLL,709951193860,709951193860,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,A216,A216 DOLL HIGH CHAIR,A216 DOLL HIGH CHAIR,A216 DOLL HIGH CHAIR,A216 DOLL HIGH CHAIR,Others,Dolls,Doll Playsets & Furniture,NEW YORK DOLL,NEW YORK DOLL,709951193853,709951193853,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,#A117,SHOPPING CART,SHOPPING CART,SHOPPING CART,SHOPPING CART,Others,Dolls,Doll Playsets & Furniture,NEW YORK DOLL,NEW YORK DOLL,86138100652,86138100652,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,NYD-1009,Doll Highchair #1009,Doll Highchair #1009,Doll Highchair #1009,Doll Highchair #1009,Others,Dolls,Doll Playsets & Furniture,NEW YORK DOLL,NEW YORK DOLL,786138708833,786138708833,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,NYD-1010,Doll PackN Play #1010,Doll PackN Play #1010,Doll PackN Play #1010,Doll PackN Play #1010,Others,Dolls,Doll Playsets & Furniture,NEW YORK DOLL,NEW YORK DOLL,786138708840,786138708840,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,NYD-1015,"3in1 Doll set (Highchair, Bouncer, packNplay) #1015","3in1 Doll set (Highchair, Bouncer, packNplay) #1015","3in1 Doll set (Highchair, Bouncer, packNplay) #1015","3in1 Doll set (Highchair, Bouncer, packNplay) #1015",Others,Dolls,Doll Playsets & Furniture,NEW YORK DOLL,NEW YORK DOLL,786138708895,786138708895,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,NYD City Girls Brunette,NYD City Girls Brunette,NYD City Girls Brunette,NYD City Girls Brunette,Others,Dolls,"18"" Dolls & Accessories",NEW YORK DOLL,NEW YORK DOLL,687077264797,687077264797,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,B371,Reborn Doll # B371,Reborn Doll # B371,Reborn Doll # B371,Reborn Doll # B371,Others,Dolls,"18"" Dolls & Accessories",NEW YORK DOLL,NEW YORK DOLL,810120820804,810120820804,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,B372,Reborn Doll # B372,Reborn Doll # B372,Reborn Doll # B372,Reborn Doll # B372,Others,Dolls,"18"" Dolls & Accessories",NEW YORK DOLL,NEW YORK DOLL,810120820811,810120820811,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,B154,MINI DOLL,MINI DOLL,MINI DOLL,MINI DOLL,Others,Dolls,Dolls,NEW YORK DOLL,NEW YORK DOLL,709951192177,709951192177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,B156,6'' DOLL PINK/WHITE,6'' DOLL PINK/WHITE,6'' DOLL PINK/WHITE,6'' DOLL PINK/WHITE,Others,Dolls,Dolls,NEW YORK DOLL,NEW YORK DOLL,709951192191,709951192191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,B297,GLAMOUR GIRLZ,GLAMOUR GIRLZ,GLAMOUR GIRLZ,GLAMOUR GIRLZ,Others,Dolls,Dolls,NEW YORK DOLL,NEW YORK DOLL,850021560270,850021560270,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,B298,GLAMOUR GIRLZ,GLAMOUR GIRLZ,GLAMOUR GIRLZ,GLAMOUR GIRLZ,Others,Dolls,Dolls,NEW YORK DOLL,NEW YORK DOLL,850021560287,850021560287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,#B152,6'' DOLL PINK HEART,6'' DOLL PINK HEART,6'' DOLL PINK HEART,6'' DOLL PINK HEART,Others,Dolls,Dolls,NEW YORK DOLL,NEW YORK DOLL,709951192153,709951192153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,B155,6'' DOLL GREY/WHITE,6'' DOLL GREY/WHITE,6'' DOLL GREY/WHITE,6'' DOLL GREY/WHITE,Others,Dolls,Dolls,NEW YORK DOLL,NEW YORK DOLL,709951192184,709951192184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,B120,11 inch doll - Stripe Pink,11 inch doll - Stripe Pink,11 inch doll - Stripe Pink,11 inch doll - Stripe Pink,Others,Dolls,Dolls,NEW YORK DOLL,NEW YORK DOLL,850021560164,850021560164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,#B153,6'' DOLL RED HEART,6'' DOLL RED HEART,6'' DOLL RED HEART,6'' DOLL RED HEART,Others,Dolls,Dolls,NEW YORK DOLL,NEW YORK DOLL,709951192160,709951192160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,B296,GLAMOUR GIRLZ,GLAMOUR GIRLZ,GLAMOUR GIRLZ,GLAMOUR GIRLZ,Others,Dolls,Dolls,NEW YORK DOLL,NEW YORK DOLL,850021560263,850021560263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,B173,"12"" CAR SEAT DOLL SEAT","12"" CAR SEAT DOLL SEAT","12"" CAR SEAT DOLL SEAT","12"" CAR SEAT DOLL SEAT",Others,Dolls,Dolls,NEW YORK DOLL,NEW YORK DOLL,850021560003,850021560003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,GLAMOUR GIRLZ,GLAMOUR GIRLZ,GLAMOUR GIRLZ,GLAMOUR GIRLZ,Others,Dolls,Dolls,NEW YORK DOLL,NEW YORK DOLL,850021560294,850021560294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,B291,15 INCH TWIN DOLLS,15 INCH TWIN DOLLS,15 INCH TWIN DOLLS,15 INCH TWIN DOLLS,Others,Dolls,Dolls,NEW YORK DOLL,NEW YORK DOLL,709951194034,709951194034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,#B144,NYDC Twin Dolls,NYDC Twin Dolls,NYDC Twin Dolls,NYDC Twin Dolls,Others,Dolls,Dolls,NEW YORK DOLL,NEW YORK DOLL,709951191538,709951191538,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,B151,6'' DOLL PINK SKIRT,6'' DOLL PINK SKIRT,6'' DOLL PINK SKIRT,6'' DOLL PINK SKIRT,Others,Dolls,Dolls,NEW YORK DOLL,NEW YORK DOLL,709951192146,709951192146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,B300,"NYD Talking Baby Doll 12""","NYD Talking Baby Doll 12""","NYD Talking Baby Doll 12""","NYD Talking Baby Doll 12""",Others,Dolls,Dolls,NEW YORK DOLL,NEW YORK DOLL,850021560119,850021560119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,B301,"NYD Talking Baby Doll 12""","NYD Talking Baby Doll 12""","NYD Talking Baby Doll 12""","NYD Talking Baby Doll 12""",Others,Dolls,Dolls,NEW YORK DOLL,NEW YORK DOLL,850021560430,850021560430,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,B303,"NYD Talking Baby Doll 12""","NYD Talking Baby Doll 12""","NYD Talking Baby Doll 12""","NYD Talking Baby Doll 12""",Others,Dolls,Dolls,NEW YORK DOLL,NEW YORK DOLL,850021560454,850021560454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,B304,"NYD Talking Baby Doll 12"" AA","NYD Talking Baby Doll 12"" AA","NYD Talking Baby Doll 12"" AA","NYD Talking Baby Doll 12"" AA",Others,Dolls,Dolls,NEW YORK DOLL,NEW YORK DOLL,850021560461,850021560461,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
