Picture,Number,Name(Zh),Name(En),Name(Es),Name(It),Category,Department,Custom Category,Brand,Custom Brand,UPC Code,Origin(UPC),Description,IPK Code,Origin(IPK),Case Code,Origin(Case),Craft(Zh),Craft(En),Craft(Es),Craft(It),Case Rate,Case Length(ft),Case Width(ft),Case Height(ft),Case Cube(ft³),Case Weight(lb),Layer Rate(Case),Pallet Rate(Case),IPK Rate,IPK Length(ft),IPK Width(ft),IPK Height(ft),IPK Cube(ft³),IPK Weight(lb),Layer Rate(IPK),Pallet Rate(IPK),Dozen Rate,Dozen Length(ft),Dozen Width(ft),Dozen Height(ft),Dozen Cube(ft³),Dozen Weight(lb),Layer Rate(Dozen),Pallet Rate(Dozen),Piece Length(ft),Piece Width(ft),Piece Height(ft),Piece Cube(ft³),Piece Weight(lb),Layer Rate(Piece),Pallet Rate(Piece),Future Sale Manage Rate
,3413,35 PC WOODEN TRAIN SET,35 PC WOODEN TRAIN SET,35 PC WOODEN TRAIN SET,35 PC WOODEN TRAIN SET,Others,Building Sets & Blocks,"Bricks, Blocks & Building Sets",Play build,Play build,786138706112,786138706112,,,,,,,,,,,,,,,,,,,1.3448,0.9184,0.4756,,4.7,,,,,,,,,,,,,,,,,,
,1319,PLAY BUILD POLICE STATION,PLAY BUILD POLICE STATION,PLAY BUILD POLICE STATION,PLAY BUILD POLICE STATION,Others,Building Sets & Blocks,"Bricks, Blocks & Building Sets",Play build,Play build,786138700547,786138700547,,,,,,,,,,,,,,,,,,,1.5416,1.0824,0.8528,,11.68,,,,,,,,,,,,,,,,,,
,1306,PLAY BUILD BOARDS 2PK,PLAY BUILD BOARDS 2PK,PLAY BUILD BOARDS 2PK,PLAY BUILD BOARDS 2PK,Others,Building Sets & Blocks,"Bricks, Blocks & Building Sets",Play build,Play build,86138800248,86138800248,,,,,,,,,,,,,,,,,,,1.3448,0.9184,0.4756,,4.07,,,,,,,,,,,,,,,,,,
,1312,LEGO PLAY TABLE,LEGO PLAY TABLE,LEGO PLAY TABLE,LEGO PLAY TABLE,Others,Building Sets & Blocks,"Bricks, Blocks & Building Sets",Play build,Play build,86138804130,86138804130,,,,,,,,,,,,,,,,,,,1.3448,0.9184,0.4756,,4.5,,,,,,,,,,,,,,,,,,
,1347,Snapid 100 Pc - Black,Snapid 100 Pc - Black,Snapid 100 Pc - Black,Snapid 100 Pc - Black,Others,Building Sets & Blocks,"Bricks, Blocks & Building Sets",Play build,Play build,786138707942,786138707942,,,,,,,,,,,,,,,,,,,0.3936,0.3936,0.7872,,1.15,,,,,,,,,,,,,,,,,,
,1348,Snapid 100 Pc - White,Snapid 100 Pc - White,Snapid 100 Pc - White,Snapid 100 Pc - White,Others,Building Sets & Blocks,"Bricks, Blocks & Building Sets",Play build,Play build,786138707959,786138707959,,,,,,,,,,,,,,,,,,,0.3936,0.3936,0.7872,,1.15,,,,,,,,,,,,,,,,,,
,1349,Snapz 100 Pc Bucket - Purple,Snapz 100 Pc Bucket - Purple,Snapz 100 Pc Bucket - Purple,Snapz 100 Pc Bucket - Purple,Others,Building Sets & Blocks,"Bricks, Blocks & Building Sets",Play build,Play build,786138707966,786138707966,,,,,,,,,,,,,,,,,,,0.3936,0.3936,0.7872,,1.15,,,,,,,,,,,,,,,,,,
,1350,Snapz 100 Pc Bucket - Orange,Snapz 100 Pc Bucket - Orange,Snapz 100 Pc Bucket - Orange,Snapz 100 Pc Bucket - Orange,Others,Building Sets & Blocks,"Bricks, Blocks & Building Sets",Play build,Play build,786138707973,786138707973,,,,,,,,,,,,,,,,,,,0.3936,0.3936,0.7872,,1.15,,,,,,,,,,,,,,,,,,
,1351,Snapid 100 Pc - Light Pink,Snapid 100 Pc - Light Pink,Snapid 100 Pc - Light Pink,Snapid 100 Pc - Light Pink,Others,Building Sets & Blocks,"Bricks, Blocks & Building Sets",Play build,Play build,786138707980,786138707980,,,,,,,,,,,,,,,,,,,0.3936,0.3936,0.7872,,1.15,,,,,,,,,,,,,,,,,,
,1352,Snapz 100 Pc Bucket - Brown,Snapz 100 Pc Bucket - Brown,Snapz 100 Pc Bucket - Brown,Snapz 100 Pc Bucket - Brown,Others,Building Sets & Blocks,"Bricks, Blocks & Building Sets",Play build,Play build,786138707997,786138707997,,,,,,,,,,,,,,,,,,,0.3936,0.3936,0.7872,,1.15,,,,,,,,,,,,,,,,,,
