UPC Code,Picture,Number,Name(Zh),Name(En),Name(Es),Name(It),Category,Department,Custom Category,Brand,Custom Brand,UPC Code,Origin(UPC),Description,IPK Code,Origin(IPK),Case Code,Origin(Case),Craft(Zh),Craft(En),Craft(Es),Craft(It),Case Rate,Case Length(ft),Case Width(ft),Case Height(ft),Case Cube(ft³),Case Weight(lb),Layer Rate(Case),Pallet Rate(Case),IPK Rate,IPK Length(ft),IPK Width(ft),IPK Height(ft),IPK Cube(ft³),IPK Weight(lb),Layer Rate(IPK),Pallet Rate(IPK),Dozen Rate,Dozen Length(ft),Dozen Width(ft),Dozen Height(ft),Dozen Cube(ft³),Dozen Weight(lb),Layer Rate(Dozen),Pallet Rate(Dozen),Piece Length(ft),Piece Width(ft),Piece Height(ft),Piece Cube(ft³),Piece Weight(lb),Layer Rate(Piece),Pallet Rate(Piece),Future Sale Manage Rate
786138701759,,3110,SCRATCH SHEETS 8.3 X 5.8,SCRATCH SHEETS 8.3 X 5.8,SCRATCH SHEETS 8.3 X 5.8,SCRATCH SHEETS 8.3 X 5.8,Others,Arts & Crafts,Painting & Coloring,PLAYKIDIZ ,PLAYKIDIZ ,786138701759,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
786138704644,,3344,Lacing kit Bucket,Lacing kit Bucket,Lacing kit Bucket,Lacing kit Bucket,Others,Arts & Crafts,Craft Kits Beads & DIY,PLAYKIDIZ ,PLAYKIDIZ ,786138704644,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
786138701155,,1327,Color pop Jr.,Color pop Jr.,Color pop Jr.,Color pop Jr.,Others,Arts & Crafts,Craft Kits Beads & DIY,PLAYKIDIZ ,PLAYKIDIZ ,786138701155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
786138705399,,3135,12 Pc Paint Sticks Classic Colors,12 Pc Paint Sticks Classic Colors,12 Pc Paint Sticks Classic Colors,12 Pc Paint Sticks Classic Colors,Others,Arts & Crafts,Painting & Coloring,PLAYKIDIZ ,PLAYKIDIZ ,786138705399,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
786138705474,,PK-3143,6 Pc 3D Puff Paint Classic Colors,6 Pc 3D Puff Paint Classic Colors,6 Pc 3D Puff Paint Classic Colors,6 Pc 3D Puff Paint Classic Colors,Others,Arts & Crafts,Painting & Coloring,PLAYKIDIZ ,PLAYKIDIZ ,786138705474,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
786138701933,,Item 3123,"7,000 Water Beads Kit","7,000 Water Beads Kit","7,000 Water Beads Kit","7,000 Water Beads Kit",Others,Arts & Crafts,Modeling & Play-Doh,PLAYKIDIZ ,PLAYKIDIZ ,786138701933,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
786138705405,,3136,12 Piece Paint Sticks - Neon Matellic,12 Piece Paint Sticks - Neon Matellic,12 Piece Paint Sticks - Neon Matellic,12 Piece Paint Sticks - Neon Matellic,Others,Arts & Crafts,Painting & Coloring,PLAYKIDIZ ,PLAYKIDIZ ,786138705405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
786138705481,,PK-3144,6 Pc 3D Puff Paint - Neon,6 Pc 3D Puff Paint - Neon,6 Pc 3D Puff Paint - Neon,6 Pc 3D Puff Paint - Neon,Others,Arts & Crafts,Painting & Coloring,PLAYKIDIZ ,PLAYKIDIZ ,786138705481,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
786138701735,,3108,SCRATCH NOTES HOLOGRAPHIC RAINBOW,SCRATCH NOTES HOLOGRAPHIC RAINBOW,SCRATCH NOTES HOLOGRAPHIC RAINBOW,SCRATCH NOTES HOLOGRAPHIC RAINBOW,Others,Arts & Crafts,Painting & Coloring,PLAYKIDIZ ,PLAYKIDIZ ,786138701735,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
786138705450,,PK-3141,12Pk Puff Paint Classic Colors,12Pk Puff Paint Classic Colors,12Pk Puff Paint Classic Colors,12Pk Puff Paint Classic Colors,Others,Arts & Crafts,Painting & Coloring,PLAYKIDIZ ,PLAYKIDIZ ,786138705450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
