Picture,Number,Name(Zh),Name(En),Name(Es),Name(It),Department,Category,Custom Category,Brand,Custom Brand,UPC Code,Origin(UPC),Description,IPK Code,Origin(IPK),Case Code,Origin(Case),Craft(Zh),Craft(En),Craft(Es),Craft(It),Case Rate,Case Length(ft),Case Width(ft),Case Height(ft),Case Cube(ft³),Case Weight(lb),Layer Rate(Case),Pallet Rate(Case),IPK Rate,IPK Length(ft),IPK Width(ft),IPK Height(ft),IPK Cube(ft³),IPK Weight(lb),Layer Rate(IPK),Pallet Rate(IPK),Dozen Rate,Dozen Length(ft),Dozen Width(ft),Dozen Height(ft),Dozen Cube(ft³),Dozen Weight(lb),Layer Rate(Dozen),Pallet Rate(Dozen),Piece Length(ft),Piece Width(ft),Piece Height(ft),Piece Cube(ft³),Piece Weight(lb),Layer Rate(Piece),Pallet Rate(Piece),Future Sale Manage Rate
,DH102,Magnetic Play Dollhouse,Magnetic Play Dollhouse,Magnetic Play Dollhouse,Magnetic Play Dollhouse,Building Sets & Blocks,Magnetic,,Playmags,Playmags,786138706280,786138706280,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,FT702,FunTiles 113 Pc Set (English),FunTiles 113 Pc Set (English),FunTiles 113 Pc Set (English),FunTiles 113 Pc Set (English),Building Sets & Blocks,Magnetic,,Playmags,Playmags,786138706655,786138706655,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PM-173,TRAVEL MAGNA DRAWING BOARD,TRAVEL MAGNA DRAWING BOARD,TRAVEL MAGNA DRAWING BOARD,TRAVEL MAGNA DRAWING BOARD,Building Sets & Blocks,Magnetic,,Playmags,Playmags,86138804031,86138804031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,PLAYMAGS,PLAYMAGS,PLAYMAGS,PLAYMAGS,Building Sets & Blocks,Magnetic,,Playmags,Playmags,466138105305,466138105305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PM-184,PLAYMAGS 15PC MAGNETIC FIGURES LARGE,PLAYMAGS 15PC MAGNETIC FIGURES LARGE,PLAYMAGS 15PC MAGNETIC FIGURES LARGE,PLAYMAGS 15PC MAGNETIC FIGURES LARGE,Building Sets & Blocks,Magnetic,,Playmags,Playmags,786138707690,786138707690,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PM-185,Playmags 130 Piece Deluxe Road Set,Playmags 130 Piece Deluxe Road Set,Playmags 130 Piece Deluxe Road Set,Playmags 130 Piece Deluxe Road Set,Building Sets & Blocks,Magnetic,,Playmags,Playmags,786138709434,786138709434,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PM-186,Playmags 50 Piece Road Set,Playmags 50 Piece Road Set,Playmags 50 Piece Road Set,Playmags 50 Piece Road Set,Building Sets & Blocks,Magnetic,,Playmags,Playmags,786138709441,786138709441,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PM-187,Playmags 52pc Construction Set,Playmags 52pc Construction Set,Playmags 52pc Construction Set,Playmags 52pc Construction Set,Building Sets & Blocks,Magnetic,,Playmags,Playmags,786138710294,786138710294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PM-188,Playmags Cubies 64 Pc Classic Set,Playmags Cubies 64 Pc Classic Set,Playmags Cubies 64 Pc Classic Set,Playmags Cubies 64 Pc Classic Set,Building Sets & Blocks,Magnetic,,Playmags,Playmags,786138710300,786138710300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PM-189,Playmags 12pc animals,Playmags 12pc animals,Playmags 12pc animals,Playmags 12pc animals,Building Sets & Blocks,Magnetic,,Playmags,Playmags,786138710379,786138710379,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PM-190,Playmags Safari Set,Playmags Safari Set,Playmags Safari Set,Playmags Safari Set,Building Sets & Blocks,Magnetic,,Playmags,Playmags,786138710386,786138710386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,PLAYMAGS 150 PC SET,PLAYMAGS 150 PC SET,PLAYMAGS 150 PC SET,PLAYMAGS 150 PC SET,Building Sets & Blocks,Magnetic,,Playmags,Playmags,86138106432,86138106432,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PM-183,PLAYMAGS 3D MAGNETIC TILES 32 PCS,PLAYMAGS 3D MAGNETIC TILES 32 PCS,PLAYMAGS 3D MAGNETIC TILES 32 PCS,PLAYMAGS 3D MAGNETIC TILES 32 PCS,Building Sets & Blocks,Magnetic,,Playmags,Playmags,786138706662,786138706662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PM-194,Playmags 60 pc square set,Playmags 60 pc square set,Playmags 60 pc square set,Playmags 60 pc square set,Building Sets & Blocks,Magnetic,,Playmags,Playmags,786138711512,786138711512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PM-191,Playmags 64pc Jumbo Cubies,Playmags 64pc Jumbo Cubies,Playmags 64pc Jumbo Cubies,Playmags 64pc Jumbo Cubies,Building Sets & Blocks,Magnetic,,Playmags,Playmags,786138711086,786138711086,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
