Picture,Number,Name(Zh),Name(En),Name(Es),Name(It),Category,Custom Category,Brand,Custom Brand,UPC Code,Origin(UPC),Description,IPK Code,Origin(IPK),Case Code,Origin(Case),Craft(Zh),Craft(En),Craft(Es),Craft(It),Case Rate,Case Length(ft),Case Width(ft),Case Height(ft),Case Cube(ftÂ³),Case Weight(lb),Layer Rate(Case),Pallet Rate(Case),IPK Rate,IPK Length(ft),IPK Width(ft),IPK Height(ft),IPK Cube(ftÂ³),IPK Weight(lb),Layer Rate(IPK),Pallet Rate(IPK),Dozen Rate,Dozen Length(ft),Dozen Width(ft),Dozen Height(ft),Dozen Cube(ftÂ³),Dozen Weight(lb),Layer Rate(Dozen),Pallet Rate(Dozen),Piece Length(ft),Piece Width(ft),Piece Height(ft),Piece Cube(ftÂ³),Piece Weight(lb),Layer Rate(Piece),Pallet Rate(Piece),Future Sale Manage Rate
,13003A-CL ASST BOX,RAZOR A SCOOTER CLEAR,RAZOR A SCOOTER CLEAR,RAZOR A SCOOTER CLEAR,RAZOR A SCOOTER CLEAR,Others,Ride-On & Bikes,Razor,Razor,4542300264,4542300264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,13003A-RD,RAZOR SCOOTER (RED),RAZOR SCOOTER (RED),RAZOR SCOOTER (RED),RAZOR SCOOTER (RED),Others,Ride-On & Bikes,Razor,Razor,845423002664,845423002664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,25056139,Razor Jetts Heel Wheels DLX Blue,Razor Jetts Heel Wheels DLX Blue,Razor Jetts Heel Wheels DLX Blue,Razor Jetts Heel Wheels DLX Blue,Others,Sports & Active Play,Razor,Razor,845423022631,845423022631,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,A2,RAZOR A2 KICK SCOOTER - BLUE,RAZOR A2 KICK SCOOTER - BLUE,RAZOR A2 KICK SCOOTER - BLUE,RAZOR A2 KICK SCOOTER - BLUE,Others,Ride-On & Bikes,Razor,Razor,845423002770,845423002770,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,razor,Hovertrax - Black,Hovertrax - Black,Hovertrax - Black,Hovertrax - Black,Others,Sports & Active Play,Razor,Razor,845423023270,845423023270,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,BLUE,RAZOR A SCOOTER (BLUE),RAZOR A SCOOTER (BLUE),RAZOR A SCOOTER (BLUE),RAZOR A SCOOTER (BLUE),Others,Ride-On & Bikes,Razor,Razor,845423002633,845423002633,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,13010067,A SCOOTER PINK (RAZOR),A SCOOTER PINK (RAZOR),A SCOOTER PINK (RAZOR),A SCOOTER PINK (RAZOR),Others,Ride-On & Bikes,Razor,Razor,845423008987,845423008987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,POWER A2 ELECTRIC SCOOTER,POWER A2 ELECTRIC SCOOTER,POWER A2 ELECTRIC SCOOTER,POWER A2 ELECTRIC SCOOTER,Others,Ride-On & Bikes,Razor,Razor,845423020439,845423020439,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,15055640,Ripstick Ripster Blue,Ripstick Ripster Blue,Ripstick Ripster Blue,Ripstick Ripster Blue,Others,Sports & Active Play,Razor,Razor,845423001025,845423001025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,#25056150,RAZOR JETTS HEEL WHEELS - PURPLE,RAZOR JETTS HEEL WHEELS - PURPLE,RAZOR JETTS HEEL WHEELS - PURPLE,RAZOR JETTS HEEL WHEELS - PURPLE,Others,Sports & Active Play,Razor,Razor,845423016036,845423016036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
