Picture,Number,Name(Zh),Name(En),Name(Es),Name(It),Category,Custom Category,Brand,Custom Brand,UPC Code,Origin(UPC),Description,IPK Code,Origin(IPK),Case Code,Origin(Case),Craft(Zh),Craft(En),Craft(Es),Craft(It),Case Rate,Case Length(ft),Case Width(ft),Case Height(ft),Case Cube(ft³),Case Weight(lb),Layer Rate(Case),Pallet Rate(Case),IPK Rate,IPK Length(ft),IPK Width(ft),IPK Height(ft),IPK Cube(ft³),IPK Weight(lb),Layer Rate(IPK),Pallet Rate(IPK),Dozen Rate,Dozen Length(ft),Dozen Width(ft),Dozen Height(ft),Dozen Cube(ft³),Dozen Weight(lb),Layer Rate(Dozen),Pallet Rate(Dozen),Piece Length(ft),Piece Width(ft),Piece Height(ft),Piece Cube(ft³),Piece Weight(lb),Layer Rate(Piece),Pallet Rate(Piece),Future Sale Manage Rate
,STUFFDOLL,SEW YOUR OWN DOLLS,SEW YOUR OWN DOLLS,SEW YOUR OWN DOLLS,SEW YOUR OWN DOLLS,Sewing & Jewelry,Doll Play,Rina & Dina ,Rina & Dina ,700465445643,700465445643,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,FM-05,Rina and Dina 3D Foam Kit / Summer Scene,Rina and Dina 3D Foam Kit / Summer Scene,Rina and Dina 3D Foam Kit / Summer Scene,Rina and Dina 3D Foam Kit / Summer Scene,Judaica Crafts,Arts & Crafts,Rina & Dina ,Rina & Dina ,24144524154,24144524154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TISSUE-02,CHANUKAH TISSUE ART,CHANUKAH TISSUE ART,CHANUKAH TISSUE ART,CHANUKAH TISSUE ART,Judaica Crafts,Arts & Crafts,Rina & Dina ,Rina & Dina ,24144524444,24144524444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RDMOS-03,Mosaic Foam Craft,Mosaic Foam Craft,Mosaic Foam Craft,Mosaic Foam Craft,Judaica Crafts,Arts & Crafts,Rina & Dina ,Rina & Dina ,700465445667,700465445667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Foil-03,SPARKLY FOIL ART,SPARKLY FOIL ART,SPARKLY FOIL ART,SPARKLY FOIL ART,Judaica Crafts,Arts & Crafts,Rina & Dina ,Rina & Dina ,24144524130,24144524130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TIssue-06,TISSUE ART,TISSUE ART,TISSUE ART,TISSUE ART,Judaica Crafts,Arts & Crafts,Rina & Dina ,Rina & Dina ,24144524147,24144524147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,BD-01,Wooden Beads & Charms Necklace Kit,Wooden Beads & Charms Necklace Kit,Wooden Beads & Charms Necklace Kit,Wooden Beads & Charms Necklace Kit,Judaica Crafts,Arts & Crafts,Rina & Dina ,Rina & Dina ,700465445674,700465445674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KNOTA,Pillow and Blanket Set,Pillow and Blanket Set,Pillow and Blanket Set,Pillow and Blanket Set,Judaica Crafts,Arts & Crafts,Rina & Dina ,Rina & Dina ,24144524208,24144524208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TISSUE-01,TISSUE ART DREIDEL,TISSUE ART DREIDEL,TISSUE ART DREIDEL,TISSUE ART DREIDEL,Judaica Crafts,Arts & Crafts,Rina & Dina ,Rina & Dina ,24144524451,24144524451,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Foil-04,foil art broches activity set,foil art broches activity set,foil art broches activity set,foil art broches activity set,Judaica Crafts,Arts & Crafts,Rina & Dina ,Rina & Dina ,24144524109,24144524109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MOS-05,R/D Dolls w/ Mosaic Glittery Squares & Gems,R/D Dolls w/ Mosaic Glittery Squares & Gems,R/D Dolls w/ Mosaic Glittery Squares & Gems,R/D Dolls w/ Mosaic Glittery Squares & Gems,Judaica Crafts,Arts & Crafts,Rina & Dina ,Rina & Dina ,24144524185,24144524185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,FC-01,STICK A FACE,STICK A FACE,STICK A FACE,STICK A FACE,Judaica Crafts,Arts & Crafts,Rina & Dina ,Rina & Dina ,24144524857,24144524857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,SAS-03,Rina/Dina Stick -A- Scene - Amusement Park,Rina/Dina Stick -A- Scene - Amusement Park,Rina/Dina Stick -A- Scene - Amusement Park,Rina/Dina Stick -A- Scene - Amusement Park,Judaica Crafts,Arts & Crafts,Rina & Dina ,Rina & Dina ,24144524345,24144524345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,STG-03,stick a gem brochos,stick a gem brochos,stick a gem brochos,stick a gem brochos,Judaica Crafts,Arts & Crafts,Rina & Dina ,Rina & Dina ,783078670831,783078670831,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,FM-08,Flower Pot Foam Art Kit,Flower Pot Foam Art Kit,Flower Pot Foam Art Kit,Flower Pot Foam Art Kit,Judaica Crafts,Arts & Crafts,Rina & Dina ,Rina & Dina ,783078670916,783078670916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,STG-05,RINA AND DINA STICK A GEM SEASONS,RINA AND DINA STICK A GEM SEASONS,RINA AND DINA STICK A GEM SEASONS,RINA AND DINA STICK A GEM SEASONS,Judaica Crafts,Arts & Crafts,Rina & Dina ,Rina & Dina ,783078670947,783078670947,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,STG-06,RINA AND DINA STICK A GEM ALEPH BEIS,RINA AND DINA STICK A GEM ALEPH BEIS,RINA AND DINA STICK A GEM ALEPH BEIS,RINA AND DINA STICK A GEM ALEPH BEIS,Judaica Crafts,Arts & Crafts,Rina & Dina ,Rina & Dina ,783078670954,783078670954,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,FM-09,Modeh Ani Foam Art Kit,Modeh Ani Foam Art Kit,Modeh Ani Foam Art Kit,Modeh Ani Foam Art Kit,Judaica Crafts,Arts & Crafts,Rina & Dina ,Rina & Dina ,783078670961,783078670961,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,STG-07,STICK A GEM,STICK A GEM,STICK A GEM,STICK A GEM,Judaica Crafts,Arts & Crafts,Rina & Dina ,Rina & Dina ,783078671012,783078671012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MOS-08,Rina and Dina Aleph Bais Mosaic,Rina and Dina Aleph Bais Mosaic,Rina and Dina Aleph Bais Mosaic,Rina and Dina Aleph Bais Mosaic,Judaica Crafts,Arts & Crafts,Rina & Dina ,Rina & Dina ,783078671043,783078671043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM-01,Create Your Own Road Map,Create Your Own Road Map,Create Your Own Road Map,Create Your Own Road Map,Judaica Crafts,Arts & Crafts,Rina & Dina ,Rina & Dina ,24144523980,24144523980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,STG-02,Stick a Gem Mezonos,Stick a Gem Mezonos,Stick a Gem Mezonos,Stick a Gem Mezonos,Judaica Crafts,Arts & Crafts,Rina & Dina ,Rina & Dina ,783078670824,783078670824,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,STG-04,stick a gem,stick a gem,stick a gem,stick a gem,Judaica Crafts,Arts & Crafts,Rina & Dina ,Rina & Dina ,783078670848,783078670848,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MOS-07,Mosaic Art Garage,Mosaic Art Garage,Mosaic Art Garage,Mosaic Art Garage,Judaica Crafts,Arts & Crafts,Rina & Dina ,Rina & Dina ,783078670671,783078670671,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Tissue-07,RINA AND DINA TISSUE ART 07,RINA AND DINA TISSUE ART 07,RINA AND DINA TISSUE ART 07,RINA AND DINA TISSUE ART 07,Judaica Crafts,Arts & Crafts,Rina & Dina ,Rina & Dina ,783078670978,783078670978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MOS-06,Mosaic Art Going To Chedar,Mosaic Art Going To Chedar,Mosaic Art Going To Chedar,Mosaic Art Going To Chedar,Judaica Crafts,Arts & Crafts,Rina & Dina ,Rina & Dina ,783078670657,783078670657,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,STG-01,Stick a Gem Shehakol,Stick a Gem Shehakol,Stick a Gem Shehakol,Stick a Gem Shehakol,Judaica Crafts,Arts & Crafts,Rina & Dina ,Rina & Dina ,783078670817,783078670817,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,FM-06,Pinny & Shimmy 3D Foam Kit / Parachute,Pinny & Shimmy 3D Foam Kit / Parachute,Pinny & Shimmy 3D Foam Kit / Parachute,Pinny & Shimmy 3D Foam Kit / Parachute,Judaica Crafts,Arts & Crafts,Rina & Dina ,Rina & Dina ,24144524161,24144524161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,LIL-M,Lil’ Miss Match Board Game,Lil’ Miss Match Board Game,Lil’ Miss Match Board Game,Lil’ Miss Match Board Game,Board Games,Games & Puzzles,Rina & Dina ,Rina & Dina ,700465445636,700465445636,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CLNG02,Clingies 2 - Creative Expressions,Clingies 2 - Creative Expressions,Clingies 2 - Creative Expressions,Clingies 2 - Creative Expressions,Judaica Crafts,Games & Puzzles,Rina & Dina ,Rina & Dina ,24144524758,24144524758,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
