Picture,Number,Name(Zh),Name(En),Name(Es),Name(It),Category,Custom Category,Brand,Custom Brand,UPC Code,Origin(UPC),Description,IPK Code,Origin(IPK),Case Code,Origin(Case),Craft(Zh),Craft(En),Craft(Es),Craft(It),Case Rate,Case Length(ft),Case Width(ft),Case Height(ft),Case Cube(ftÂ³),Case Weight(lb),Layer Rate(Case),Pallet Rate(Case),IPK Rate,IPK Length(ft),IPK Width(ft),IPK Height(ft),IPK Cube(ftÂ³),IPK Weight(lb),Layer Rate(IPK),Pallet Rate(IPK),Dozen Rate,Dozen Length(ft),Dozen Width(ft),Dozen Height(ft),Dozen Cube(ftÂ³),Dozen Weight(lb),Layer Rate(Dozen),Pallet Rate(Dozen),Piece Length(ft),Piece Width(ft),Piece Height(ft),Piece Cube(ftÂ³),Piece Weight(lb),Layer Rate(Piece),Pallet Rate(Piece),Future Sale Manage Rate
,,Q5 Case - Black,Q5 Case - Black,Q5 Case - Black,Q5 Case - Black,,Accessories,Samvix,Samvix,766162174866,766162174866,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Smartbass 8.0 Case - Black,Smartbass 8.0 Case - Black,Smartbass 8.0 Case - Black,Smartbass 8.0 Case - Black,,Accessories,Samvix,Samvix,766162175061,766162175061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Q6 Case - Black,Q6 Case - Black,Q6 Case - Black,Q6 Case - Black,,Accessories,Samvix,Samvix,766162174965,766162174965,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Q6 CASE - BROWN,Q6 CASE - BROWN,Q6 CASE - BROWN,Q6 CASE - BROWN,,Accessories,Samvix,Samvix,766162174941,766162174941,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Smartbass 8.0 Case - Gray,Smartbass 8.0 Case - Gray,Smartbass 8.0 Case - Gray,Smartbass 8.0 Case - Gray,,Accessories,Samvix,Samvix,766162175146,766162175146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Q6 Case - Blue,Q6 Case - Blue,Q6 Case - Blue,Q6 Case - Blue,,Accessories,Samvix,Samvix,766162174958,766162174958,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Q6 CASE - GRAY,Q6 CASE - GRAY,Q6 CASE - GRAY,Q6 CASE - GRAY,,Accessories,Samvix,Samvix,766162174934,766162174934,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,DYNAMITE CASE - BLUE,DYNAMITE CASE - BLUE,DYNAMITE CASE - BLUE,DYNAMITE CASE - BLUE,,Accessories,Samvix,Samvix,766162175238,766162175238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,DYNAMITE CASE - GRAY,DYNAMITE CASE - GRAY,DYNAMITE CASE - GRAY,DYNAMITE CASE - GRAY,,Accessories,Samvix,Samvix,766162175245,766162175245,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Q4 Case,Q4 Case,Q4 Case,Q4 Case,,Accessories,Samvix,Samvix,766162174972,766162174972,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Q5 Case - Blue,Q5 Case - Blue,Q5 Case - Blue,Q5 Case - Blue,,Accessories,Samvix,Samvix,766162174903,766162174903,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Q5 Case - Red,Q5 Case - Red,Q5 Case - Red,Q5 Case - Red,,Accessories,Samvix,Samvix,766162174910,766162174910,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
