Picture,Number,Name(Zh),Name(En),Name(Es),Name(It),Category,Custom Category,Brand,Custom Brand,UPC Code,Origin(UPC),Description,IPK Code,Origin(IPK),Case Code,Origin(Case),Craft(Zh),Craft(En),Craft(Es),Craft(It),Case Rate,Case Length(ft),Case Width(ft),Case Height(ft),Case Cube(ftÂ³),Case Weight(lb),Layer Rate(Case),Pallet Rate(Case),IPK Rate,IPK Length(ft),IPK Width(ft),IPK Height(ft),IPK Cube(ftÂ³),IPK Weight(lb),Layer Rate(IPK),Pallet Rate(IPK),Dozen Rate,Dozen Length(ft),Dozen Width(ft),Dozen Height(ft),Dozen Cube(ftÂ³),Dozen Weight(lb),Layer Rate(Dozen),Pallet Rate(Dozen),Piece Length(ft),Piece Width(ft),Piece Height(ft),Piece Cube(ftÂ³),Piece Weight(lb),Layer Rate(Piece),Pallet Rate(Piece),Future Sale Manage Rate
,8108,SANDS SILICONE WATCH - BLACK,SANDS SILICONE WATCH - BLACK,SANDS SILICONE WATCH - BLACK,SANDS SILICONE WATCH - BLACK,Others,Clocks & Watches,SANDS,SANDS,786138703739,786138703739,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,8116,SANDS DIGITAL WATCH - BLUE,SANDS DIGITAL WATCH - BLUE,SANDS DIGITAL WATCH - BLUE,SANDS DIGITAL WATCH - BLUE,Others,Clocks & Watches,SANDS,SANDS,786138703814,786138703814,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,8121-S,SANDS DELUXE DIGITAL WATCH - BLUE,SANDS DELUXE DIGITAL WATCH - BLUE,SANDS DELUXE DIGITAL WATCH - BLUE,SANDS DELUXE DIGITAL WATCH - BLUE,Others,Clocks & Watches,SANDS,SANDS,786138704132,786138704132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,8109,SANDS SILICONE WATCH - BLUE,SANDS SILICONE WATCH - BLUE,SANDS SILICONE WATCH - BLUE,SANDS SILICONE WATCH - BLUE,Others,Clocks & Watches,SANDS,SANDS,786138703746,786138703746,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,8106,SANDS DIGITIME LED WATCH - PINK,SANDS DIGITIME LED WATCH - PINK,SANDS DIGITIME LED WATCH - PINK,SANDS DIGITIME LED WATCH - PINK,Others,Clocks & Watches,SANDS,SANDS,786138703715,786138703715,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,8114,SANDS DIGITAL WATCH - PINK,SANDS DIGITAL WATCH - PINK,SANDS DIGITAL WATCH - PINK,SANDS DIGITAL WATCH - PINK,Others,Clocks & Watches,SANDS,SANDS,786138703791,786138703791,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,8119-S,SANDS DELUXE DIGITAL WATCH - PINK,SANDS DELUXE DIGITAL WATCH - PINK,SANDS DELUXE DIGITAL WATCH - PINK,SANDS DELUXE DIGITAL WATCH - PINK,Others,Clocks & Watches,SANDS,SANDS,786138704118,786138704118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,8110,SANDS SILICONE WATCH - PURPLE,SANDS SILICONE WATCH - PURPLE,SANDS SILICONE WATCH - PURPLE,SANDS SILICONE WATCH - PURPLE,Others,Clocks & Watches,SANDS,SANDS,786138703753,786138703753,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,8104,SANDS DIGITIME LED WATCH - BLUE,SANDS DIGITIME LED WATCH - BLUE,SANDS DIGITIME LED WATCH - BLUE,SANDS DIGITIME LED WATCH - BLUE,Others,Clocks & Watches,SANDS,SANDS,786138703692,786138703692,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,8112,SANDS SILICONE WATCH - RED,SANDS SILICONE WATCH - RED,SANDS SILICONE WATCH - RED,SANDS SILICONE WATCH - RED,Others,Clocks & Watches,SANDS,SANDS,786138703777,786138703777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,8117-S,SANDS DELUXE DIGITAL WATCH - BLACK,SANDS DELUXE DIGITAL WATCH - BLACK,SANDS DELUXE DIGITAL WATCH - BLACK,SANDS DELUXE DIGITAL WATCH - BLACK,Others,Clocks & Watches,SANDS,SANDS,786138704095,786138704095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,8107,SANDS DIGITIME LED WATCH - RED,SANDS DIGITIME LED WATCH - RED,SANDS DIGITIME LED WATCH - RED,SANDS DIGITIME LED WATCH - RED,Others,Clocks & Watches,SANDS,SANDS,786138703722,786138703722,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
