Picture,Number,Name(Zh),Name(En),Name(Es),Name(It),Category,Department,Custom Category,Brand,Custom Brand,UPC Code,Origin(UPC),Description,IPK Code,Origin(IPK),Case Code,Origin(Case),Craft(Zh),Craft(En),Craft(Es),Craft(It),Case Rate,Case Length(ft),Case Width(ft),Case Height(ft),Case Cube(ft³),Case Weight(lb),Layer Rate(Case),Pallet Rate(Case),IPK Rate,IPK Length(ft),IPK Width(ft),IPK Height(ft),IPK Cube(ft³),IPK Weight(lb),Layer Rate(IPK),Pallet Rate(IPK),Dozen Rate,Dozen Length(ft),Dozen Width(ft),Dozen Height(ft),Dozen Cube(ft³),Dozen Weight(lb),Layer Rate(Dozen),Pallet Rate(Dozen),Piece Length(ft),Piece Width(ft),Piece Height(ft),Piece Cube(ft³),Piece Weight(lb),Layer Rate(Piece),Pallet Rate(Piece),Future Sale Manage Rate
,,NATE/MISSING BIRTHDAY SNAKE,NATE/MISSING BIRTHDAY SNAKE,NATE/MISSING BIRTHDAY SNAKE,NATE/MISSING BIRTHDAY SNAKE,,Dolls,Plush & Stuffed Animals,Steiff,Steiff,9781101934708,9781101934708,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"12 "" Classic Teddy bear Linda, pale pink","12 "" Classic Teddy bear Linda, pale pink","12 "" Classic Teddy bear Linda, pale pink","12 "" Classic Teddy bear Linda, pale pink",,Dolls,Plush & Stuffed Animals,Steiff,Steiff,4001505000331,4001505000331,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"16 "" Soft Cuddly Friends Aila seal, ice blue","16 "" Soft Cuddly Friends Aila seal, ice blue","16 "" Soft Cuddly Friends Aila seal, ice blue","16 "" Soft Cuddly Friends Aila seal, ice blue",,Dolls,Plush & Stuffed Animals,Steiff,Steiff,4001505063916,4001505063916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"17 "" Bharat, white tiger","17 "" Bharat, white tiger","17 "" Bharat, white tiger","17 "" Bharat, white tiger",,Dolls,Plush & Stuffed Animals,Steiff,Steiff,4001505066153,4001505066153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"12 "" Soft Cuddly Friends Dinkie donkey, grey","12 "" Soft Cuddly Friends Dinkie donkey, grey","12 "" Soft Cuddly Friends Dinkie donkey, grey","12 "" Soft Cuddly Friends Dinkie donkey, grey",,Dolls,Plush & Stuffed Animals,Steiff,Steiff,4001505073748,4001505073748,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"8 "" Lita Lamb white","8 "" Lita Lamb white","8 "" Lita Lamb white","8 "" Lita Lamb white",,Dolls,Plush & Stuffed Animals,Steiff,Steiff,4001505073946,4001505073946,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"16 "" Nero Panther","16 "" Nero Panther","16 "" Nero Panther","16 "" Nero Panther",,Dolls,Plush & Stuffed Animals,Steiff,Steiff,4001505084072,4001505084072,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"11 "" Bronko Brontosaurus","11 "" Bronko Brontosaurus","11 "" Bronko Brontosaurus","11 "" Bronko Brontosaurus",,Dolls,Plush & Stuffed Animals,Steiff,Steiff,4001505087837,4001505087837,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"10"" Soft Cuddly Friends My first Steiff Hoppie, Pink","10"" Soft Cuddly Friends My first Steiff Hoppie, Pink","10"" Soft Cuddly Friends My first Steiff Hoppie, Pink","10"" Soft Cuddly Friends My first Steiff Hoppie, Pink",,Dolls,Plush & Stuffed Animals,Steiff,Steiff,4001505242359,4001505242359,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"37 "" Studio Elephant, grey","37 "" Studio Elephant, grey","37 "" Studio Elephant, grey","37 "" Studio Elephant, grey",,Dolls,Plush & Stuffed Animals,Steiff,Steiff,4001505500725,4001505500725,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
