Picture,Number,Name(Zh),Name(En),Name(Es),Name(It),Department,Category,Custom Category,Brand,Custom Brand,UPC Code,Origin(UPC),Description,IPK Code,Origin(IPK),Case Code,Origin(Case),Craft(Zh),Craft(En),Craft(Es),Craft(It),Case Rate,Case Length(ft),Case Width(ft),Case Height(ft),Case Cube(ft³),Case Weight(lb),Layer Rate(Case),Pallet Rate(Case),IPK Rate,IPK Length(ft),IPK Width(ft),IPK Height(ft),IPK Cube(ft³),IPK Weight(lb),Layer Rate(IPK),Pallet Rate(IPK),Dozen Rate,Dozen Length(ft),Dozen Width(ft),Dozen Height(ft),Dozen Cube(ft³),Dozen Weight(lb),Layer Rate(Dozen),Pallet Rate(Dozen),Piece Length(ft),Piece Width(ft),Piece Height(ft),Piece Cube(ft³),Piece Weight(lb),Layer Rate(Piece),Pallet Rate(Piece),Future Sale Manage Rate
,44001006,GRAVITY MAZE,GRAVITY MAZE,GRAVITY MAZE,GRAVITY MAZE,Games & Puzzles,,,Thinkfun,Thinkfun,19275010065,19275010065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,44001008,CIRCUIT MAZE,CIRCUIT MAZE,CIRCUIT MAZE,CIRCUIT MAZE,Games & Puzzles,,,Thinkfun,Thinkfun,19275010089,19275010089,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,44001010,THINKING PUTTY PUZZLE,THINKING PUTTY PUZZLE,THINKING PUTTY PUZZLE,THINKING PUTTY PUZZLE,Games & Puzzles,,,Thinkfun,Thinkfun,19275010102,19275010102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,44001012,Domino Maze,Domino Maze,Domino Maze,Domino Maze,Games & Puzzles,,,Thinkfun,Thinkfun,19275010126,19275010126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,LAZER MAZE,LAZER MAZE,LAZER MAZE,LAZER MAZE,Games & Puzzles,,,Thinkfun,Thinkfun,19275010140,19275010140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Invasion of the Cow Snatchers - NEW!,Invasion of the Cow Snatchers - NEW!,Invasion of the Cow Snatchers - NEW!,Invasion of the Cow Snatchers - NEW!,Games & Puzzles,,,Thinkfun,Thinkfun,19275010218,19275010218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,LASER MAZE JR,LASER MAZE JR,LASER MAZE JR,LASER MAZE JR,Games & Puzzles,,,Thinkfun,Thinkfun,19275010447,19275010447,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Laser Maze Junior,Laser Maze Junior,Laser Maze Junior,Laser Maze Junior,Games & Puzzles,,,Thinkfun,Thinkfun,19275010454,19275010454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,44001046,ROLLER COASTER,ROLLER COASTER,ROLLER COASTER,ROLLER COASTER,Games & Puzzles,,,Thinkfun,Thinkfun,19275010461,19275010461,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,76344,BALANCE BEANS,BALANCE BEANS,BALANCE BEANS,BALANCE BEANS,Games & Puzzles,,,Thinkfun,Thinkfun,19275011406,19275011406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Math Dice Chace,Math Dice Chace,Math Dice Chace,Math Dice Chace,Games & Puzzles,,,Thinkfun,Thinkfun,19275015053,19275015053,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,44001512,SWISH,SWISH,SWISH,SWISH,Games & Puzzles,,,Thinkfun,Thinkfun,19275015121,19275015121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,44001513,WORD A ROUND,WORD A ROUND,WORD A ROUND,WORD A ROUND,Games & Puzzles,,,Thinkfun,Thinkfun,19275015138,19275015138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,44001514,DISTRACTION,DISTRACTION,DISTRACTION,DISTRACTION,Games & Puzzles,,,Thinkfun,Thinkfun,19275015145,19275015145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Kaleidoscope Puzzle,Kaleidoscope Puzzle,Kaleidoscope Puzzle,Kaleidoscope Puzzle,Games & Puzzles,,,Thinkfun,Thinkfun,19275015220,19275015220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Chocolate Fix,Chocolate Fix,Chocolate Fix,Chocolate Fix,Games & Puzzles,,,Thinkfun,Thinkfun,19275015305,19275015305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,CAT CRIMES GAME,CAT CRIMES GAME,CAT CRIMES GAME,CAT CRIMES GAME,Games & Puzzles,,,Thinkfun,Thinkfun,19275015503,19275015503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,8415,COLOR SUDOKU,COLOR SUDOKU,COLOR SUDOKU,COLOR SUDOKU,Games & Puzzles,,,Thinkfun,Thinkfun,19275015602,19275015602,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,#1610,Hypnograph,Hypnograph,Hypnograph,Hypnograph,Games & Puzzles,,,Thinkfun,Thinkfun,19275016104,19275016104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,44001860,HEADS TALK,HEADS TALK,HEADS TALK,HEADS TALK,Games & Puzzles,,,Thinkfun,Thinkfun,19275018603,19275018603,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Code Master game,Code Master game,Code Master game,Code Master game,Games & Puzzles,,,Thinkfun,Thinkfun,19275019501,19275019501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3550-T,FOLD IT,FOLD IT,FOLD IT,FOLD IT,Games & Puzzles,,,Thinkfun,Thinkfun,19275035501,19275035501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
