Picture,Number,Name(Zh),Name(En),Name(Es),Name(It),Department,Category,Custom Category,Brand,Custom Brand,UPC Code,Origin(UPC),Description,IPK Code,Origin(IPK),Case Code,Origin(Case),Craft(Zh),Craft(En),Craft(Es),Craft(It),Case Rate,Case Length(ft),Case Width(ft),Case Height(ft),Case Cube(ft³),Case Weight(lb),Layer Rate(Case),Pallet Rate(Case),IPK Rate,IPK Length(ft),IPK Width(ft),IPK Height(ft),IPK Cube(ft³),IPK Weight(lb),Layer Rate(IPK),Pallet Rate(IPK),Dozen Rate,Dozen Length(ft),Dozen Width(ft),Dozen Height(ft),Dozen Cube(ft³),Dozen Weight(lb),Layer Rate(Dozen),Pallet Rate(Dozen),Piece Length(ft),Piece Width(ft),Piece Height(ft),Piece Cube(ft³),Piece Weight(lb),Layer Rate(Piece),Pallet Rate(Piece),Future Sale Manage Rate
,#00467,SOOTHE N GROOVE MOBILE,SOOTHE N GROOVE MOBILE,SOOTHE N GROOVE MOBILE,SOOTHE N GROOVE MOBILE,Baby & Toddler Toys,,,TINY LOVE,TINY LOVE,735259004317,735259004317,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,#TO059,Tiny Love Tiny Priness Sunny Stroll Arch,Tiny Love Tiny Priness Sunny Stroll Arch,Tiny Love Tiny Priness Sunny Stroll Arch,Tiny Love Tiny Priness Sunny Stroll Arch,Baby & Toddler Toys,,,TINY LOVE,TINY LOVE,855075007382,855075007382,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TO0980707,Meadow Days Sunny Day Gymini,Meadow Days Sunny Day Gymini,Meadow Days Sunny Day Gymini,Meadow Days Sunny Day Gymini,Baby & Toddler Toys,,,TINY LOVE,TINY LOVE,855075007863,855075007863,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,#TO060,TAKE ALONG MOBILE,TAKE ALONG MOBILE,TAKE ALONG MOBILE,TAKE ALONG MOBILE,Baby & Toddler Toys,,,TINY LOVE,TINY LOVE,855075007399,855075007399,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,#TO009,TINYLOVE LULLABY MOBILE,TINYLOVE LULLABY MOBILE,TINYLOVE LULLABY MOBILE,TINYLOVE LULLABY MOBILE,Baby & Toddler Toys,,,TINY LOVE,TINY LOVE,735259005055,735259005055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,GYMINI BOUNCER UNDER THE SEA,GYMINI BOUNCER UNDER THE SEA,GYMINI BOUNCER UNDER THE SEA,GYMINI BOUNCER UNDER THE SEA,Baby & Toddler Toys,,,TINY LOVE,TINY LOVE,735259005086,735259005086,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,PRINCESS PACK N GO MOBILE,PRINCESS PACK N GO MOBILE,PRINCESS PACK N GO MOBILE,PRINCESS PACK N GO MOBILE,Baby & Toddler Toys,,,TINY LOVE,TINY LOVE,735259004676,735259004676,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Meadow Days™ Pack & Go Mini Mobile,Meadow Days™ Pack & Go Mini Mobile,Meadow Days™ Pack & Go Mini Mobile,Meadow Days™ Pack & Go Mini Mobile,Baby & Toddler Toys,,,TINY LOVE,TINY LOVE,855075007214,855075007214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,#50700,Tummy Time Mobile,Tummy Time Mobile,Tummy Time Mobile,Tummy Time Mobile,Baby & Toddler Toys,,,TINY LOVE,TINY LOVE,855075007825,855075007825,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TO1210700,3-in-1 Take Along Mobile,3-in-1 Take Along Mobile,3-in-1 Take Along Mobile,3-in-1 Take Along Mobile,Baby & Toddler Toys,,,TINY LOVE,TINY LOVE,810019060342,810019060342,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,#TO010,4 IN 1 MEGA GIFT PACK,4 IN 1 MEGA GIFT PACK,4 IN 1 MEGA GIFT PACK,4 IN 1 MEGA GIFT PACK,Baby & Toddler Toys,,,TINY LOVE,TINY LOVE,735259005062,735259005062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,TAKE ALONG MOBILE PRINCESS,TAKE ALONG MOBILE PRINCESS,TAKE ALONG MOBILE PRINCESS,TAKE ALONG MOBILE PRINCESS,Baby & Toddler Toys,,,TINY LOVE,TINY LOVE,735259004171,735259004171,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3 IN 1 CLOSE TO ME BOUNCER,3 IN 1 CLOSE TO ME BOUNCER,3 IN 1 CLOSE TO ME BOUNCER,3 IN 1 CLOSE TO ME BOUNCER,Baby & Toddler Toys,,,TINY LOVE,TINY LOVE,735259005123,735259005123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TO1100707,MAGICAL TALES BLACK & WHITE STROLLER ARCH,MAGICAL TALES BLACK & WHITE STROLLER ARCH,MAGICAL TALES BLACK & WHITE STROLLER ARCH,MAGICAL TALES BLACK & WHITE STROLLER ARCH,Baby & Toddler Toys,,,TINY LOVE,TINY LOVE,810019060205,810019060205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,TAKE ALONG MOBILE,TAKE ALONG MOBILE,TAKE ALONG MOBILE,TAKE ALONG MOBILE,Baby & Toddler Toys,,,TINY LOVE,TINY LOVE,855075007078,855075007078,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,#TOO072,POLAR WONDERS MAGICAL NIGHT MOBILE,POLAR WONDERS MAGICAL NIGHT MOBILE,POLAR WONDERS MAGICAL NIGHT MOBILE,POLAR WONDERS MAGICAL NIGHT MOBILE,Baby & Toddler Toys,,,TINY LOVE,TINY LOVE,855075007535,855075007535,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,CLASSIC MOBILE,CLASSIC MOBILE,CLASSIC MOBILE,CLASSIC MOBILE,Baby & Toddler Toys,,,TINY LOVE,TINY LOVE,855075007351,855075007351,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,#TO097,TL BLACK & WHITE GYMINI,TL BLACK & WHITE GYMINI,TL BLACK & WHITE GYMINI,TL BLACK & WHITE GYMINI,Baby & Toddler Toys,,,TINY LOVE,TINY LOVE,855075007849,855075007849,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,#TO025,SOOTHEN GROOVE MOBILE,SOOTHEN GROOVE MOBILE,SOOTHEN GROOVE MOBILE,SOOTHEN GROOVE MOBILE,Baby & Toddler Toys,,,TINY LOVE,TINY LOVE,855075007054,855075007054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,#TO061,SOOTHE N GROVE MOBIL,SOOTHE N GROVE MOBIL,SOOTHE N GROVE MOBIL,SOOTHE N GROVE MOBIL,Baby & Toddler Toys,,,TINY LOVE,TINY LOVE,855075007405,855075007405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,WA077FGO,Black & White 4-in-1 Here I Grow Mobile Activity Center,Black & White 4-in-1 Here I Grow Mobile Activity Center,Black & White 4-in-1 Here I Grow Mobile Activity Center,Black & White 4-in-1 Here I Grow Mobile Activity Center,Baby & Toddler Toys,,,TINY LOVE,TINY LOVE,810019060021,810019060021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,4 IN 1 ACTIVITY CENTER,4 IN 1 ACTIVITY CENTER,4 IN 1 ACTIVITY CENTER,4 IN 1 ACTIVITY CENTER,Baby & Toddler Toys,,,TINY LOVE,TINY LOVE,855075007481,855075007481,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TO115BOHO,TINY LOVE BOHO CHIC GYMINI,TINY LOVE BOHO CHIC GYMINI,TINY LOVE BOHO CHIC GYMINI,TINY LOVE BOHO CHIC GYMINI,Baby & Toddler Toys,,,TINY LOVE,TINY LOVE,810019060236,810019060236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
