Picture,Number,Name(Zh),Name(En),Name(Es),Name(It),Category,Department,Custom Category,Brand,Custom Brand,UPC Code,Origin(UPC),Description,IPK Code,Origin(IPK),Case Code,Origin(Case),Craft(Zh),Craft(En),Craft(Es),Craft(It),Case Rate,Case Length(ft),Case Width(ft),Case Height(ft),Case Cube(ft³),Case Weight(lb),Layer Rate(Case),Pallet Rate(Case),IPK Rate,IPK Length(ft),IPK Width(ft),IPK Height(ft),IPK Cube(ft³),IPK Weight(lb),Layer Rate(IPK),Pallet Rate(IPK),Dozen Rate,Dozen Length(ft),Dozen Width(ft),Dozen Height(ft),Dozen Cube(ft³),Dozen Weight(lb),Layer Rate(Dozen),Pallet Rate(Dozen),Piece Length(ft),Piece Width(ft),Piece Height(ft),Piece Cube(ft³),Piece Weight(lb),Layer Rate(Piece),Pallet Rate(Piece),Future Sale Manage Rate
,winfun,smart cafe cash register,smart cafe cash register,smart cafe cash register,smart cafe cash register,Others,Baby & Toddler Toys,,,,840172025155,840172025155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,000183-NI,Baby's Butterfly Rattle,Baby's Butterfly Rattle,Baby's Butterfly Rattle,Baby's Butterfly Rattle,Others,Baby & Toddler Toys,,,,840172001838,840172001838,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,000233-NI,Grip n Play Rattle,Grip n Play Rattle,Grip n Play Rattle,Grip n Play Rattle,Others,Baby & Toddler Toys,,,,840172002330,840172002330,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,000236-NL,Light-Up Pal Teether - Bee,Light-Up Pal Teether - Bee,Light-Up Pal Teether - Bee,Light-Up Pal Teether - Bee,Others,Baby & Toddler Toys,,,,840172002361,840172002361,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,000240-NI,Shake 'N Spin Rattle - Birdy,Shake 'N Spin Rattle - Birdy,Shake 'N Spin Rattle - Birdy,Shake 'N Spin Rattle - Birdy,Others,Baby & Toddler Toys,,,,840172002408,840172002408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,000241-NI,Shake 'N Slide Rattle - Raincloud,Shake 'N Slide Rattle - Raincloud,Shake 'N Slide Rattle - Raincloud,Shake 'N Slide Rattle - Raincloud,Others,Baby & Toddler Toys,,,,840172002415,840172002415,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,000250-NI,Safari Adventure Bumper,Safari Adventure Bumper,Safari Adventure Bumper,Safari Adventure Bumper,Others,Baby & Toddler Toys,,,,840172002507,840172002507,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,000674-NL,Spin 'N Pull Snail,Spin 'N Pull Snail,Spin 'N Pull Snail,Spin 'N Pull Snail,Others,Baby & Toddler Toys,,,,840172006741,840172006741,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,000681-01,Sing 'N Learn With Me - Bear,Sing 'N Learn With Me - Bear,Sing 'N Learn With Me - Bear,Sing 'N Learn With Me - Bear,Others,Baby & Toddler Toys,,,,840172006819,840172006819,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,000715-NL,Side-to-Side Discovery Cube,Side-to-Side Discovery Cube,Side-to-Side Discovery Cube,Side-to-Side Discovery Cube,Others,Baby & Toddler Toys,,,,840172007151,840172007151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,000741-NL,Music Fun Activity Cube,Music Fun Activity Cube,Music Fun Activity Cube,Music Fun Activity Cube,Others,Baby & Toddler Toys,,,,840172007410,840172007410,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,000774-NI,Wobble Cake Stacker,Wobble Cake Stacker,Wobble Cake Stacker,Wobble Cake Stacker,Others,Baby & Toddler Toys,,,,840172007748,840172007748,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
