Picture,Number,Name(Zh),Name(En),Name(Es),Name(It),Category,Custom Category,Brand,Custom Brand,UPC Code,Origin(UPC),Description,IPK Code,Origin(IPK),Case Code,Origin(Case),Craft(Zh),Craft(En),Craft(Es),Craft(It),Case Rate,Case Length(ft),Case Width(ft),Case Height(ft),Case Cube(ftÂ³),Case Weight(lb),Layer Rate(Case),Pallet Rate(Case),IPK Rate,IPK Length(ft),IPK Width(ft),IPK Height(ft),IPK Cube(ftÂ³),IPK Weight(lb),Layer Rate(IPK),Pallet Rate(IPK),Dozen Rate,Dozen Length(ft),Dozen Width(ft),Dozen Height(ft),Dozen Cube(ftÂ³),Dozen Weight(lb),Layer Rate(Dozen),Pallet Rate(Dozen),Piece Length(ft),Piece Width(ft),Piece Height(ft),Piece Cube(ftÂ³),Piece Weight(lb),Layer Rate(Piece),Pallet Rate(Piece),Future Sale Manage Rate
,1192,HI HO! CHERRY-O,HI HO! CHERRY-O,HI HO! CHERRY-O,HI HO! CHERRY-O,Others,Board & Classic Games,WINNING MOVES,WINNING MOVES,714043011922,714043011922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,CLUE SUSPECT,CLUE SUSPECT,CLUE SUSPECT,CLUE SUSPECT,Others,Board & Classic Games,WINNING MOVES,WINNING MOVES,714043012103,714043012103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1222,Pretty Pretty Princess,Pretty Pretty Princess,Pretty Pretty Princess,Pretty Pretty Princess,Others,Card & Travel Games,WINNING MOVES,WINNING MOVES,714043012226,714043012226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1233-02351,Tile Up,Tile Up,Tile Up,Tile Up,Others,Puzzles & Accessories,WINNING MOVES,WINNING MOVES,714043012363,714043012363,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1091,No Stress Chess,No Stress Chess,No Stress Chess,No Stress Chess,Others,Board & Classic Games,WINNING MOVES,WINNING MOVES,714043010918,714043010918,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1143,Tile Lock Scrabble,Tile Lock Scrabble,Tile Lock Scrabble,Tile Lock Scrabble,Others,Board & Classic Games,WINNING MOVES,WINNING MOVES,714043011434,714043011434,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1178,Classic Twister,Classic Twister,Classic Twister,Classic Twister,Others,Board & Classic Games,WINNING MOVES,WINNING MOVES,714043011786,714043011786,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1195,Classic Chutes and Ladders,Classic Chutes and Ladders,Classic Chutes and Ladders,Classic Chutes and Ladders,Others,Board & Classic Games,WINNING MOVES,WINNING MOVES,714043011953,714043011953,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,FLINCH CARD GAME,FLINCH CARD GAME,FLINCH CARD GAME,FLINCH CARD GAME,Others,Card & Travel Games,WINNING MOVES,WINNING MOVES,714043012288,714043012288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1137,Clue The Classic Edition,Clue The Classic Edition,Clue The Classic Edition,Clue The Classic Edition,Others,Board & Classic Games,WINNING MOVES,WINNING MOVES,714043011373,714043011373,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1165,SUPER BIG BOGGLE,SUPER BIG BOGGLE,SUPER BIG BOGGLE,SUPER BIG BOGGLE,Others,Brain Teasers & Solo Play,WINNING MOVES,WINNING MOVES,714043011656,714043011656,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1189,Candy Land 65th Anniversary,Candy Land 65th Anniversary,Candy Land 65th Anniversary,Candy Land 65th Anniversary,Others,Board & Classic Games,WINNING MOVES,WINNING MOVES,714043011892,714043011892,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1204,THE GAME IS BONKERS,THE GAME IS BONKERS,THE GAME IS BONKERS,THE GAME IS BONKERS,Others,Board & Classic Games,WINNING MOVES,WINNING MOVES,714043012042,714043012042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1217,MONOPOLY CARD GAME,MONOPOLY CARD GAME,MONOPOLY CARD GAME,MONOPOLY CARD GAME,Others,Card & Travel Games,WINNING MOVES,WINNING MOVES,714043012172,714043012172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,#1233,DOUBLE TROUBLE,DOUBLE TROUBLE,DOUBLE TROUBLE,DOUBLE TROUBLE,Others,Board & Classic Games,WINNING MOVES,WINNING MOVES,714043012332,714043012332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,CARD GAME SCATTERGORIES,CARD GAME SCATTERGORIES,CARD GAME SCATTERGORIES,CARD GAME SCATTERGORIES,Others,Card & Travel Games,WINNING MOVES,WINNING MOVES,714043011205,714043011205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1146,Crocodile Dentist,Crocodile Dentist,Crocodile Dentist,Crocodile Dentist,Others,General Games,WINNING MOVES,WINNING MOVES,714043011465,714043011465,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,AGGRAVATION,AGGRAVATION,AGGRAVATION,AGGRAVATION,Others,Board & Classic Games,WINNING MOVES,WINNING MOVES,714043011809,714043011809,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1087,PAYDAY,PAYDAY,PAYDAY,PAYDAY,Others,General Games,WINNING MOVES,WINNING MOVES,714043010871,714043010871,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,SCATTERGORIES,SCATTERGORIES,SCATTERGORIES,SCATTERGORIES,Others,Board & Classic Games,WINNING MOVES,WINNING MOVES,714043011427,714043011427,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1176,Classic Trouble,Classic Trouble,Classic Trouble,Classic Trouble,Others,Board & Classic Games,WINNING MOVES,WINNING MOVES,714043011762,714043011762,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,#20073951,PICTUREKA CARD GAME,PICTUREKA CARD GAME,PICTUREKA CARD GAME,PICTUREKA CARD GAME,Others,Card & Travel Games,WINNING MOVES,WINNING MOVES,714043012110,714043012110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,KOZO GAME,KOZO GAME,KOZO GAME,KOZO GAME,Others,Brain Teasers & Solo Play,WINNING MOVES,WINNING MOVES,714043012233,714043012233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1140,The Game of Life Classic Edition,The Game of Life Classic Edition,The Game of Life Classic Edition,The Game of Life Classic Edition,Others,Board & Classic Games,WINNING MOVES,WINNING MOVES,714043011403,714043011403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1167,Classic Yahtzee,Classic Yahtzee,Classic Yahtzee,Classic Yahtzee,Others,Board & Classic Games,WINNING MOVES,WINNING MOVES,714043011670,714043011670,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1191,Guess Who?,Guess Who?,Guess Who?,Guess Who?,Others,Board & Classic Games,WINNING MOVES,WINNING MOVES,714043011915,714043011915,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1206,GAME OF THE STATES,GAME OF THE STATES,GAME OF THE STATES,GAME OF THE STATES,Others,Brain Teasers & Solo Play,WINNING MOVES,WINNING MOVES,714043012066,714043012066,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
