# GitHub repos – ShloimyLevy (by last pushed, newest first)
# Format: DATE | VISIBILITY | REPO_NAME | URL

2026-02-19T20:43:57Z | PRIVATE | template-hr-kol-chuson | https://github.com/ShloimyLevy/template-hr-kol-chuson
2026-02-19T19:08:19Z | PRIVATE | lucky-baby | https://github.com/ShloimyLevy/lucky-baby
2026-02-19T14:40:47Z | PRIVATE | SchoolPledges | https://github.com/ShloimyLevy/SchoolPledges
2026-02-18T18:04:27Z | PRIVATE | special-ed | https://github.com/ShloimyLevy/special-ed
2026-02-11T19:16:12Z | PRIVATE | air-biz-app2 | https://github.com/ShloimyLevy/air-biz-app2
2026-02-11T19:11:39Z | PRIVATE | air-biz-landing | https://github.com/ShloimyLevy/air-biz-landing
2026-02-11T19:03:08Z | PRIVATE | air-biz-template | https://github.com/ShloimyLevy/air-biz-template
2026-02-11T18:15:23Z | PRIVATE | air-biz-app | https://github.com/ShloimyLevy/air-biz-app
2026-02-11T16:49:46Z | PRIVATE | studiova-nextjs-tailwind-v1-1 | https://github.com/ShloimyLevy/studiova-nextjs-tailwind-v1-1
2026-02-11T16:38:57Z | PRIVATE | pos-pfa-sync-manager | https://github.com/ShloimyLevy/pos-pfa-sync-manager
2026-02-09T16:18:11Z | PRIVATE | shomer-filter | https://github.com/ShloimyLevy/shomer-filter
2026-02-09T16:17:42Z | PRIVATE | chnge-my-price-g-sheet | https://github.com/ShloimyLevy/chnge-my-price-g-sheet
2026-02-09T16:06:16Z | PRIVATE | script-manager | https://github.com/ShloimyLevy/script-manager
2026-02-09T16:06:06Z | PRIVATE | pos | https://github.com/ShloimyLevy/pos
2026-02-09T16:06:04Z | PRIVATE | Upright-landing-page | https://github.com/ShloimyLevy/Upright-landing-page
2026-02-09T16:05:46Z | PRIVATE | crm-upright | https://github.com/ShloimyLevy/crm-upright
2026-02-09T16:05:45Z | PRIVATE | upright-crm-api | https://github.com/ShloimyLevy/upright-crm-api
2026-02-09T16:05:43Z | PRIVATE | esl-sync | https://github.com/ShloimyLevy/esl-sync
2026-02-09T16:05:28Z | PRIVATE | v0-saa-s-landing-page | https://github.com/ShloimyLevy/v0-saa-s-landing-page
2026-02-09T16:05:27Z | PRIVATE | v0-shaders-landing-page | https://github.com/ShloimyLevy/v0-shaders-landing-page
2026-02-09T16:05:10Z | PRIVATE | sight-line-app | https://github.com/ShloimyLevy/sight-line-app
2026-02-09T16:05:07Z | PRIVATE | esl | https://github.com/ShloimyLevy/esl
2026-02-09T16:05:01Z | PRIVATE | masa-journeys | https://github.com/ShloimyLevy/masa-journeys
2026-02-09T16:04:50Z | PRIVATE | LoanPricingApp | https://github.com/ShloimyLevy/LoanPricingApp
2026-02-09T16:04:32Z | PRIVATE | ESL-Manager | https://github.com/ShloimyLevy/ESL-Manager
2026-02-09T16:04:30Z | PRIVATE | ai-brain | https://github.com/ShloimyLevy/ai-brain
2026-02-09T16:03:55Z | PRIVATE | change-my-price-api | https://github.com/ShloimyLevy/change-my-price-api
2026-02-09T16:03:51Z | PRIVATE | kolchuson-frontend | https://github.com/ShloimyLevy/kolchuson-frontend
